DateTime,AddedIPs,RemovedIPs
1436333428,283,7611
1436355029,4639,0
1436376622,1577,0
1436398226,3366,0
1436419831,539,3499
1436441424,2332,0
1436463023,2885,0
1436484639,5141,0
1436506229,2063,8318
1436527824,1733,0
1436549423,1055,0
1436571024,2314,0
1436612425,6175,8801
1436634023,3629,0
1436655665,1837,0
1436677225,1309,7736
1436698887,3358,0
1436720423,2086,0
1436742069,2329,0
1436763629,3091,9345
1436785229,536,0
1436806827,2884,0
1436828459,2354,0
1436850027,3368,4760
1436871627,813,0
1436893224,3104,0
1436914877,2437,0
1436936427,2601,7772
1436958026,1580,0
1436979625,2995,0
1437001272,551,0
1437022825,2601,7093
1437044428,2593,0
1437066024,2576,0
1437087680,2359,0
1437109227,40,7861
1437130825,287,0
1437152424,1819,0
1437174071,1049,0
1437195624,2066,6268
1437217227,1823,0
1437238823,1571,0
1437260467,1311,0
1437282026,1813,9113
1437303628,2068,0
1437325223,1828,0
1437346849,2296,0
1437368423,542,4796
1437390025,795,0
1437411626,1316,0
1437433267,531,0
1437454824,1834,6592
1437476427,2068,0
1437498022,2577,0
1437519762,1562,0
1437541229,2085,7563
1437562913,3862,0
1437584474,1322,0
1437660054,2144,9115
1437681738,818,0
1437703225,1671,0
1437724822,801,8059
1437746425,50,0
1437768022,2602,0
1437789626,816,0
1437811221,1565,10131
1437832824,1822,0
1437854422,302,0
1438394419,888,67659
1438416016,2010,0
1438437620,3022,0
1438459217,3028,0
1438480817,1617,11874
1438502416,1558,0
1438524018,1327,0
1438545617,1601,0
1438567219,301,6294
1438588817,1560,0
1438610420,1568,0
1438632017,809,0
1438653617,2866,9556
1438675216,1573,0
1438696819,1062,0
1438718416,2587,0
1438740019,561,11274
1438761616,1303,0
1438783217,1307,0
1438804816,1870,0
1438947016,9218,11716
1438968617,1086,0
1438990216,2098,6780
1439011816,1565,0
1439033417,5143,0
1439055016,1328,0
1439076617,805,6778
1439098217,994,0
1439119816,1039,0
1439141416,2324,0
1439163016,2618,7067
1439184617,1562,0
1439206216,1553,0
1439227817,1044,0
1439249429,1058,10688
1439271017,813,0
1439292616,3093,0
1439314216,1824,0
1439335816,1075,6978
1439357416,1442,0
1439379016,1082,0
1439400616,2092,0
1439422219,1624,4404
1439443816,2265,0
1439465416,548,0
1439487016,1848,0
1439508617,1581,5800
1439530215,534,0
1439551817,2353,9
1439573416,2098,0
1439595015,39,8145
1439616615,43,0
1439638215,52,0
1439659815,55,0
1439681415,37,0
1439703016,41,0
1439724615,45,0
1439746215,46,0
1439767815,21,0
1439789416,45,0
1439811015,47,0
1439832614,71,0
1439854219,43,0
1439875815,53,0
1439897416,43,0
1439919016,2340,0
1439940616,1314,0
1439962215,3858,0
1439983817,565,0
1440005416,1832,0
1440027016,1555,0
1440048618,1822,0
1440070216,1556,0
1440091816,2838,0
1440113417,543,9
1440135017,2008,0
1440156618,1311,0
1440178217,1065,0
1440199817,1563,8317
1440221417,2581,0
1440243017,1056,0
1440264616,1833,0
1440286216,534,4544
1440307816,1572,0
1440329417,1302,0
1440351018,1580,0
1440372617,1307,6680
1440394216,1318,0
1440415817,1625,0
1440437417,1335,0
1440459017,1815,4438
1440480617,804,0
1440502217,1568,0
1440523816,1068,0
1440545417,1805,5263
1440567017,1075,0
1440588619,1319,0
1440610217,1364,0
1440631816,3351,5941
1440653416,1322,0
1440675017,1325,0
1440696617,1584,0
1440718216,1574,6658
1440739816,1165,0
1440761416,2692,0
1440783016,2175,0
1440804616,1306,7032
1440826217,1572,0
1440847816,1852,0
1440869417,2336,0
1440891017,3902,7832
1440912616,2084,0
1440934216,2333,0
1440955817,1827,0
1440977416,1811,6313
1440999016,1322,0
1441020616,5136,0
1441042216,1326,0
1441063817,1059,6017
1441085416,1349,0
1441107015,1067,0
1441128616,1054,0
1441150215,2812,7053
1441171816,2083,0
1441193416,2068,0
1441215015,564,0
1441236616,1813,4974
1441258215,1066,0
1441279816,3354,0
1441301416,1082,0
1441323016,783,3783
1441344615,1587,0
1441366216,1563,0
1441387815,2618,0
1441409416,2604,105
1441431016,3098,0
1441452617,553,0
1441474217,1582,0
1441499416,806,238
1441521017,3591,0
1441542616,2092,0
1441564217,3227,0
1441585817,553,239
1441607416,1098,0
1441629017,1052,0
1441650617,3183,0
1441672217,1305,5760
1441693817,1567,0
1441715418,1560,0
1441737017,295,0
1441758617,1318,5534
1441780218,2082,0
1441801817,1074,0
1441823417,1327,0
1441845017,1551,7052
1441866617,537,0
1441888217,115,0
1441909816,3719,0
1441931417,815,6323
1441953017,1317,0
1441974618,1315,0
1441996218,1067,0
1442017818,1066,5218
1442039417,4143,0
1442061017,1317,0
1442082618,1570,0
1442104217,785,4977
1442125817,2589,0
1442152819,1829,0
1442174418,1818,0
1442196018,2081,6014
1442217617,2323,0
1442239218,1317,0
1442260818,1325,0
1442282418,3879,5033
1442304018,814,0
1442325620,1071,0
1442347218,1071,0
1442368818,1614,7540
1442390416,1834,0
1442412018,2850,0
1442433618,570,0
1442455222,551,8530
1442476817,1832,0
1442498418,540,0
1442520018,1068,0
1442541620,1831,5258
1442563217,1054,0
1442584819,800,0
1442606417,3612,0
1442628018,556,8652
1442649617,790,0
1442671220,3872,0
1442692817,2840,0
1442714418,1813,7237
1442736017,1042,0
1442757618,1062,0
1442779217,2846,0
1442800818,3108,6914
1442822417,2584,0
1442844020,1594,0
1442865617,1822,0
1442887218,278,6171
1442908818,1314,0
1442930418,1839,0
1442952017,1572,0
1442973618,1310,7332
1442995216,1325,0
1443016818,1566,0
1443038417,1307,0
1443060018,1311,4968
1443081618,2335,0
1443103218,374,0
1443124817,1328,0
1443146419,557,8048
1443168018,1580,0
1443189618,1841,0
1443211217,2349,0
1443232819,2093,8298
1443254417,813,0
1443276021,2089,0
1443297617,1572,0
1443319218,786,7347
1443340817,3100,0
1443362418,1567,0
1443384017,1831,0
1443405618,797,6001
1443427218,1324,0
1443448819,1315,0
1443470418,2113,0
1443492018,1346,5775
1443513617,790,0
1443535218,831,0
1443556817,1572,0
1443578419,808,3959
1443600018,4140,0
1443621619,2086,0
1443645018,1337,0
1443666618,543,5790
1443688217,1474,0
1443709819,2395,0
1443731417,1853,0
1443753017,1072,8026
1443774617,834,0
1443796218,1863,0
1443817818,1364,0
1443839417,2610,5490
1443861018,1076,0
1443882619,827,0
1443904218,1340,0
1443925817,1578,9049
1443947417,1601,0
1443969019,2101,0
1443990618,2097,0
1444012217,1867,7573
1444033818,2134,0
1444055418,2352,0
1444077017,1613,0
1444098618,643,5794
1444120218,2488,0
1444141817,2118,0
1444163417,1133,0
1444185018,1108,5279
1444206617,2126,0
1444228217,845,0
1444249818,3918,0
1444271418,1643,5009
1444293018,1613,0
1444314618,1871,0
1444336218,843,0
1444357819,1081,6309
1444379417,2896,0
1444401019,652,0
1444422618,2048,0
1444444218,1905,9338
1444465818,2127,0
1444487418,339,0
1444509018,3437,0
1444530617,2910,7038
1444552218,2147,0
1444573818,1891,0
1444595418,1648,0
1444617018,1400,7559
1444638618,4228,0
1444660218,3491,0
1444681818,3716,0
1444703418,1726,6029
1444725018,1705,0
1444746618,694,0
1444768219,4262,0
1444789818,1900,4499
1444811419,1161,0
1444833018,1716,0
1444854619,1933,0
1444876219,1931,2625
1444897819,2967,0
1444919420,895,0
1444941019,1671,0
1444962619,2173,7562
1444984220,1381,0
1445005820,1906,0
1445027420,3962,0
1445049018,1912,5989
1445070619,1374,0
1445092220,1922,0
1445113819,3204,0
1445135419,1904,7010
1445157019,4700,0
1445178620,871,0
1445200221,1867,0
1445221820,1104,6858
1445243420,823,0
1445265020,1350,0
1445286620,868,0
1445308220,2103,4256
1445329820,1576,0
1445351420,1862,0
1445373019,2615,0
1445394620,1632,8066
1445416220,2607,0
1445437820,2785,0
1445459419,2238,0
1445481022,1082,5844
1445502619,1847,0
1445536822,4981,0
1445558420,1350,0
1445580021,2338,5129
1445601620,2612,0
1445623222,3374,0
1445644821,1071,0
1445666421,2634,8633
1445688020,1574,0
1445709621,1844,1
1445731221,3385,0
1445752821,4143,7414
1445774420,1709,0
1445796020,1607,0
1445817630,2360,0
1445839221,2874,6302
1445860822,1598,0
1445882421,2873,0
1445904026,1853,0
1445925621,1605,6075
1445947222,1921,0
1445968821,1841,0
1445990433,1329,0
1446012020,2375,7942
1446033620,1861,0
1446057022,569,0
1446078620,2340,5901
1446100220,1606,0
1446121821,2372,1
1446143420,1850,0
1446166820,1359,6885
1446188421,2408,0
1446210020,3390,0
1446231621,2352,0
1446253220,2392,8475
1446274822,1332,0
1446296420,1332,0
1446318021,2836,0
1446339620,1570,7389
1446361220,1599,0
1446382820,2597,0
1446404421,1325,0
1446426020,2376,12526
1446447621,1859,0
1446469220,1850,0
1446490822,1056,0
1446512419,2605,9027
1446534020,2567,0
1446555620,2622,0
1446577221,1578,0
1446598819,1831,6870
1446620420,1325,0
1446642019,2342,0
1446676220,2367,0
1446697821,2397,8589
1446719420,2613,0
1446741022,282,1
1446762619,1347,0
1446784219,1858,9537
1446805819,1821,0
1446827423,2241,0
1446849020,2265,0
1446870620,2108,7257
1446892220,1576,0
1446913819,2116,0
1446935419,1602,0
1446957019,2845,8496
1446978619,3651,0
1447000220,1835,0
1447021820,2589,0
1447043420,1864,5641
1447065020,1573,0
1447086619,299,0
1447108220,4141,0
1447129819,1396,6912
1447162219,2115,0
1447183820,1363,0
1447205428,2643,9522
1447227020,1344,0
1447248620,2122,0
1447270219,1583,0
1447291823,2133,8821
1447313419,2347,0
1447335019,1579,0
1447356619,2341,0
1447378220,1570,6468
1447399819,811,0
1447421425,2174,0
1447443019,2315,0
1447464622,1582,9898
1447497020,3905,0
1447518619,3355,0
1447540219,1807,0
1447561820,804,7397
1447583420,2077,0
1447605019,1842,0
1447626621,5650,0
1447648219,1832,7680
1447669820,888,0
1447691421,1805,0
1447713019,800,0
1447734619,1814,8089
1447756220,4962,0
1447777820,2519,0
1447799420,2087,0
1447821019,1835,4712
1447842620,1580,0
1447864221,1153,0
1447885820,2842,0
