DateTime,Entries,UniqueIPs
1436419831,202196,202196
1436441424,204528,204528
1436463023,207413,207413
1436484639,212554,212554
1436506229,206299,206299
1436527824,208032,208032
1436549423,209087,209087
1436571024,211401,211401
1436612425,208775,208775
1436634023,212404,212404
1436655665,214241,214241
1436677225,207814,207814
1436698887,211172,211172
1436720423,213258,213258
1436742069,215587,215587
1436763629,209333,209333
1436785229,209869,209869
1436806827,212753,212753
1436828459,215107,215107
1436850027,213715,213715
1436871627,214528,214528
1436893224,217632,217632
1436914877,220069,220069
1436936427,214898,214898
1436958026,216478,216478
1436979625,219473,219473
1437001272,220024,220024
1437022825,215532,215532
1437044428,218125,218125
1437066024,220701,220701
1437087680,223060,223060
1437109227,215239,215239
1437130825,215526,215526
1437152424,217345,217345
1437174071,218394,218394
1437195624,214192,214192
1437217227,216015,216015
1437238823,217586,217586
1437260467,218897,218897
1437282026,211597,211597
1437303628,213665,213665
1437325223,215493,215493
1437346849,217789,217789
1437368423,213535,213535
1437390025,214330,214330
1437411626,215646,215646
1437433267,216177,216177
1437454824,211419,211419
1437476427,213487,213487
1437498022,216064,216064
1437519762,217626,217626
1437541229,212148,212148
1437562913,216010,216010
1437584474,217332,217332
1437660054,210361,210361
1437681738,211179,211179
1437703225,212850,212850
1437724822,205592,205592
1437746425,205642,205642
1437768022,208244,208244
1437789626,209060,209060
1437811221,200494,200494
1437832824,202316,202316
1437854422,202618,202618
1438394419,135847,135847
1438416016,137857,137857
1438437620,140879,140879
1438459217,143907,143907
1438480817,133650,133650
1438502416,135208,135208
1438524018,136535,136535
1438545617,138136,138136
1438567219,132143,132143
1438588817,133703,133703
1438610420,135271,135271
1438632017,136080,136080
1438653617,129390,129390
1438675216,130963,130963
1438696819,132025,132025
1438718416,134612,134612
1438740019,123899,123899
1438761616,125202,125202
1438783217,126509,126509
1438804816,128379,128379
1438947016,125881,125881
1438968617,126967,126967
1438990216,122285,122285
1439011816,123850,123850
1439033417,128993,128993
1439055016,130321,130321
1439076617,124348,124348
1439098217,125342,125342
1439119816,126381,126381
1439141416,128705,128705
1439163016,124256,124256
1439184617,125818,125818
1439184617,125818,125818
1439184617,125818,125818
1439184617,125818,125818
1439206216,127371,127371
1439227817,128415,128415
1439227817,128415,128415
1439249429,118785,118785
1439271017,119598,119598
1439292616,122691,122691
1439314216,124515,124515
1439335816,118612,118612
1439357416,120054,120054
1439379016,121136,121136
1439400616,123228,123228
1439422219,120448,120448
1439443816,122713,122713
1439465416,123261,123261
1439487016,125109,125109
1439508617,120890,120890
1439530215,121424,121424
1439551817,123768,123768
1439573416,125866,125866
1439595015,117760,117760
1439616615,117803,117803
1439638215,117855,117855
1439638215,117855,117855
1439659815,117910,117910
1439681415,117947,117947
1439703016,117988,117988
1439724615,118033,118033
1439746215,118079,118079
1439767815,118100,118100
1439789416,118145,118145
1439811015,118192,118192
1439832614,118263,118263
1439854219,118306,118306
1439875815,118359,118359
1439897416,118402,118402
1439919016,120742,120742
1439940616,122056,122056
1439962215,125914,125914
1439983817,126479,126479
1440005416,128311,128311
1440027016,129866,129866
1440048618,131688,131688
1440070216,133244,133244
1440091816,136082,136082
1440113417,136616,136616
1440135017,138624,138624
1440156618,139935,139935
1440156618,139935,139935
1440178217,141000,141000
1440199817,134246,134246
1440221417,136827,136827
1440243017,137883,137883
1440264616,139716,139716
1440286216,135706,135706
1440307816,137278,137278
1440329417,138580,138580
1440351018,140160,140160
1440372617,134787,134787
1440394216,136105,136105
1440415817,137730,137730
1440437417,139065,139065
1440459017,136442,136442
1440480617,137246,137246
1440502217,138814,138814
1440523816,139882,139882
1440545417,136424,136424
1440567017,137499,137499
1440588619,138818,138818
1440610217,140182,140182
1440631816,137592,137592
1440653416,138914,138914
1440653416,138914,138914
1440675017,140239,140239
1440696617,141823,141823
1440718216,136739,136739
1440739816,137904,137904
1440761416,140596,140596
1440783016,142771,142771
1440804616,137045,137045
1440826217,138617,138617
1440847816,140469,140469
1440869417,142805,142805
1440891017,138875,138875
1440912616,140959,140959
1440934216,143292,143292
1440955817,145119,145119
1440977416,140617,140617
1440999016,141939,141939
1441020616,147075,147075
1441042216,148401,148401
1441063817,143443,143443
1441085416,144792,144792
1441107015,145859,145859
1441128616,146913,146913
1441150215,142672,142672
1441171816,144755,144755
1441193416,146823,146823
1441215015,147387,147387
1441236616,144226,144226
1441258215,145292,145292
1441279816,148646,148646
1441301416,149728,149728
1441323016,146728,146728
1441344615,148315,148315
1441366216,149878,149878
1441387815,152496,152496
1441409416,154995,154995
1441431016,158093,158093
1441452617,158646,158646
1441474217,160228,160228
1441499416,160796,160796
1441521017,164387,164387
1441542616,166479,166479
1441564217,169706,169706
1441585817,170020,170020
1441607416,171118,171118
1441629017,172170,172170
1441650617,175353,175353
1441672217,170898,170898
1441693817,172465,172465
1441715418,174025,174025
1441737017,174320,174320
1441758617,170104,170104
1441780218,172186,172186
1441801817,173260,173260
1441823417,174587,174587
1441845017,169086,169086
1441866617,169623,169623
1441888217,169738,169738
1441909816,173457,173457
1441931417,167949,167949
1441953017,169266,169266
