DateTime,AddedIPs,RemovedIPs
1438291981,1,0
1438301096,0,1
1438351397,1,0
1438360401,0,1
1438507995,1,0
1438518800,0,1
1438559253,1,0
1438568244,0,1
1438597993,1,0
1438599801,0,1
1438605192,1,0
1438610599,0,1
1438948094,3,0
1438953446,0,1
1438957048,0,2
1439159593,1,0
1439613195,1,0
1439616799,1,0
1439620416,1,0
1439622238,0,1
1439625808,0,1
1439648319,0,0
1439760800,0,1
1439764413,1,0
1439926403,1,0
1439935424,0,1
1440023586,1,0
1440032612,0,1
1440161267,0,0
1440365559,1,0
1440374604,0,1
1440453817,0,1
1440668905,0,0
1440801192,1,0
1440802999,1,0
1440811998,0,1
1441181026,1,0
1441189995,0,1
1441451029,0,1
1441452799,0,1
1441489714,2,0
1441498703,0,1
1441521190,0,1
1441523011,1,0
1442858553,1,0
1442867562,0,1
1442874803,2,0
1442898169,1,0
1442907195,0,1
1442971979,1,0
1442980990,0,1
1443207749,0,4
1443346387,1,0
1443355384,0,1
1443567802,2,0
1443720765,0,1
1443724380,1,0
1443853963,1,0
1443862948,0,1
1443963755,2,0
1444136558,1,0
1444139295,1,0
1444141098,0,1
1444142896,1,0
1444149189,0,2
1444154595,1,0
1444266163,1,0
1444275178,0,1
1444397587,1,0
1444406592,0,1
1444491188,1,0
1444500188,0,1
1444689205,1,0
1444860198,0,1
1444861974,1,0
1444962779,0,2
1444966409,2,0
1445205806,0,1
1445207597,1,0
1445214805,1,1
1445220215,0,1
1445244448,1,0
1445277783,0,1
1445281390,1,0
1445304801,0,1
1445308404,1,0
1445321011,0,1
1445375004,1,0
1445383995,0,1
1445421784,1,0
1445427182,0,1
1445801598,1,0
1445808797,0,1
1445834002,1,0
1445844771,0,1
1446190375,1,0
1446199393,0,1
1446247318,0,2
1446298370,0,0
1446300200,0,0
1446373994,2,0
1446410996,0,0
1446414501,0,0
1446416263,0,0
1446489195,2,2
1446912201,0,0
1446935597,1,0
1446944570,0,0
1446989607,1,0
1446998733,0,1
1447044502,0,0
1447063406,2,0
1447066997,0,1
