DateTime,Entries,UniqueIPs
1438282998,15,15
1438282998,15,15
1438291981,16,16
1438301096,15,15
1438351397,16,16
1438360401,15,15
1438507995,16,16
1438518800,15,15
1438559253,16,16
1438568244,15,15
1438597993,16,16
1438599801,15,15
1438605192,16,16
1438610599,15,15
1438948094,18,18
1438953446,17,17
1438957048,15,15
1439119065,15,15
1439159593,16,16
1439192854,16,16
1439192854,16,16
1439195576,16,16
1439195576,16,16
1439195576,16,16
1439195576,16,16
1439200047,16,16
1439238781,16,16
1439613195,17,17
1439616799,18,18
1439620416,19,19
1439622238,18,18
1439625808,17,17
1439648319,17,17
1439760800,16,16
1439764413,17,17
1439926403,18,18
1439935424,17,17
1440023586,18,18
1440032612,17,17
1440161267,17,17
1440365559,18,18
1440374604,17,17
1440453817,16,16
1440668905,16,16
1440801192,17,17
1440802999,18,18
1440811998,17,17
1441181026,18,18
1441189995,17,17
1441451029,16,16
1441452799,15,15
1441489714,17,17
1441498703,16,16
1441521190,15,15
1441523011,16,16
1442858553,17,17
1442867562,16,16
1442874803,18,18
1442898169,19,19
1442907195,18,18
1442971979,19,19
1442980990,18,18
1443207749,14,14
1443346387,15,15
1443355384,14,14
1443567802,16,16
1443720765,15,15
1443724380,16,16
1443853963,17,17
1443862948,16,16
1443963755,18,18
1444136558,19,19
1444139295,20,20
1444141098,19,19
1444142896,20,20
1444149189,18,18
1444154595,19,19
1444266163,20,20
1444275178,19,19
1444397587,20,20
1444406592,19,19
1444491188,20,20
1444500188,19,19
1444689205,20,20
1444860198,19,19
1444861974,20,20
1444962779,18,18
1444966409,20,20
1445205806,19,19
1445207597,20,20
1445214805,20,20
1445220215,19,19
1445244448,20,20
1445277783,19,19
1445281390,20,20
1445304801,19,19
1445308404,20,20
1445321011,19,19
1445375004,20,20
1445383995,19,19
1445421784,20,20
1445427182,19,19
1445801598,20,20
1445808797,19,19
1445834002,20,20
1445844771,19,19
1446190375,20,20
1446199393,19,19
1446247318,17,17
1446373994,19,19
1446489195,19,19
1446935597,20,20
1446989607,21,21
1446998733,20,20
1447063406,22,22
1447066997,21,21
1447068784,19,19
