DateTime,Entries,UniqueIPs
1438282960,3,3
1438282960,3,3
1438301059,4,4
1438306354,2,2
1438387404,3,3
1438392732,2,2
1438473863,3,3
1438479147,2,2
1438561013,3,3
1438566413,2,2
1438647414,3,3
1438652835,2,2
1438733810,3,3
1438739215,2,2
1438948058,2,2
1438993009,3,3
1438998412,2,2
1439079409,3,3
1439084802,2,2
1439119028,2,2
1439164973,3,3
1439170351,2,2
1439192817,2,2
1439192817,2,2
1439195539,2,2
1439195539,2,2
1439195539,2,2
1439195539,2,2
1439200010,2,2
1439238744,2,2
1439251335,3,3
1439256756,2,2
1439337816,3,3
1439343156,2,2
1439424179,3,3
1439429556,2,2
1439510623,3,3
1439515952,2,2
1439597004,3,3
1439602353,2,2
1439648281,2,2
1439684215,3,3
1439689623,2,2
1439769826,3,3
1439775174,2,2
1439856142,3,3
1439861554,2,2
1439942574,3,3
1439947928,2,2
1440028994,4,4
1440034347,3,3
1440115336,4,4
1440120774,2,2
1440161230,2,2
1440201790,3,3
1440207169,2,2
1440289914,3,3
1440295504,2,2
1440374566,3,3
1440379950,2,2
1440460994,3,3
1440466346,2,2
1440547396,3,3
1440552769,2,2
1440633759,3,3
1440639160,2,2
1440669779,2,2
1440720219,3,3
1440725557,2,2
1440806591,3,3
1440811960,2,2
1440892989,3,3
1440898371,2,2
1440979359,3,3
1440986575,2,2
1441065793,3,3
1441071158,2,2
1441152234,3,3
1441157570,2,2
1441238548,3,3
1441243909,2,2
1441324948,3,3
1441330354,2,2
1441411392,3,3
1441416755,2,2
1441498665,3,3
1441504060,2,2
1441584180,3,3
1441589561,2,2
1441670581,3,3
1441675950,2,2
1441756955,3,3
1441762312,2,2
1441843344,3,3
1441848754,2,2
1441929795,3,3
1441935164,2,2
1442016179,3,3
1442021567,2,2
1442102541,3,3
1442107967,2,2
1442188991,3,3
1442194345,2,2
1442275340,3,3
1442280733,2,2
1442361759,3,3
1442367113,2,2
1442448164,3,3
1442453563,2,2
1442535425,3,3
1442540827,2,2
1442622744,3,3
1442628304,2,2
1442707379,3,3
1442712760,2,2
1442793765,3,3
1442799158,2,2
1442880164,3,3
1442885528,2,2
1442966575,3,3
1442971941,2,2
1443054732,3,3
1443060138,2,2
1443139378,3,3
1443144736,2,2
1443225751,3,3
1443231119,2,2
1443313945,3,3
1443319394,2,2
1443398541,3,3
1443403969,2,2
1443485007,3,3
1443490331,2,2
1443571384,3,3
1443576741,2,2
1443657751,3,3
1443663161,2,2
1443744191,3,3
1443749565,2,2
1443830587,3,3
1443835935,2,2
1443916940,3,3
1443922323,2,2
1444003337,3,3
1444008761,2,2
1444089745,3,3
1444095144,2,2
1444176142,3,3
1444181523,2,2
1444262592,3,3
1444267931,2,2
1444348938,3,3
1444354341,2,2
1444435383,3,3
1444440750,2,2
1444521795,3,3
1444527159,2,2
1444608178,3,3
1444613560,2,2
1444694586,3,3
1444699970,2,2
1444780943,3,3
1444786340,2,2
1444867341,4,4
1444872738,3,3
1444955563,4,4
1444960969,2,2
1445040185,3,3
1445045562,2,2
1445126592,3,3
1445131962,2,2
1445212944,3,3
1445219264,2,2
1445299389,3,3
1445304767,2,2
1445385787,3,3
1445391176,2,2
1445472138,3,3
1445477550,2,2
1445558580,3,3
1445563954,2,2
1445644941,3,3
1445650361,2,2
1445731340,3,3
1445736753,2,2
1445817736,3,3
1445823148,2,2
1445904179,3,3
1445909523,2,2
1445990540,3,3
1445995933,2,2
1446076961,3,3
1446082359,2,2
1446167838,3,3
1446169617,2,2
1446249851,3,3
1446255156,2,2
1446337065,3,3
1446342465,2,2
1446422618,3,3
1446427958,2,2
1446508992,3,3
1446515226,2,2
1446595404,3,3
1446600737,2,2
1446681740,3,3
1446687168,2,2
1446769924,3,3
1446775380,2,2
1446855428,3,3
1446859969,2,2
1446940980,3,3
1446946329,2,2
1447027333,3,3
1447032752,2,2
1447113794,3,3
1447119181,2,2
1447200199,3,3
1447205538,2,2
1447286589,3,3
1447291966,2,2
1447308336,1,1
1447373102,2,2
1447383954,1,1
1447459465,2,2
1447470323,1,1
1447546051,2,2
1447556702,1,1
1447632341,2,2
1447643092,1,1
1447718712,2,2
1447729491,1,1
1447805047,2,2
1447815886,1,1
1447891408,2,2
