DateTime,Entries,UniqueIPs
1438282884,9,9
1438282884,9,9
1438300973,10,10
1438560972,11,11
1438634780,12,12
1438676179,11,11
1438733778,13,13
1438998376,12,12
1439028978,14,14
1439079375,15,15
1439081172,17,17
1439088370,15,15
1439097372,17,17
1439102781,16,16
1439132489,15,15
1439141481,17,17
1439146882,16,16
1439157722,17,17
1439163081,15,15
1439188274,17,17
1439192773,17,17
1439194572,17,17
1439194572,17,17
1439194572,17,17
1439196371,15,15
1439196371,15,15
1439199972,15,15
1439234173,17,17
1439238675,17,17
1439240480,16,16
1439256678,15,15
1439258534,16,16
1439263879,14,14
1439272914,16,16
1439278278,15,15
1439280078,14,14
1439301707,15,15
1439307079,13,13
1439361080,15,15
1439366490,14,14
1439382688,15,15
1439389887,16,16
1439395290,14,14
1439429480,12,12
1439449281,14,14
1439454680,13,13
1439460080,14,14
1439461880,13,13
1439472679,11,11
1439478091,12,12
1439483488,10,10
1439533886,12,12
1439548280,13,13
1439551889,15,15
1439557318,14,14
1439566288,15,15
1439571682,13,13
1439649986,13,13
1439757985,15,15
1439765172,13,13
1439775974,12,12
1439898388,11,11
1439901986,12,12
1439905588,13,13
1439980287,12,12
1439987481,13,13
1439996478,12,12
1440070288,13,13
1440088279,12,12
1440115281,14,14
1440160279,14,14
1440288074,15,15
1440374475,16,16
1440421282,17,17
1440428482,16,16
1440633688,17,17
1440669702,17,17
1440806483,15,15
1440811883,13,13
1440838893,15,15
1440856904,16,16
1440860496,15,15
1440874898,16,16
1441392380,13,13
1441411278,14,14
1441497679,15,15
1441503980,14,14
1441641687,13,13
1441666879,14,14
1441724506,13,13
1441902671,14,14
1441908080,13,13
1441920671,14,14
1441965691,13,13
1442107888,12,12
1442194289,11,11
1442275289,12,12
1442314892,13,13
1442323886,11,11
1442329291,13,13
1442342789,11,11
1442344587,13,13
1442408496,12,12
1442412084,13,13
1442413881,14,14
1442448081,15,15
1442476880,14,14
1442480480,13,13
1442665888,14,14
1442707293,18,18
1442921478,17,17
1442925078,18,18
1442953887,17,17
1442955677,18,18
1442971871,17,17
1443108681,14,14
1443144686,13,13
1443166287,16,16
1443286887,15,15
1443312080,16,16
1443403893,12,12
1443448906,13,13
1443571304,15,15
1443616287,12,12
1443657679,14,14
1443668479,13,13
1443681087,14,14
1443780088,15,15
1443783688,14,14
1443801691,15,15
1443814288,14,14
1443826887,12,12
1444004178,13,13
1444008686,12,12
1444024877,15,15
1444094178,14,14
1444237278,15,15
1444263379,14,14
1444267877,12,12
1444271476,13,13
1444280481,12,12
1444336280,13,13
1444370474,12,12
1444410071,13,13
1444608977,12,12
1444617078,13,13
1444629677,15,15
1444633315,14,14
1444649482,13,13
1444671979,14,14
1444677388,13,13
1444687295,14,14
1444699889,13,13
1444728687,12,12
1444734086,13,13
1444867279,14,14
1444887075,12,12
1444892481,14,14
1444919488,13,13
1445008582,11,11
1445070671,13,13
1445171488,12,12
1445180491,13,13
1445266876,11,11
1445284895,13,13
1445288491,14,14
1445292089,14,14
1445304687,13,13
1445330787,12,12
1445365887,13,13
1445369487,12,12
1445537795,12,12
1445563881,11,11
1445608880,12,12
1445717780,11,11
1445731291,12,12
1445871678,13,13
1445882478,12,12
1446156081,11,11
1446157881,14,14
1446167778,16,16
1446169579,15,15
1446174087,16,16
1446175881,13,13
1446250584,14,14
1446426142,13,13
1446427878,12,12
1446443179,13,13
1446487282,14,14
1446490879,13,13
1446584471,14,14
1446762685,13,13
1446860787,12,12
1446946287,11,11
1447005692,12,12
1447028191,13,13
1447086681,10,10
1447089380,13,13
1447093882,10,10
1447095681,13,13
1447101099,10,10
1447102888,13,13
1447108291,10,10
1447110081,13,13
1447115490,10,10
1447141581,13,13
1447189283,10,10
1447191082,13,13
1447200114,14,14
1447308217,5,5
1447556492,4,4
1447650071,2,2
1447653677,4,4
1447718623,6,6
1447729392,5,5
1447779681,6,6
1447783281,4,4
1447790482,5,5
1447801288,4,4
1447822882,6,6
1447833679,7,7
1447848078,6,6
