DateTime,Entries,UniqueIPs
1438283342,5,5
1438283342,5,5
1438394029,4,4
1438474939,6,6
1438480430,5,5
1438560574,6,6
1438653167,5,5
1438734136,6,6
1438948434,5,5
1438998740,4,4
1439119340,4,4
1439165275,6,6
1439170657,5,5
1439193084,5,5
1439193084,5,5
1439194893,5,5
1439194893,5,5
1439194893,5,5
1439196744,5,5
1439199456,5,5
1439238081,5,5
1439257889,4,4
1439425276,5,5
1439598089,8,8
1439603478,6,6
1439648548,6,6
1439799722,8,8
1439805087,6,6
1439862685,5,5
1439889797,7,7
1439895096,5,5
1439927493,7,7
1439932899,5,5
1439974264,7,7
1439979787,5,5
1440006738,6,6
1440030079,7,7
1440035495,4,4
1440159699,4,4
1440202904,6,6
1440289379,9,9
1440461298,10,10
1440466637,9,9
1440548486,13,13
1440634897,14,14
1440640330,12,12
1440669149,12,12
1440726719,9,9
1440893290,12,12
1440899580,11,11
1440985918,7,7
1441072293,6,6
1441153273,7,7
1441331504,3,3
1441367481,4,4
1441590680,3,3
1441843629,7,7
1442281969,3,3
1442449285,5,5
1442564584,6,6
1442825576,5,5
1442886798,3,3
1442967675,4,4
1443405106,3,3
1443658058,5,5
1443831696,6,6
1444004504,7,7
1444095462,5,5
1444268206,4,4
1444436460,5,5
1444441890,4,4
1444695697,5,5
1444867648,6,6
1444873044,5,5
1445133107,4,4
1445300498,5,5
1445305912,4,4
1445392343,5,5
1445646170,8,8
1445731658,10,10
1445737891,7,7
1445779329,9,9
1445784734,7,7
1446083545,4,4
1446423737,6,6
1446510110,7,7
1446515512,6,6
1446855686,7,7
1446861094,5,5
1446946608,4,4
1447114910,6,6
1447132008,5,5
1447147299,6,6
1447178831,5,5
1447183315,6,6
1447195900,5,5
1447201328,6,6
1447287716,7,7
1447292281,6,6
1447312285,3,3
1447474109,4,4
1447488695,3,3
1447546384,5,5
1447557136,4,4
1447632630,5,5
1447643382,4,4
1447718984,5,5
1447989064,3,3
1448075325,2,2
