DateTime,Entries,UniqueIPs
1438282917,2,2
1438282917,2,2
1439118990,2,2
1439192790,2,2
1439194610,2,2
1439194610,2,2
1439194610,2,2
1439196400,2,2
1439196400,2,2
1439199986,2,2
1439238706,2,2
1439648236,2,2
1439713909,3,3
1440161199,3,3
1440415919,4,4
1440669737,4,4
1440685919,3,3
1441392421,5,5
1441724536,6,6
1442022427,3,3
1442763119,5,5
1442943106,4,4
1443114091,3,3
1443447125,4,4
1443454326,3,3
1443555129,2,2
1443706291,4,4
1444613518,2,2
1445299342,4,4
1446427915,2,2
1447311872,0,0
1447682520,2,2
