DateTime,AddedIPs,RemovedIPs
1438353266,1,0
1438610674,1,0
1438616069,0,1
1438702459,1,0
1438706058,0,1
1439219920,0,1
1439221719,1,0
1439648361,0,0
1440061423,0,1
1440063239,1,0
1440160445,0,0
1440446643,1,0
1440538434,0,1
1440668945,0,0
1442547207,1,0
1443393237,1,0
1443648846,0,1
1443650656,1,0
1443711834,0,1
1443713652,1,0
1443877417,0,1
1443879246,1,0
1443884621,0,1
1444088035,1,0
1444101679,0,1
1444259034,0,1
1444260824,1,0
1445744057,0,1
1445745839,1,0
1446247402,1,0
1446249168,0,1
1446250813,1,0
1446252547,1,0
1446258838,0,1
1446263315,1,0
1446278629,0,1
1446281358,1,0
1446298410,0,0
1446300242,0,0
1446388399,0,1
1446390192,1,0
1446411042,0,0
1446414543,0,0
1446416308,0,0
1446423523,1,0
1446557631,0,1
1446559428,1,0
1446742128,0,1
1446743899,1,0
1446773652,0,1
1446775463,1,0
1446782651,0,1
1446784445,1,0
1446868107,0,1
1446869946,1,0
1446912245,0,0
1446943787,0,0
1447013098,0,1
1447016710,1,0
1447045403,0,0
1447165134,0,1
1447168742,1,0
1447254256,0,1
1447256053,1,0
1447260513,0,1
1447262359,1,0
1447312049,0,1
1447319088,0,1
1447322806,1,0
1447326371,1,1
1447329938,1,0
1447340728,0,1
1447344288,1,0
1447358701,0,1
1447362264,1,0
1447384032,0,1
1447391185,1,0
1447394729,0,1
1447416265,0,1
1447419973,1,0
1447423462,0,1
1447434366,1,0
1447437909,1,0
1447452363,0,1
1447459542,1,0
1447463135,0,1
1447466773,1,0
1447481237,0,1
1447484760,1,1
1447488469,1,0
1447502839,0,1
1447509985,0,2
1447513619,1,0
1447524283,1,1
1447527881,1,0
1447538719,1,0
1447542538,0,1
1447546130,1,0
1447578387,0,1
1447607080,0,1
1447614297,1,0
1447617891,0,1
1447625093,1,0
1447628695,1,0
1447646763,0,1
1447650251,1,1
1447661167,1,2
1447664655,1,0
1447668315,0,1
1447671900,1,0
1447675504,1,0
1447682658,1,0
1447693492,0,1
1447700712,1,1
1447707925,1,0
1447740279,0,1
1447751109,0,1
1447754768,2,0
1447758252,0,1
1447769169,1,1
1447779859,1,0
1447797876,0,2
1447801538,1,1
1447808702,2,0
1447826697,0,1
