DateTime,Entries,UniqueIPs
1438283074,3,3
1438283074,3,3
1438353266,4,4
1438610674,5,5
1438616069,4,4
1438702459,5,5
1438706058,4,4
1439119106,4,4
1439192892,4,4
1439192892,4,4
1439195615,4,4
1439195615,4,4
1439195615,4,4
1439195615,4,4
1439200090,4,4
1439219920,3,3
1439221719,4,4
1439238821,4,4
1439648361,4,4
1440061423,3,3
1440063239,4,4
1440160445,4,4
1440446643,5,5
1440538434,4,4
1440668945,4,4
1442547207,5,5
1443393237,6,6
1443648846,5,5
1443650656,6,6
1443711834,5,5
1443713652,6,6
1443877417,5,5
1443879246,6,6
1443884621,5,5
1444088035,6,6
1444101679,5,5
1444259034,4,4
1444260824,5,5
1445744057,4,4
1445745839,5,5
1446247402,6,6
1446249168,5,5
1446250813,6,6
1446252547,7,7
1446258838,6,6
1446263315,7,7
1446278629,6,6
1446281358,7,7
1446388399,6,6
1446390192,7,7
1446423523,8,8
1446557631,7,7
1446559428,8,8
1446742128,7,7
1446743899,8,8
1446773652,7,7
