DateTime,Entries,UniqueIPs
1445662289,68,68
1445669541,67,67
1445680297,68,68
1445689323,67,67
1445694683,68,68
1445696491,67,67
1445698265,68,68
1445701062,67,67
1445702844,68,68
1445710957,67,67
1445726252,66,66
1445729852,68,68
1445734304,67,67
1445735262,68,68
1445737887,67,67
1445741534,66,66
1445743341,67,67
1445755888,68,68
1445761362,67,67
1445763148,68,68
1445768557,67,67
1445772069,68,68
1445777535,66,66
1445784715,67,67
1445786513,67,67
1445787392,68,68
1445790119,67,67
1445791903,66,66
1445795549,67,67
1445801848,68,68
1445808077,67,67
1445809880,68,68
1445816245,67,67
1445818031,67,67
1445819839,69,69
1445824326,68,68
1445826084,68,68
1445831491,67,67
1445833286,67,67
1445836961,68,68
1445838715,67,67
1445845937,68,68
1445847738,67,67
1445851312,66,66
1445853107,67,67
1445856703,68,68
1445862152,67,67
1445863954,68,68
1445869328,66,66
1445871144,67,67
1445872941,68,68
1445878268,67,67
1445881933,66,66
1445883734,67,67
1445889081,68,68
1445894484,67,67
1445907095,69,69
1445912565,68,68
1445917896,67,67
1445921558,68,68
1445925159,67,67
1445926991,67,67
1445927813,68,68
1445931395,67,67
1445934162,67,67
1445938591,66,66
1445940391,67,67
1445943982,68,68
1445944955,67,67
1445949462,68,68
1445966483,67,67
1445970072,68,68
1445978172,67,67
1445980009,68,68
1445987331,67,67
1445989135,66,66
1445989895,67,67
1445991755,68,68
1445995315,69,69
1445997158,69,69
1446007011,68,68
1446008844,68,68
1446013357,69,69
1446015095,68,68
1446021415,69,69
1446025925,68,68
1446035867,67,67
1446036706,68,68
1446040303,69,69
1446052911,68,68
1446057404,69,69
1446060144,68,68
1446060976,69,69
1446062785,70,70
1446068180,69,69
1446071770,68,68
1446073599,69,69
1446078113,71,71
1446083527,70,70
1446093385,69,69
1446097057,70,70
1446110479,71,71
1446115886,70,70
1446121340,70,70
1446124892,71,71
1446127603,70,70
1446131169,69,69
1446132154,70,70
1446134777,71,71
1446144668,70,70
1446148276,71,71
1446150154,70,70
1446160012,71,71
1446161781,70,70
1446167241,72,72
1446169053,71,71
1446169873,70,70
1446178960,71,71
1446186124,70,70
1446190602,71,71
1446192456,70,70
1446198761,71,71
1446200508,70,70
1446202317,71,71
1446204147,70,70
1446207683,71,71
1446209485,70,70
1446213136,71,71
1446229291,70,70
1446231098,71,71
1446236488,70,70
1446237449,71,71
1446241000,70,70
1446242948,71,71
1446248577,70,70
1446250458,71,71
1446256272,70,70
1446259867,69,69
1446261690,71,71
1446267129,70,70
1446269063,71,71
1446274425,70,70
1446278844,71,71
1446284200,70,70
1446286955,69,69
1446288763,70,70
1446290523,71,71
1446295029,70,70
1446302264,71,71
1446307673,70,70
1446308526,70,70
1446310285,71,71
1446321153,70,70
1446326501,69,69
1446328290,70,70
1446330254,71,71
1446335512,70,70
1446337376,71,71
1446342776,70,70
1446346391,71,71
1446351833,70,70
1446352591,69,69
1446353559,70,70
1446355304,71,71
1446374262,69,69
1446376051,70,70
1446377825,71,71
1446379572,70,70
1446386829,69,69
1446390391,71,71
1446400324,70,70
1446403907,71,71
1446408439,69,69
1446409402,70,70
1446414777,69,69
1446416500,71,71
1446419271,72,72
1446421035,71,71
1446422063,72,72
1446423720,73,73
1446428235,72,72
1446439042,71,71
1446441757,72,72
1446447079,71,71
1446453393,72,72
1446459755,71,71
1446461530,70,70
1446463283,71,71
1446465143,72,72
1446474144,71,71
1446477690,71,71
1446479469,72,72
1446483131,71,71
1446488497,72,72
1446493941,71,71
1446495748,72,72
1446501082,70,70
1446503871,72,72
1446510100,72,72
1446512895,71,71
1446513689,72,72
1446515502,71,71
1446519121,71,71
1446522689,72,72
1446524485,71,71
1446531680,72,72
1446533499,71,71
1446535270,72,72
1446541573,71,71
1446542540,72,72
1446546146,71,71
1446546989,72,72
1446552413,71,71
1446554247,72,72
1446556048,71,71
1446558670,70,70
1446560486,71,71
1446582146,70,70
1446583943,71,71
1446585750,72,72
1446591066,71,71
1446592874,72,72
