DateTime,Entries,UniqueIPs
1444735877,14,14
1444739477,15,15
1444746677,14,14
1444748477,15,15
1444750277,14,14
1444752077,15,15
1444761077,16,16
1444766475,15,15
1444768277,16,16
1444770078,15,15
1444773688,16,16
1444779075,15,15
1444780876,16,16
1444789876,15,15
1444791676,14,14
1444793477,13,13
1444795290,14,14
1444797075,16,16
1444802476,15,15
1444804277,16,16
1444809675,15,15
1444820476,14,14
1444824077,14,14
1444825877,16,16
1444829475,14,14
1444831275,16,16
1444834878,15,15
1444836677,14,14
1444838478,15,15
1444842079,16,16
1444847477,14,14
1444849276,15,15
1444854676,14,14
1444856477,15,15
1444861875,14,14
1444867275,15,15
1444870874,16,16
1444876276,15,15
1444878075,15,15
1444881677,15,15
1444883477,14,14
1444885279,16,16
1444890677,15,15
1444892477,16,16
1444894276,15,15
1444896077,16,16
1444897877,15,15
1444903277,14,14
1444905078,15,15
1444908676,16,16
1444912277,15,15
1444914077,15,15
1444915876,16,16
1444921277,15,15
1444927576,16,16
1444931177,15,15
1444932976,14,14
1444936575,15,15
1444943778,16,16
1444945577,15,15
1444949176,16,16
1444955471,15,15
1444957272,14,14
1444959076,15,15
1444960873,16,16
1444964471,15,15
1444971671,15,15
1444973481,16,16
1444978870,15,15
1444982470,16,16
1444995069,15,15
1444996870,15,15
1445004071,15,15
1445016670,14,14
1445020271,15,15
1445022070,14,14
1445025671,15,15
1445034670,16,16
1445040074,15,15
1445041879,16,16
1445042770,15,15
1445044569,16,16
1445048171,15,15
1445067070,14,14
1445068870,15,15
1445072476,16,16
1445081471,15,15
1445083270,15,15
1445088670,14,14
1445091381,15,15
1445095869,14,14
1445097671,15,15
1445104871,14,14
1445110270,15,15
1445113871,16,16
1445115670,15,15
1445124670,16,16
1445128277,15,15
1445131878,16,16
1445134586,15,15
1445136377,15,15
1445147177,14,14
1445148977,15,15
1445150776,16,16
1445157077,14,14
1445158877,15,15
1445164276,16,16
1445166076,15,15
1445167877,16,16
1445178677,15,15
1445180480,16,16
1445185876,15,15
1445189476,16,16
1445193077,15,15
1445194882,14,14
1445196676,15,15
1445203877,14,14
1445205678,15,15
1445211077,14,14
1445212880,15,15
1445220976,14,14
1445221875,15,15
1445225477,16,16
1445244376,16,16
1445247976,15,15
1445251577,13,13
1445253377,14,14
1445255177,15,15
1445258777,16,16
1445261476,14,14
1445263277,16,16
1445270477,15,15
1445272277,16,16
1445274977,15,15
1445276776,16,16
1445278577,15,15
1445281276,16,16
1445286677,15,15
1445287577,16,16
1445289377,15,15
1445291177,16,16
1445296576,15,15
1445297477,16,16
1445301077,15,15
1445303778,16,16
1445304676,15,15
1445307377,16,16
1445312776,15,15
1445314578,14,14
1445317279,15,15
1445324483,14,14
1445326277,15,15
1445328077,16,16
1445329878,15,15
1445330776,16,16
1445332576,15,15
1445346077,15,15
1445349684,16,16
1445358678,15,15
1445365877,16,16
1445371275,15,15
1445373077,16,16
1445382077,15,15
1445385681,16,16
1445388377,15,15
1445390178,14,14
1445391077,15,15
1445414477,16,16
1445423477,14,14
1445425277,15,15
1445427077,16,16
1445439678,15,15
1445443277,14,14
1445445077,15,15
1445453177,16,16
1445459476,15,15
1445464876,16,16
1445475676,15,15
1445481075,16,16
1445486509,15,15
1445493681,14,14
1445495478,15,15
1445504480,16,16
1445509875,15,15
1445537784,16,16
1445539577,17,17
1445553078,15,15
1445558478,17,17
1445563869,15,15
1445566570,16,16
1445568378,17,17
1445570170,16,16
1445574671,15,15
1445576474,16,16
1445578267,17,17
1445581871,16,16
1445584571,16,16
1445586370,17,17
1445590869,16,16
1445593570,15,15
1445595370,16,16
1445607971,17,17
1445620570,16,16
1445625970,14,14
1445630471,15,15
1445632270,16,16
1445638570,17,17
1445640369,16,16
1445643070,17,17
1445644871,16,16
1445646670,17,17
1445648471,16,16
1445650271,17,17
1445652076,16,16
1445655670,16,16
1445661069,16,16
1445662878,17,17
1445674570,16,16
1445678169,17,17
1445681781,16,16
1445684472,17,17
1445694370,16,16
1445696171,15,15
1445703371,16,16
1445705171,15,15
1445711470,16,16
1445715969,15,15
1445717770,16,16
1445727670,15,15
1445751078,16,16
1445760077,15,15
1445765476,16,16
1445769976,15,15
1445783486,16,16
1445788877,15,15
1445793387,15,15
1445805076,16,16
1445830276,15,15
1445831176,16,16
1445832977,15,15
1445834777,16,16
1445837488,15,15
1445851876,16,16
1445853678,15,15
1445860878,14,14
1445866276,15,15
1445868076,16,16
1445877077,15,15
1445882477,16,16
1445884277,15,15
1445887877,16,16
1445893276,15,15
1445898677,16,16
1445904084,15,15
1445907677,14,14
1445911275,15,15
1445916676,16,16
1445922977,15,15
1445925685,16,16
1445931079,15,15
1445936476,16,16
1445945477,15,15
1445947309,16,16
1445949076,15,15
1445950875,16,16
