DateTime,Entries,UniqueIPs
1438006574,10489,10489
1438093103,10676,10676
1438180036,10764,10764
1438266997,11141,11141
1438353996,11092,11092
1438440867,11181,11181
1438527620,11169,11169
1438614580,11166,11166
1438701520,11259,11259
1438788502,11504,11504
1438948746,11705,11705
1439036056,11550,11550
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439210184,11509,11509
1439210184,11509,11509
1439297135,11732,11732
1439384054,11671,11671
1439470818,11360,11360
1439557773,11175,11175
1439644789,11157,11157
1439644789,11157,11157
1439731646,11089,11089
1439818584,11095,11095
1439905555,11168,11168
1439992084,11138,11138
1440079224,11103,11103
1440079224,11103,11103
1440166732,10944,10944
1440254221,10766,10766
1440341353,10417,10417
1440428434,10254,10254
1440515904,10306,10306
1440603386,10259,10259
1440603386,10259,10259
1440690952,9987,9987
1440778224,9780,9780
1440865679,9425,9425
1440953152,9293,9293
1441041130,9168,9168
1441128438,9144,9144
1441215558,9097,9097
1441302861,8918,8918
1441390179,8825,8825
1441477290,8689,8689
1441564716,8560,8560
1441652086,8621,8621
1441739399,8842,8842
1441826930,8851,8851
1441914364,8784,8784
1442003310,8698,8698
1442090743,8527,8527
1442178057,8261,8261
1442265513,8223,8223
1442352717,8280,8280
1442440297,8249,8249
1442527391,8131,8131
1442614816,8017,8017
1442701828,8007,8007
1442789144,7983,7983
1442876482,8000,8000
1442963934,8014,8014
1443050943,7887,7887
1443138350,7755,7755
1443225384,7383,7383
1443312590,6832,6832
1443400096,6756,6756
1443487581,6783,6783
1443574847,6757,6757
1443661931,6839,6839
1443749327,6869,6869
1443836852,6943,6943
1443924317,6981,6981
1444011872,6986,6986
1444099319,7110,7110
1444186504,6855,6855
1444273839,6579,6579
1444361273,6403,6403
1444448775,6340,6340
1444536031,6222,6222
1444623536,6194,6194
1444711062,6417,6417
1444798507,6521,6521
1444885801,6480,6480
1444973271,6387,6387
1445060758,6426,6426
1445148090,6429,6429
1445244807,6386,6386
1445332170,6427,6427
1445419695,6454,6454
1445507139,6505,6505
1445594549,6580,6580
1445681963,6573,6573
1445769509,6577,6577
1445856889,6541,6541
1445944202,6560,6560
1446031678,6573,6573
1446119295,6551,6551
1446206426,6625,6625
1446293942,6328,6328
1446381422,6303,6303
1446470671,6277,6277
1446557830,6320,6320
1446645356,6790,6790
1446733511,7252,7252
1446824321,7481,7481
1446911361,7517,7517
1446998581,7524,7524
1447086010,7535,7535
1447173426,7840,7840
1447260880,7766,7766
1447348176,7694,7694
1447435690,7711,7711
1447523147,7641,7641
1447610439,7627,7627
1447697941,7626,7626
1447785412,7658,7658
1447872969,7675,7675
