DateTime,AddedIPs,RemovedIPs
1434840868,2,0
1434927616,0,1
1435014584,0,1
1435101502,1,2
1435188454,2,3
1435275403,1,1
1435362320,0,1
1435449254,1,4
1435536006,1,4
1435622969,1,1
1435709933,2,2
1435796826,2,5
1435883783,1,2
1435970708,0,3
1436057725,0,2
1436144432,1,1
1436231708,1,3
1436318295,2,1
1436405228,5,6
1436492182,6,4
1436613819,12,6
1436700425,59,1
1436787420,96,2
1436874311,64,0
1436961253,154,2
1437048016,129,1
1437134994,136,0
1437221984,79,1
1437308832,152,0
1437395793,120,0
1437482716,118,1
1437569659,159,1
1437660990,89,2
1437748073,97,1
1437835023,72,1
1437921909,74,1
1438008851,87,0
1438095647,74,2
1438182586,11,3
1438269501,2,0
1438356431,2,3
1438617282,1,0
1438704012,1,1
1438790970,3,1
1438948750,8,3
1439036058,5,2
1439123576,0,1
1439210186,3,4
1439297137,1,13
1439384057,1,22
1439470821,2,16
1439557776,2,47
1439644791,3,43
1439731649,4,63
1439818586,4,34
1439905558,6,55
1439992086,1,81
1440079227,1,67
1440166734,4,115
1440254223,11,84
1440341355,8,103
1440428436,11,143
1440515907,8,157
1440603388,6,222
1440690954,1,439
1440778226,7,89
1440865681,6,2
1440953154,6,1
1441041132,4,0
1441128441,4,0
1441215561,3,0
1441302863,2,1
1441390181,4,2
1441477292,4,0
1441564718,3,0
1441652088,1,0
1441739401,8,2
1441826932,4,1
1441914366,4,4
1442003312,4,0
1442090745,6,1
1442178059,4,3
1442265515,3,1
1442352720,3,5
1442440299,5,1
1442527393,4,0
1442614818,6,2
1442701831,11,3
1442789146,8,3
1442876484,6,1
1442963937,8,6
1443050945,4,4
1443138352,7,3
1443225386,6,5
1443312592,4,2
1443400099,4,1
1443487584,9,1
1443574850,2,6
1443661933,8,2
1443749329,4,1
1443836855,5,2
1443924333,1,3
1444011874,1,2
1444099322,5,4
1444186506,2,3
1444273842,4,2
1444361275,6,2
1444448778,2,3
1444536033,2,2
1444623539,4,5
1444711064,7,4
1444798509,5,3
1444885803,19,5
1444973273,8,3
1445060760,4,5
1445148092,1,4
1445244810,12,5
1445332173,9,3
1445419697,6,2
1445507141,6,1
1445594551,12,8
1445681965,10,2
1445769513,8,3
1445856891,11,6
1445944205,12,7
1446031680,9,5
1446119297,12,4
1446206428,10,4
1446293944,10,4
1446381424,19,8
1446470672,10,12
1446557831,7,3
1446645357,13,1
1446733513,10,7
1446824323,15,4
1446911363,7,9
1446998582,15,3
1447086011,5,0
1447173427,15,3
1447260881,16,10
1447348177,13,4
1447435691,7,2
1447523148,12,16
1447610440,8,6
1447697943,10,3
1447785413,15,2
1447872970,17,2
