DateTime,AddedIPs,RemovedIPs
1434840874,1,1
1434927622,0,2
1435014591,2,2
1435101507,1,2
1435188459,3,1
1435275408,1,1
1435362325,2,0
1435536011,3,1
1435622975,1,1
1435709938,2,0
1435796831,1,0
1435883788,1,1
1436144437,1,1
1436231713,1,4
1436318300,3,0
1436405234,3,0
1436492187,1,1
1436613827,2,1
1436700430,2,0
1436874316,1,0
1436961261,1,0
1437221989,0,1
1437395798,1,0
1437482722,2,0
1437569664,0,1
1437660996,0,1
1437748080,0,1
1437835030,0,1
1437921915,1,0
1438095654,0,5
1438182593,0,1
1438269507,2,3
1438356438,0,1
1438443396,1,1
1438530329,1,2
1438617288,3,0
1438790976,0,2
1438948757,1,3
1439036064,1,1
1439210194,3,2
1439297144,6,2
1439470828,0,2
1439557783,2,0
1439644798,1,0
1439818593,1,1
1439992092,0,1
1440079233,2,2
1440166741,1,0
1440254229,1,0
1440341362,1,0
1440428442,2,0
1440515913,0,2
1440603394,1,1
1440778233,1,0
1440865687,0,1
1441041137,0,1
1441128447,0,2
1441215567,0,1
1441302873,2,1
1441390186,1,1
1441477298,1,0
1441564723,1,2
1441652094,1,0
1441739407,3,0
1441826938,1,0
1441914372,3,0
1442090750,1,0
1442178064,1,0
1442352727,0,2
1442440305,2,4
1442527399,1,0
1442701839,1,3
1442789152,1,1
1442876490,1,3
1443050951,1,0
1443138358,0,2
1443225392,2,0
1443312598,1,0
1443400105,0,1
1443487592,1,0
1443661941,2,0
1443749335,1,0
1443836862,1,0
1443924350,0,4
1444011881,2,2
1444099329,0,1
1444186513,1,1
1444273848,13,1
1444361281,0,3
1444448788,3,1
1444623544,1,0
1444711070,1,1
1444973279,1,0
1445060766,1,1
1445148098,0,3
1445244816,1,1
1445332178,0,2
1445419702,2,0
1445507147,0,1
1445769519,2,1
1445856897,2,0
1445944211,0,1
1446031686,1,0
1446206434,2,0
1446293950,0,0
1446381430,3,0
1446557835,1,1
1446645361,2,1
1446733517,1,0
1446824329,3,1
1446911367,1,20
1446998586,1,1
1447086017,0,1
1447173432,0,1
1447260886,10,3
1447348181,1,0
1447435696,1,0
1447523153,2,2
1447610444,3,1
1447697947,1,0
1447960481,0,2
1448049425,1,1
