DateTime,Entries,UniqueIPs
1434479288,22,22
1434580718,22,22
1434667365,23,23
1434667365,23,23
1434840874,23,23
1434927622,21,21
1435014591,21,21
1435101507,20,20
1435188459,22,22
1435275408,22,22
1435362325,24,24
1435536011,26,26
1435622975,26,26
1435709938,28,28
1435796831,29,29
1435883788,29,29
1436144437,29,29
1436231713,26,26
1436318300,29,29
1436405234,32,32
1436492187,32,32
1436613827,33,33
1436700430,35,35
1436874316,36,36
1436961261,37,37
1437221989,36,36
1437395798,37,37
1437482722,39,39
1437569664,38,38
1437660996,37,37
1437748080,36,36
1437835030,35,35
1437921915,36,36
1438095654,31,31
1438182593,30,30
1438269507,29,29
1438356438,28,28
1438443396,28,28
1438530329,27,27
1438617288,30,30
1438790976,28,28
1438948757,26,26
1439036064,26,26
1439123583,26,26
1439123583,26,26
1439123583,26,26
1439210194,27,27
1439210194,27,27
1439297144,31,31
1439470828,29,29
1439557783,31,31
1439644798,32,32
1439644798,32,32
1439818593,32,32
1439992092,31,31
1440079233,31,31
1440079233,31,31
1440166741,32,32
1440254229,33,33
1440341362,34,34
1440428442,36,36
1440515913,34,34
1440603394,34,34
1440603394,34,34
1440778233,35,35
1440865687,34,34
1441041137,33,33
1441128447,31,31
1441215567,30,30
1441302873,31,31
1441390186,31,31
1441477298,32,32
1441564723,31,31
1441652094,32,32
1441739407,35,35
1441826938,36,36
1441914372,39,39
1442090750,40,40
1442178064,41,41
1442352727,39,39
1442440305,37,37
1442527399,38,38
1442701839,36,36
1442789152,36,36
1442876490,34,34
1443050951,35,35
1443138358,33,33
1443225392,35,35
1443312598,36,36
1443400105,35,35
1443487592,36,36
1443661941,38,38
1443749335,39,39
1443836862,40,40
1443924350,36,36
1444011881,36,36
1444099329,35,35
1444186513,35,35
1444273848,47,47
1444361281,44,44
1444448788,46,46
1444623544,47,47
1444711070,47,47
1444973279,48,48
1445060766,48,48
1445148098,45,45
1445244816,45,45
1445332178,43,43
1445419702,45,45
1445507147,44,44
1445769519,45,45
1445856897,47,47
1445944211,46,46
1446031686,47,47
1446206434,49,49
1446381430,52,52
1446557835,52,52
1446645361,53,53
1446733517,54,54
1446824329,56,56
1446911367,37,37
1446998586,37,37
1447086017,36,36
1447173432,35,35
1447260886,42,42
1447348181,43,43
1447435696,44,44
1447523153,44,44
1447610444,46,46
1447697947,47,47
1447960481,45,45
1448049425,45,45
