DateTime,Entries,UniqueIPs
1446639032,596,596
1446640225,594,594
1446641204,595,595
1446643642,594,594
1446646167,592,592
1446647260,590,590
1446648850,588,588
1446649794,589,589
1446650849,588,588
1446651497,587,587
1446653444,584,584
1446654528,583,583
1446655778,584,584
1446656432,584,584
1446668358,579,579
1446669470,576,576
1446670889,577,577
1446671801,575,575
1446674043,577,577
1446674754,575,575
1446675369,574,574
1446678081,575,575
1446681351,574,574
1446683253,575,575
1446684329,577,577
1446685330,576,576
1446686323,577,577
1446687519,574,574
1446688530,574,574
1446689385,572,572
1446691586,568,568
1446693526,566,566
1446694650,567,567
1446697646,566,566
1446700707,565,565
1446701856,563,563
1446705983,564,564
1446706845,563,563
1446707912,562,562
1446710987,561,561
1446712077,559,559
1446714072,556,556
1446715125,557,557
1446717258,556,556
1446720407,557,557
1446721232,557,557
1446722310,559,559
1446723401,559,559
1446724527,558,558
1446725443,552,552
1446727545,554,554
1446729503,554,554
1446732597,553,553
1446734243,556,556
1446735257,555,555
1446740341,554,554
1446741428,553,553
1446742451,554,554
1446743366,555,555
1446744445,556,556
1446747087,552,552
1446748062,553,553
1446750029,554,554
1446752207,555,555
1446753259,556,556
1446754190,557,557
1446755322,556,556
1446757259,557,557
1446758329,556,556
1446762453,554,554
1446763088,551,551
1446766040,550,550
1446766716,551,551
1446768613,550,550
1446769711,549,549
1446773861,550,550
1446775794,547,547
1446778028,544,544
1446782975,542,542
1446785164,538,538
1446787103,540,540
1446789279,540,540
1446790197,539,539
1446791244,540,540
1446795388,541,541
1446798449,543,543
1446799584,544,544
1446801600,543,543
1446807643,540,540
1446813950,539,539
1446815921,538,538
1446818094,537,537
1446820050,536,536
1446824737,532,532
1446828527,531,531
1446830251,531,531
1446830934,529,529
1446833830,529,529
1446836633,527,527
1446838646,526,526
1446839659,525,525
1446841645,525,525
1446845266,525,525
1446847766,524,524
1446854055,523,523
1446858075,521,521
1446861264,520,520
1446863007,518,518
1446865341,519,519
1446866431,518,518
1446867423,517,517
1446869167,519,519
1446871596,518,518
1446873525,516,516
1446874598,517,517
1446875414,516,516
1446877658,515,515
1446878749,517,517
1446883804,516,516
1446885941,515,515
1446889052,515,515
1446890983,516,516
1446892051,515,515
1446893205,514,514
1446894059,513,513
1446895115,514,514
1446897325,515,515
1446898179,514,514
1446901291,513,513
1446905365,512,512
1446906438,510,510
1446907664,509,509
1446913231,508,508
1446914600,509,509
1446915247,509,509
1446918340,508,508
1446921399,507,507
1446923964,508,508
1446925224,509,509
1446927426,508,508
