DateTime,Entries,UniqueIPs
1446545391,15876,15876
1446546449,15875,15875
1446547542,15888,15888
1446548446,15876,15876
1446549509,15895,15895
1446550663,15893,15893
1446551661,15903,15903
1446552600,15906,15906
1446553651,15908,15908
1446554815,15914,15914
1446555637,15916,15916
1446556727,15916,15916
1446557814,15918,15918
1446559054,15939,15939
1446559788,15925,15925
1446560862,15925,15925
1446561962,15947,15947
1446562847,15965,15965
1446563921,15978,15978
1446565067,15979,15979
1446566063,15979,15979
1446566997,15979,15979
1446568059,15975,15975
1446569212,15979,15979
1446570040,15986,15986
1446574219,15990,15990
1446575330,16015,16015
1446576340,16040,16040
1446577245,16033,16033
1446578379,16048,16048
1446579507,16072,16072
1446580462,16076,16076
1446581379,16034,16034
1446582022,16053,16053
1446584918,16101,16101
1446585623,16102,16102
1446586631,16101,16101
1446587662,16104,16104
1446588634,16094,16094
1446589659,16096,16096
1446591193,16092,16092
1446592190,16107,16107
1446593170,16116,16116
1446594005,16104,16104
1446595908,16113,16113
1446596877,16123,16123
1446598009,16109,16109
1446598851,16122,16122
1446600049,16100,16100
1446600999,16129,16129
1446601819,16123,16123
1446602424,16123,16123
1446603513,16128,16128
1446604135,16120,16120
1446605158,16139,16139
1446606055,16129,16129
1446607108,16152,16152
1446608290,16147,16147
1446609477,16162,16162
1446610197,16160,16160
1446611249,16169,16169
1446612435,16163,16163
1446613241,16177,16177
1446614361,16169,16169
1446615386,16180,16180
1446616529,16175,16175
1446617366,16192,16192
1446618472,16175,16175
1446619533,16195,16195
1446620446,16200,16200
1446621506,16200,16200
1446622658,16198,16198
1446623649,16188,16188
1446624785,16181,16181
1446625653,16183,16183
1446626803,16193,16193
1446627628,16198,16198
1446628890,16210,16210
1446629800,16226,16226
1446630928,16233,16233
1446631771,16250,16250
1446632496,16250,16250
1446633388,16262,16262
1446634459,16266,16266
1446635380,16282,16282
1446636465,16294,16294
1446637562,16313,16313
1446638429,16315,16315
1446639037,16326,16326
1446640230,16341,16341
1446641209,16338,16338
1446642026,16350,16350
1446642649,16352,16352
1446643647,16378,16378
1446644734,16383,16383
1446645337,16396,16396
1446646172,16422,16422
1446647265,16444,16444
1446647950,16446,16446
1446648855,16449,16449
1446649799,16464,16464
1446650854,16495,16495
1446651502,16515,16515
1446652485,16531,16531
1446653453,16547,16547
1446654538,16567,16567
1446655784,16576,16576
1446656437,16600,16600
1446657512,16594,16594
1446668363,16651,16651
1446669476,16655,16655
1446670898,16659,16659
1446671808,16678,16678
1446674048,16679,16679
1446674759,16667,16667
1446675374,16692,16692
1446676495,16688,16688
1446678087,16701,16701
1446679358,16700,16700
1446680171,16718,16718
1446681356,16705,16705
1446682190,16719,16719
1446683257,16735,16735
1446684334,16728,16728
1446685335,16728,16728
1446686328,16737,16737
1446687526,16743,16743
1446688537,16743,16743
1446689391,16745,16745
1446690472,16747,16747
1446691592,16751,16751
1446692433,16750,16750
1446693531,16748,16748
1446694656,16759,16759
1446695730,16763,16763
1446696573,16764,16764
1446697651,16762,16762
1446698750,16768,16768
1446699637,16779,16779
1446700712,16789,16789
1446701861,16789,16789
1446702881,16794,16794
1446703791,16791,16791
1446704845,16798,16798
1446705988,16806,16806
1446706850,16804,16804
1446707917,16813,16813
1446709010,16820,16820
1446710136,16828,16828
1446710992,16831,16831
1446712083,16836,16836
1446713130,16848,16848
1446714077,16857,16857
1446715132,16860,16860
1446716281,16866,16866
1446717265,16862,16862
1446718198,16866,16866
1446719269,16862,16862
1446720413,16870,16870
1446721236,16869,16869
1446722315,16886,16886
1446723406,16894,16894
1446724532,16891,16891
1446725448,16890,16890
1446726451,16897,16897
1446727550,16899,16899
1446728437,16895,16895
1446729508,16901,16901
1446730672,16898,16898
1446731679,16900,16900
1446732603,16891,16891
1446734248,16906,16906
1446735262,16910,16910
1446736176,16926,16926
1446737248,16924,16924
1446738339,16938,16938
1446739233,16921,16921
1446740347,16928,16928
1446741433,16935,16935
1446742456,16960,16960
1446743371,16935,16935
1446744450,16953,16953
1446747092,16944,16944
1446748066,16963,16963
1446749180,16970,16970
1446750034,16971,16971
1446751184,16987,16987
1446752212,16970,16970
1446753266,16990,16990
1446754197,16974,16974
1446755327,16966,16966
1446756389,16986,16986
1446757264,16985,16985
1446758333,16969,16969
1446759485,16973,16973
1446760510,16976,16976
1446761422,16968,16968
1446762459,16978,16978
1446763093,16977,16977
1446764059,16987,16987
1446764968,16983,16983
1446766045,16994,16994
1446766720,16989,16989
1446767735,16953,16953
1446768619,16970,16970
1446769716,16984,16984
1446770754,17002,17002
1446771651,17020,17020
1446772728,17031,17031
1446773867,17024,17024
1446774867,17025,17025
1446775800,17024,17024
1446776857,17044,17044
1446778034,17033,17033
1446778837,17042,17042
