DateTime,Entries,UniqueIPs
1446231716,4661,4661
1446232358,4676,4676
1446233271,4721,4721
1446233879,4712,4712
1446234937,4682,4682
1446235788,4651,4651
1446236851,4659,4659
1446238024,4678,4678
1446238653,4664,4664
1446239357,4671,4671
1446240234,4650,4650
1446240993,4653,4653
1446242197,4651,4651
1446243118,4635,4635
1446243801,4641,4641
1446244524,4640,4640
1446246517,4593,4593
1446247198,4584,4584
1446248571,4555,4555
1446249500,4555,4555
1446250200,4550,4550
1446251244,4532,4532
1446252340,4556,4556
1446253232,4553,4553
1446254335,4555,4555
1446255422,4547,4547
1446256429,4527,4527
1446257277,4530,4530
1446257915,4536,4536
1446259063,4523,4523
1446260115,4517,4517
1446261046,4493,4493
1446263363,4477,4477
1446264050,4492,4492
1446265309,4482,4482
1446266472,4454,4454
1446267524,4452,4452
1446269846,4452,4452
1446275339,4492,4492
1446279054,4465,4465
1446279672,4470,4470
1446281568,4484,4484
1446284819,4573,4573
1446287228,4595,4595
1446288421,4587,4587
1446289177,4619,4619
1446289802,4611,4611
1446290861,4620,4620
1446291484,4601,4601
1446292493,4628,4628
1446293401,4628,4628
1446294466,4643,4643
1446295620,4652,4652
1446296461,4650,4650
1446297574,4648,4648
1446298522,4658,4658
1446299159,4661,4661
1446300046,4660,4660
1446300844,4689,4689
1446301504,4692,4692
1446302214,4701,4701
1446302843,4685,4685
1446303698,4681,4681
1446304746,4691,4691
1446306051,4710,4710
1446306875,4714,4714
1446307834,4700,4700
1446308520,4704,4704
1446309485,4686,4686
1446310090,4690,4690
1446310887,4684,4684
1446313747,4689,4689
1446314505,4683,4683
1446315633,4692,4692
1446316616,4677,4677
1446317712,4690,4690
1446318653,4687,4687
1446319747,4701,4701
1446320755,4683,4683
1446321684,4667,4667
1446322752,4636,4636
1446323905,4659,4659
1446324876,4664,4664
1446325859,4671,4671
1446326483,4665,4665
1446327356,4640,4640
1446328037,4615,4615
1446328872,4593,4593
1446329963,4588,4588
1446331017,4587,4587
1446332175,4592,4592
1446333007,4579,4579
1446334127,4557,4557
1446335233,4538,4538
1446336156,4533,4533
1446337266,4536,4536
1446338375,4542,4542
1446339317,4519,4519
1446340294,4512,4512
1446341353,4510,4510
1446342490,4492,4492
1446343297,4485,4485
1446344389,4479,4479
1446345410,4452,4452
1446346576,4453,4453
1446347394,4459,4459
1446348487,4437,4437
1446349552,4445,4445
1446350486,4429,4429
1446351526,4433,4433
1446352691,4420,4420
1446353680,4413,4413
1446354624,4412,4412
1446355661,4409,4409
1446356831,4406,4406
1446357647,4390,4390
1446358765,4395,4395
1446359812,4405,4405
1446360971,4428,4428
1446361831,4444,4444
1446362903,4442,4442
1446363944,4457,4457
1446364879,4457,4457
1446365931,4477,4477
1446367114,4479,4479
1446368073,4486,4486
1446369014,4398,4398
1446369710,4506,4506
1446370613,4492,4492
1446371258,4508,4508
1446372105,4522,4522
1446373190,4525,4525
1446374228,4514,4514
1446375397,4520,4520
1446376202,4537,4537
1446377991,4545,4545
1446378879,4562,4562
1446379880,4565,4565
1446380864,4578,4578
1446382002,4619,4619
1446382888,4613,4613
1446384005,4625,4625
1446385003,4610,4610
1446386096,4616,4616
1446386997,4621,4621
1446388145,4616,4616
1446389215,4621,4621
1446390119,4636,4636
1446391133,4664,4664
1446392228,4646,4646
1446393273,4656,4656
1446394206,4645,4645
1446395269,4647,4647
1446396394,4636,4636
1446397248,4659,4659
1446398341,4643,4643
1446399405,4648,4648
1446400494,4655,4655
1446401390,4662,4662
1446402526,4657,4657
1446403600,4649,4649
1446404491,4655,4655
1446405531,4656,4656
1446406620,4675,4675
1446407276,4682,4682
1446408058,4685,4685
1446409161,4676,4676
1446410166,4680,4680
1446410851,4673,4673
1446411632,4664,4664
1446412246,4656,4656
1446413309,4634,4634
1446414401,4602,4602
1446415280,4613,4613
1446416068,4596,4596
1446416712,4604,4604
1446417512,4586,4586
1446418296,4566,4566
1446419472,4541,4541
1446420525,4520,4520
1446421628,4505,4505
1446422440,4487,4487
1446423546,4480,4480
1446424299,4490,4490
1446426404,4459,4459
1446427093,4458,4458
1446427903,4461,4461
1446428612,4452,4452
1446429265,4457,4457
1446429925,4488,4488
1446430636,4494,4494
1446431359,4490,4490
1446437967,4458,4458
1446438978,4456,4456
1446439619,4461,4461
1446440437,4450,4450
1446441051,4438,4438
1446441680,4439,4439
1446442355,4449,4449
1446443127,4462,4462
1446443738,4458,4458
1446444556,4468,4468
1446445195,4462,4462
1446446126,4441,4441
1446446763,4450,4450
1446447655,4452,4452
1446448721,4439,4439
1446449855,4430,4430
1446450860,4464,4464
1446451807,4470,4470
1446453004,4466,4466
1446453895,4463,4463
1446454550,4460,4460
1446455378,4468,4468
1446456450,4470,4470
1446457534,4477,4477
1446458429,4484,4484
1446459511,4490,4490
1446460800,4497,4497
1446461664,4522,4522
1446462568,4538,4538
1446463672,4526,4526
1446464748,4498,4498
1446465625,4533,4533
1446466709,4550,4550
1446467802,4533,4533
1446468519,4535,4535
1446471027,4527,4527
1446471934,4524,4524
1446472861,4525,4525
1446473475,4539,4539
1446474463,4558,4558
1446475538,4545,4545
1446476223,4558,4558
1446477061,4569,4569
1446478084,4554,4554
1446479223,4564,4564
1446480046,4584,4584
1446481186,4586,4586
1446482216,4598,4598
1446483282,4598,4598
1446484160,4594,4594
1446485462,4588,4588
1446486337,4608,4608
1446487237,4612,4612
1446488316,4624,4624
1446489397,4649,4649
1446490028,4665,4665
1446490874,4699,4699
1446491543,4699,4699
1446492459,4701,4701
1446493684,4699,4699
1446494453,4673,4673
1446495537,4674,4674
1446496600,4666,4666
1446497668,4704,4704
1446498568,4709,4709
1446499248,4694,4694
1446500265,4709,4709
1446501258,4705,4705
1446502195,4674,4674
1446504551,4677,4677
1446505230,4687,4687
1446506339,4670,4670
1446506969,4650,4650
1446507937,4619,4619
1446508834,4622,4622
1446509942,4609,4609
1446510998,4554,4554
1446513611,4559,4559
1446514722,4560,4560
1446515758,4561,4561
1446516574,4562,4562
1446517683,4595,4595
1446518741,4589,4589
1446519637,4569,4569
1446520706,4562,4562
1446521910,4558,4558
1446522894,4575,4575
1446523776,4571,4571
1446524845,4559,4559
1446526018,4545,4545
1446526832,4536,4536
1446527924,4570,4570
1446528992,4556,4556
1446529665,4544,4544
1446530433,4540,4540
1446531530,4548,4548
1446532150,4550,4550
1446533133,4542,4542
1446534051,4553,4553
1446535118,4539,4539
1446536257,4558,4558
1446537261,4532,4532
1446538175,4536,4536
1446539252,4554,4554
1446540428,4592,4592
1446541226,4571,4571
1446542341,4579,4579
1446543399,4557,4557
1446544524,4546,4546
1446545391,4563,4563
1446546449,4569,4569
1446547542,4603,4603
1446548446,4602,4602
1446549509,4597,4597
1446550663,4596,4596
1446551661,4595,4595
1446552600,4600,4600
1446553651,4601,4601
1446554815,4585,4585
1446555637,4588,4588
1446556727,4584,4584
1446557814,4576,4576
1446559054,4580,4580
1446559788,4574,4574
1446560862,4579,4579
1446561962,4624,4624
1446562847,4652,4652
1446563921,4685,4685
1446565067,4681,4681
1446566063,4693,4693
1446566997,4690,4690
1446568059,3863,3863
1446569212,4216,4216
1446570040,3915,3915
1446574219,3401,3401
1446575330,4453,4453
1446576340,4596,4596
1446577245,4614,4614
1446578379,4639,4639
1446579507,4693,4693
1446580462,4709,4709
1446581379,4705,4705
1446582022,4710,4710
1446584918,4715,4715
1446585623,4708,4708
1446586631,4724,4724
1446587662,4731,4731
1446588634,4697,4697
1446589659,4666,4666
1446591193,4659,4659
1446592190,4644,4644
1446593170,4650,4650
1446594005,4615,4615
1446595908,4622,4622
1446596877,4602,4602
1446598009,4578,4578
1446598851,4551,4551
1446600049,4575,4575
1446600999,4591,4591
1446601819,4607,4607
1446602424,4605,4605
1446603513,4597,4597
1446604135,4599,4599
1446605158,4606,4606
1446606055,4593,4593
1446607108,4638,4638
1446608290,4622,4622
1446609477,4623,4623
1446610197,4631,4631
1446611249,4641,4641
1446612435,4635,4635
1446613241,4641,4641
1446614361,4616,4616
1446615386,4584,4584
1446616529,4600,4600
1446617366,4617,4617
1446618472,4640,4640
1446619533,4607,4607
1446620446,4593,4593
1446621506,4584,4584
1446622658,4541,4541
1446623649,4550,4550
1446624785,4594,4594
1446625653,4580,4580
1446626803,4585,4585
1446627628,4613,4613
1446628890,4573,4573
1446629800,4595,4595
1446630928,4640,4640
1446631771,4648,4648
1446632496,4645,4645
1446633388,4650,4650
1446634459,4674,4674
1446635380,4695,4695
1446636465,4742,4742
1446637562,4749,4749
1446638429,4750,4750
1446639037,4764,4764
1446640230,4743,4743
1446641209,4735,4735
1446642026,4729,4729
1446642649,4736,4736
1446643647,4793,4793
1446644734,4749,4749
1446645337,4782,4782
1446646172,4791,4791
1446647265,4817,4817
1446647950,4807,4807
1446648855,4818,4818
1446649799,4784,4784
1446650854,4807,4807
1446651502,4801,4801
1446652485,4864,4864
1446653453,4853,4853
1446654538,4891,4891
1446655784,4912,4912
1446656437,4902,4902
1446657512,4917,4917
1446668363,4989,4989
1446669476,4984,4984
1446670898,4963,4963
1446671808,4971,4971
1446674048,4962,4962
1446674759,4961,4961
1446675374,4954,4954
1446676495,4934,4934
1446678087,4900,4900
1446679358,4876,4876
1446680171,4869,4869
1446681356,4842,4842
1446682190,4839,4839
1446683257,4821,4821
1446684334,4809,4809
1446685335,4805,4805
1446686328,4794,4794
1446687526,4806,4806
1446688537,4801,4801
1446689391,4811,4811
1446690472,4815,4815
1446691592,4815,4815
1446692433,4813,4813
1446693531,4804,4804
1446694656,4803,4803
1446695730,4780,4780
1446696573,4776,4776
1446697651,4742,4742
1446698750,4747,4747
1446699637,4756,4756
1446700712,4740,4740
1446701861,4758,4758
1446702881,4770,4770
