DateTime,Entries,UniqueIPs
1446084729,16464,16464
1446086529,16408,16408
1446088452,16368,16368
1446089293,16363,16363
1446090974,16356,16356
1446092051,15983,15983
1446092893,15972,15972
1446093730,15966,15966
1446095412,15963,15963
1446096493,15954,15954
1446098177,15950,15950
1446099252,15953,15953
1446100091,15936,15936
1446101768,15929,15929
1446102849,15922,15922
1446103694,15905,15905
1446105369,15897,15897
1446106451,15882,15882
1446107292,15865,15865
1446108978,15854,15854
1446110049,15812,15812
1446111733,15760,15760
1446113648,15772,15772
1446114495,15745,15745
1446116168,15746,15746
1446117252,15667,15667
1446118094,15649,15649
1446119768,15641,15641
1446120849,15578,15578
1446122531,15561,15561
1446124452,15530,15530
1446125290,15510,15510
1446126979,15586,15586
1446128048,15544,15544
1446128890,15522,15522
1446130568,15582,15582
1446131650,15601,15601
1446133335,15574,15574
1446135249,15554,15554
1446136092,15528,15528
1446137774,15529,15529
1446138850,15508,15508
1446139688,15494,15494
1446141376,15490,15490
1446142451,15451,15451
1446144132,15414,15414
1446146049,15370,15370
1446147021,15345,15345
1446148572,15368,15368
1446149650,15321,15321
1446151328,15294,15294
1446153248,15274,15274
1446154090,15256,15256
1446155770,15267,15267
1446156851,15199,15199
1446157689,15163,15163
1446158532,15149,15149
1446160212,15158,15158
1446162152,15142,15142
1446167673,15142,15142
1446168488,15133,15133
1446170288,15109,15109
1446171254,15095,15095
1446172217,15018,15018
1446173888,14918,14918
1446175694,14838,14838
1446176534,14830,14830
1446178448,14815,14815
1446180130,14773,14773
1446182050,14781,14781
1446182897,14772,14772
1446183729,14762,14762
1446184688,14759,14759
1446186495,14751,14751
1446188290,14733,14733
1446190090,14728,14728
1446190930,14722,14722
1446192848,14718,14718
1446194528,14688,14688
1446196451,14667,14667
1446197290,14652,14652
1446198130,14647,14647
1446199814,14598,14598
1446201734,14580,14580
1446203652,14564,14564
1446204495,14520,14520
1446206169,14540,14540
1446207250,14457,14457
1446208088,14433,14433
1446209776,14445,14445
1446210856,14371,14371
1446212531,14298,14298
1446214211,14265,14265
1446215291,14258,14258
1446216975,14254,14254
1446218049,14236,14236
1446218919,14225,14225
1446220580,14218,14218
1446221651,14166,14166
1446223330,14101,14101
1446225252,14015,14015
1446226089,13998,13998
1446227774,14011,14011
1446228854,13946,13946
1446229693,13918,13918
1446231375,13926,13926
1446232448,13874,13874
1446233294,13851,13851
1446234130,13849,13849
1446235808,13819,13819
1446237731,13783,13783
1446239657,13770,13770
1446240490,13722,13722
1446242175,0,0
1446243252,13667,13667
1446244932,13604,13604
1446245776,13616,13616
1446247695,13598,13598
1446249369,13601,13601
1446250452,13602,13602
1446252133,13588,13588
1446254052,13583,13583
1446254894,13569,13569
1446256587,13585,13585
1446257650,13562,13562
1446259334,13554,13554
1446261248,13544,13544
1446262091,13542,13542
1446263771,13543,13543
1446264850,13434,13434
1446266529,13410,13410
1446269289,13416,13416
1446274693,13410,13410
1446278292,13402,13402
1446280932,13400,13400
1446284528,13402,13402
1446286451,13395,13395
1446287310,13417,13417
1446288969,13460,13460
1446290052,13459,13459
1446290893,13450,13450
1446291734,13443,13443
1446292689,13442,13442
1446294488,13439,13439
1446295334,13437,13437
1446297012,13450,13450
1446298932,13442,13442
