DateTime,Entries,UniqueIPs
1446064932,2654,2654
1446066854,2658,2658
1446067694,2648,2648
1446069382,2652,2652
1446070454,2650,2650
1446072135,2640,2640
1446074054,2642,2642
1446074890,2637,2637
1446076605,2635,2635
1446077657,2624,2624
1446078530,2611,2611
1446080295,2597,2597
1446082094,2591,2591
1446082936,2579,2579
1446084736,2570,2570
1446086534,2567,2567
1446088454,2563,2563
1446089296,2556,2556
1446090997,2550,2550
1446092053,2561,2561
1446092895,2560,2560
1446094572,2557,2557
1446095654,2555,2555
1446096495,2556,2556
1446098180,2554,2554
1446099254,2552,2552
1446100934,2528,2528
1446102851,2538,2538
1446103699,2531,2531
1446105375,2532,2532
1446106453,2528,2528
1446107294,2526,2526
1446108981,2508,2508
1446110054,2497,2497
1446111737,2477,2477
1446113655,2474,2474
1446114497,2464,2464
1446116178,2473,2473
1446117253,2468,2468
1446118096,2454,2454
1446118933,2446,2446
1446120613,2458,2458
1446122536,2444,2444
1446124454,2451,2451
1446125294,2431,2431
1446126981,2427,2427
1446128053,2439,2439
1446128893,2435,2435
1446129738,2423,2423
1446131414,2432,2432
1446133337,2424,2424
1446135254,2431,2431
1446136094,2429,2429
1446137778,2436,2436
1446138853,2440,2440
1446139690,2432,2432
1446141378,2437,2437
1446142454,2435,2435
1446144134,2419,2419
1446145776,2431,2431
1446147749,2415,2415
1446149652,2424,2424
1446150492,2430,2430
1446152179,2421,2421
1446153253,2427,2427
1446154092,2429,2429
1446154933,2431,2431
1446156615,2441,2441
1446157695,2443,2443
1446158532,2440,2440
1446160471,2452,2452
1446161296,2448,2448
1446162163,2457,2457
1446167696,2463,2463
1446168490,2450,2450
1446169452,2451,2451
1446170293,2441,2441
1446171255,2447,2447
1446172223,2444,2444
1446173891,2452,2452
1446175696,2448,2448
1446176535,2447,2447
1446178333,2447,2447
1446180132,2438,2438
1446182052,2449,2449
1446182900,2446,2446
1446184693,2438,2438
1446186494,2444,2444
1446187333,2441,2441
1446188292,2441,2441
1446190092,2451,2451
1446190932,2447,2447
1446192852,2453,2453
1446194530,2438,2438
1446196454,2436,2436
1446197292,2431,2431
1446198979,2432,2432
1446200056,2436,2436
1446200895,2428,2428
1446201738,2426,2426
1446203414,2428,2428
1446205336,2434,2434
1446207252,2438,2438
1446208935,2437,2437
1446210858,2451,2451
1446211692,2446,2446
1446213377,2452,2452
1446214454,2456,2456
1446216135,2458,2458
1446218052,2475,2475
1446218922,2468,2468
1446220582,2468,2468
1446221653,2455,2455
1446223334,2428,2428
1446225256,2415,2415
1446226094,2421,2421
1446227777,2429,2429
1446228856,2429,2429
1446229695,2426,2426
1446230536,2431,2431
1446232214,2425,2425
1446234135,2424,2424
1446236054,2429,2429
1446236990,2424,2424
1446238581,2424,2424
1446239659,2424,2424
1446240492,2417,2417
1446241338,2420,2420
1446243014,2420,2420
1446244935,2415,2415
1446246619,2413,2413
1446248654,2418,2418
1446250458,2422,2422
1446251299,2419,2419
1446252982,2421,2421
1446254054,2421,2421
1446255735,2400,2400
1446257412,2407,2407
1446259337,2401,2401
1446261253,2412,2412
1446262094,2409,2409
1446263773,2407,2407
1446264852,2413,2413
1446266532,2408,2408
1446269295,2397,2397
1446273731,2382,2382
1446278294,2368,2368
1446280936,2376,2376
1446283694,2370,2370
1446286454,2297,2297
1446288136,2295,2295
1446290054,2331,2331
1446290895,2340,2340
1446292693,2340,2340
1446294493,2353,2353
1446295339,2354,2354
1446297014,2364,2364
1446298934,2356,2356
1446299806,2359,2359
1446300853,2342,2342
1446301694,2314,2314
1446303495,2309,2309
1446305299,2319,2319
1446306137,2318,2318
1446307935,2322,2322
1446309738,2310,2310
1446313333,2309,2309
1446315135,2310,2310
1446316934,2295,2295
1446318859,2295,2295
1446319695,2284,2284
1446321396,2276,2276
1446322454,2277,2277
1446323296,2273,2273
1446324142,2275,2275
1446325815,2279,2279
1446326891,2275,2275
1446328574,2272,2272
1446329654,2276,2276
1446330493,2277,2277
1446332183,2279,2279
1446333253,2291,2291
1446334222,2281,2281
1446335063,2272,2272
1446336614,2267,2267
1446338650,2273,2273
1446340456,2280,2280
1446341357,2276,2276
1446343082,2256,2256
1446344897,2242,2242
1446345736,2230,2230
1446347531,2223,2223
1446348496,2212,2212
1446350291,2205,2205
1446352095,2190,2190
1446352936,2182,2182
1446354854,2183,2183
1446355694,2165,2165
1446356537,2159,2159
1446357493,2153,2153
1446359294,2148,2148
1446361091,2137,2137
1446362893,2139,2139
1446363731,2135,2135
1446365533,2138,2138
