DateTime,Entries,UniqueIPs
1447425739,1455,1455
1447426581,1461,1461
1447427655,1464,1464
1447429337,1462,1462
1447430182,1461,1461
1447432093,1453,1453
1447433782,1467,1467
1447435701,1462,1462
1447437495,1457,1457
1447439298,1450,1450
1447440983,1453,1453
1447443024,1445,1445
1447443736,1445,1445
1447445417,1437,1437
1447446499,1435,1435
1447447340,1434,1434
1447449039,1424,1424
1447450939,1420,1420
1447452618,1409,1409
1447452855,1412,1412
1447453698,1411,1411
1447454535,1408,1408
1447455380,1413,1413
1447456218,1414,1414
1447456454,1413,1413
1447457296,1410,1410
1447459144,1415,1415
1447461741,1410,1410
1447463655,1410,1410
1447464500,1409,1409
1447465337,1408,1408
1447467262,1391,1391
1447468097,1392,1392
1447468949,1393,1393
1447470878,1381,1381
1447471701,1367,1367
1447472540,1364,1364
1447473370,1321,1321
1447474458,1185,1185
1447476165,1182,1182
1447477096,1183,1183
1447478060,1184,1184
1447478900,1183,1183
1447480580,1182,1182
1447482500,1178,1178
1447484184,1176,1176
1447486096,1174,1174
1447486938,1174,1174
1447487780,1173,1173
1447489698,1169,1169
1447491380,1167,1167
1447493296,1161,1161
1447494984,1157,1157
1447495816,1155,1155
1447496898,1153,1153
1447498584,1146,1146
1447499418,1092,1092
1447499674,1093,1093
1447500496,1092,1092
1447502185,1095,1095
1447503023,1090,1090
1447503259,1091,1091
1447504103,1098,1098
1447504944,1096,1096
1447505788,1093,1093
1447506620,1081,1081
1447507701,1081,1081
1447508544,1079,1079
1447510222,1049,1049
1447511426,1044,1044
1447512143,1043,1043
1447513822,1042,1042
1447514060,1043,1043
1447514900,1042,1042
1447516591,1038,1038
1447517658,1024,1024
1447518497,1021,1021
1447519341,1019,1019
1447521257,1016,1016
1447522225,1013,1013
1447522940,1015,1015
1447524860,1013,1013
1447525694,1017,1017
1447527378,1034,1034
1447528456,1032,1032
1447529425,1027,1027
1447530983,1105,1105
1447531817,1096,1096
1447532657,1096,1096
1447533737,1095,1095
1447534580,1690,1690
1447535656,1694,1694
1447537340,1695,1695
1447538184,2253,2253
1447539260,2579,2579
1447540939,2586,2586
1447541788,3292,3292
1447542858,3640,3640
1447544685,3640,3640
1447545496,3654,3654
1447547342,3650,3650
1447548398,3777,3777
1447549468,4654,4654
1447550985,5351,5351
1447551836,5349,5349
1447553425,6151,6151
1447553659,6237,6237
1447554523,6286,6286
1447555352,6282,6282
1447557137,6531,6531
1447558097,6629,6629
1447558935,6648,6648
1447560857,6654,6654
1447562537,6661,6661
1447563499,6692,6692
1447565299,6705,6705
1447567095,6703,6703
1447568895,6702,6702
1447569738,6697,6697
1447571657,6696,6696
1447572497,6689,6689
1447574296,6679,6679
1447576107,6678,6678
1447577898,6726,6726
1447579815,6785,6785
1447580542,6784,6784
1447582338,6877,6877
1447583297,6894,6894
1447584137,6893,6893
1447586056,6976,6976
1447586894,7011,7011
1447587739,7013,7013
1447588697,7004,7004
1447589655,7004,7004
1447591338,6994,6994
1447592298,7011,7011
1447594099,7070,7070
1447595897,7063,7063
1447596858,7076,7076
1447597697,7077,7077
1447598547,7072,7072
1447602140,7072,7072
1447604055,7067,7067
1447606584,7102,7102
1447607661,7139,7139
1447608498,7180,7180
1447610181,7181,7181
1447611021,7176,7176
1447612098,7176,7176
1447612937,7173,7173
1447614857,7198,7198
1447616541,7215,7215
1447617497,7227,7227
1447619295,7228,7228
1447621098,7276,7276
1447622898,7337,7337
1447624699,7341,7341
1447625539,7349,7349
1447626625,7349,7349
1447627358,7347,7347
1447629258,7363,7363
1447630967,7382,7382
1447631815,7382,7382
1447633596,7380,7380
1447635317,7385,7385
1447635713,7386,7386
1447636637,7392,7392
1447637297,7393,7393
1447638139,7392,7392
1447640061,7410,7410
1447640903,7417,7417
1447642584,7420,7420
1447644503,7412,7412
1447646183,7403,7403
1447648101,7369,7369
