DateTime,Entries,UniqueIPs
1447265644,21095,21095
1447266484,21081,21081
1447267324,21062,21062
1447269124,21127,21127
1447269245,21133,21133
1447270084,21113,21113
1447270925,21105,21105
1447272723,21158,21158
1447272844,21167,21167
1447273684,21176,21176
1447274526,21190,21190
1447276324,21257,21257
1447276445,21264,21264
1447277284,21267,21267
1447278124,21273,21273
1447279925,21294,21294
1447280888,21315,21315
1447281724,21329,21329
1447283404,21394,21394
1447283644,21415,21415
1447284484,21439,21439
1447285354,21457,21457
1447287244,21523,21523
1447288083,21532,21532
1447288924,21543,21543
1447290844,21610,21610
1447291684,21594,21594
1447292526,21594,21594
1447294445,21673,21673
1447295287,21683,21683
1447296126,21685,21685
1447298045,21726,21726
1447298887,21737,21737
1447300683,21706,21706
1447301645,21750,21750
1447302610,21716,21716
1447303324,21732,21732
1447304164,9373,9373
1447305244,21792,21792
1447306084,21789,21789
1447307764,21831,21831
1447308844,21862,21862
1447310524,21857,21857
1447311363,21890,21890
1447312444,21900,21900
1447314125,21915,21915
1447314968,21947,21947
1447316884,22005,22005
1447318564,22075,22075
1447320484,22102,22102
1447322164,22119,22119
1447324085,22130,22130
1447325883,22173,22173
1447327804,22251,22251
1447329365,22305,22305
1447330204,22318,22318
1447330444,22337,22337
1447331288,22328,22328
1447332124,22339,22339
1447332964,22377,22377
1447333803,22395,22395
1447334044,22412,22412
1447334885,22390,22390
1447336564,22423,22423
1447337404,22456,22456
1447337644,22470,22470
1447338484,22476,22476
1447339326,22480,22480
1447340967,22503,22503
1447341243,22522,22522
1447342083,22533,22533
1447342924,22556,22556
1447344575,22606,22606
1447344844,22612,22612
1447345650,22618,22618
1447346524,22622,22622
1447348204,22636,22636
1447348444,22650,22650
1447349283,22637,22637
1447350124,22622,22622
1447351804,22661,22661
1447352044,22675,22675
1447352884,22666,22666
1447353724,22668,22668
1447355404,22712,22712
1447355644,22721,22721
1447356484,22703,22703
1447357325,22716,22716
1447359004,22751,22751
1447359246,22762,22762
1447360083,22758,22758
1447360925,22745,22745
1447361837,22737,22737
1447362843,22774,22774
1447363684,22781,22781
1447364526,22830,22830
1447366444,22861,22861
1447367286,22850,22850
1447368129,22842,22842
1447370044,22874,22874
1447371011,22851,22851
1447371844,22873,22873
1447373643,22917,22917
1447374483,22916,22916
1447375325,22900,22900
1447377262,22940,22940
1447378204,22933,22933
1447379764,22960,22960
1447380844,22981,22981
1447381684,22988,22988
1447382531,23000,23000
1447384443,23026,23026
1447385283,23038,23038
1447386124,23042,23042
1447386963,23054,23054
1447388043,22981,22981
1447388884,22981,22981
1447390563,22984,22984
1447391644,23009,23009
1447393324,23010,23010
1447394163,23038,23038
1447395243,23087,23087
1447396923,23090,23090
1447397764,23126,23126
1447398844,23116,23116
1447400524,23130,23130
1447401364,23177,23177
1447402444,23214,23214
1447404125,23231,23231
1447404964,23254,23254
1447406044,23296,23296
1447406886,23284,23284
1447408564,23317,23317
1447410484,23326,23326
1447412284,23323,23323
1447414084,23366,23366
1447415764,23398,23398
1447417684,23382,23382
1447419364,23428,23428
1447421285,23440,23440
1447422964,23471,23471
1447424884,23439,23439
1447426566,23457,23457
1447427404,23450,23450
1447427643,23476,23476
1447428611,23445,23445
1447429323,23471,23471
1447431006,23507,23507
1447431243,23532,23532
1447432083,23506,23506
1447432924,23473,23473
1447433764,23537,23537
1447434570,23541,23541
1447434844,23559,23559
1447435687,23541,23541
1447436524,23535,23535
1447437484,23522,23522
1447439284,23567,23567
1447440964,23628,23628
1447441806,23639,23639
1447442042,23655,23655
1447443004,23655,23655
1447444565,23683,23683
1447445403,23697,23697
1447445644,23714,23714
1447446484,23701,23701
1447447324,23691,23691
1447449006,23743,23743
1447449244,23754,23754
1447450924,23729,23729
1447452604,23748,23748
1447452843,23764,23764
1447453686,23748,23748
1447454527,23734,23734
1447456204,23777,23777
1447456443,23793,23793
1447457282,23763,23763
1447459125,23798,23798
1447459924,23792,23792
1447460046,23798,23798
1447461725,23801,23801
1447463404,23845,23845
1447463644,23853,23853
1447464484,23825,23825
1447465324,23796,23796
1447467244,23835,23835
1447468088,23813,23813
1447468926,23804,23804
1447470857,23820,23820
1447471685,23802,23802
1447472526,23778,23778
1447473342,23761,23761
1447474444,23641,23641
1447476129,23600,23600
1447477084,23587,23587
1447478043,23617,23617
1447478886,23604,23604
1447480565,23616,23616
1447481644,23612,23612
1447482484,23576,23576
1447484164,23553,23553
1447485243,23513,23513
1447486084,23460,23460
1447486925,23427,23427
1447487764,23445,23445
1447489684,23391,23391
1447491364,23375,23375
1447493283,23332,23332
1447494964,23266,23266
1447496884,23204,23204
1447498564,23171,23171
1447500483,23071,23071
1447502164,23027,23027
1447503006,23005,23005
1447503247,23018,23018
1447504084,22971,22971
1447504926,22927,22927
1447505766,22927,22927
1447506604,22892,22892
1447506844,22898,22898
1447507686,22837,22837
1447509367,22810,22810
1447510204,22761,22761
1447510445,22766,22766
1447511410,22674,22674
1447513805,22652,22652
1447514044,22658,22658
1447514885,22609,22609
1447516565,22571,22571
1447517644,22547,22547
1447518484,22606,22606
1447519325,22582,22582
1447521004,22576,22576
1447521245,22582,22582
1447522205,22555,22555
1447522927,22519,22519
1447524604,22489,22489
1447524845,22499,22499
1447525684,22472,22472
1447526524,22438,22438
1447528444,22464,22464
1447529411,22417,22417
1447530964,22532,22532
1447531804,22531,22531
1447532646,22496,22496
1447532882,22500,22500
1447533727,22485,22485
1447534564,23085,23085
1447535644,23101,23101
1447537325,23021,23021
1447538167,23580,23580
1447539248,23931,23931
1447540084,23857,23857
1447541764,24555,24555
1447542844,24932,24932
1447544646,24887,24887
1447545483,24879,24879
1447545607,24886,24886
1447546510,24905,24905
1447547284,24864,24864
1447549170,25645,25645
1447550954,26464,26464
1447551724,26418,26418
1447552564,26821,26821
1447553404,27184,27184
1447553644,27284,27284
1447554488,27297,27297
1447555339,27244,27244
1447556285,27367,27367
1447558083,27562,27562
1447558924,27570,27570
1447559772,27585,27585
1447560604,27561,27561
1447560843,27569,27569
1447561687,27558,27558
1447563484,27531,27531
1447564324,27555,27555
1447564444,27558,27558
1447565286,27514,27514
1447566128,27491,27491
1447567924,27467,27467
1447568045,27472,27472
1447568883,27439,27439
1447569724,27395,27395
1447571644,27383,27383
1447572484,27317,27317
1447573324,27280,27280
1447575244,27264,27264
1447576084,27235,27235
1447577883,27219,27219
1447578844,27281,27281
1447579640,27254,27254
1447581484,27194,27194
1447583284,27243,27243
1447585084,27222,27222
1447586883,27290,27290
1447587726,27253,27253
1447588684,27209,27209
1447590484,27199,27199
1447592284,27096,27096
1447594085,27154,27154
1447594924,27098,27098
1447595883,27051,27051
1447596844,27080,27080
1447597684,27019,27019
1447602126,26860,26860
1447603804,26829,26829
1447604044,26834,26834
1447604884,26800,26800
1447605724,26757,26757
1447606564,26760,26760
1447607644,26786,26786
1447608486,26763,26763
1447609324,26724,26724
1447611243,26689,26689
1447612084,26635,26635
1447612925,26577,26577
1447614843,26571,26571
1447615684,26527,26527
1447616526,26486,26486
1447617484,26460,26460
1447618444,26475,26475
1447619286,26441,26441
1447621084,26401,26401
1447622046,26462,26462
1447623845,26399,26399
1447625644,26406,26406
1447627325,26311,26311
1447628283,26262,26262
1447629244,26311,26311
1447630084,26285,26285
1447631799,26263,26263
1447633409,26226,26226
1447634258,26223,26223
1447635364,26224,26224
1447636204,26201,26201
1447636444,26210,26210
1447637284,26187,26187
1447638971,26164,26164
1447639803,26158,26158
1447640044,26165,26165
1447640888,26152,26152
1447642565,26144,26144
1447643405,26113,26113
1447643648,26119,26119
1447644484,26088,26088
1447645326,26075,26075
1447646167,26073,26073
1447647004,26030,26030
1447647243,26039,26039
1447648084,26022,26022
1447649884,25963,25963
1447650723,25986,25986
1447650843,25990,25990
1447651805,25960,25960
1447652525,25951,25951
1447654324,25963,25963
1447654443,25966,25966
1447655284,25961,25961
1447656129,25951,25951
1447658045,25956,25956
1447658883,25935,25935
1447659729,25931,25931
1447660683,25930,25930
1447661643,25973,25973
1447663324,25962,25962
1447665244,26027,26027
1447666084,26020,26020
1447667744,26010,26010
1447669684,25999,25999
1447671485,26013,26013
1447673283,26025,26025
1447675088,25983,25983
1447676884,26018,26018
1447678684,26017,26017
1447680485,26079,26079
1447682284,26143,26143
1447684083,26204,26204
1447684924,26196,26196
1447685883,26220,26220
1447686724,26269,26269
1447686844,26278,26278
1447687684,26290,26290
1447688524,26171,26171
1447690324,26254,26254
1447692126,26263,26263
1447694044,26390,26390
1447695724,26416,26416
1447697644,26501,26501
1447698483,26519,26519
1447699325,26509,26509
1447700171,26549,26549
1447701244,26617,26617
1447702924,26675,26675
1447703764,26703,26703
1447705684,26750,26750
1447707364,26790,26790
1447709284,26803,26803
1447710967,26845,26845
1447711804,26845,26845
1447712044,26853,26853
1447712884,26835,26835
1447713723,26839,26839
1447714566,26869,26869
1447715404,26890,26890
1447715645,26901,26901
1447716484,26917,26917
1447717329,26940,26940
1447718194,26961,26961
1447719004,26977,26977
1447719244,26990,26990
1447720113,26990,26990
1447720940,26990,26990
1447721764,27031,27031
1447722604,27040,27040
1447722844,27060,27060
1447723684,27065,27065
1447724526,27064,27064
1447726204,27118,27118
1447726444,27136,27136
1447727283,27113,27113
1447728126,27106,27106
1447728964,27143,27143
1447730044,27168,27168
1447730887,27175,27175
1447731725,27175,27175
1447733644,27168,27168
1447734484,27129,27129
1447736164,27122,27122
1447737243,27141,27141
1447738083,27142,27142
1447739767,27164,27164
1447740844,27187,27187
1447742526,27161,27161
1447743365,27175,27175
1447744444,27163,27163
1447746124,27133,27133
1447746965,27154,27154
1447748044,27140,27140
1447749724,27158,27158
1447750566,27201,27201
1447752484,27176,27176
1447754165,27173,27173
1447756086,27158,27158
1447757766,27180,27180
1447758606,27211,27211
1447758844,27223,27223
1447759685,27212,27212
1447761366,27243,27243
1447762204,27240,27240
1447762445,27253,27253
1447763283,27228,27228
1447764125,27206,27206
1447765804,27214,27214
1447766043,27221,27221
1447766884,27195,27195
1447767724,27208,27208
1447769404,27220,27220
1447769644,27234,27234
1447770487,27220,27220
1447771325,27221,27221
1447773244,27274,27274
1447774086,27285,27285
1447774925,27291,27291
1447776844,27334,27334
1447777684,27306,27306
1447778527,27284,27284
1447779487,27287,27287
1447780444,27327,27327
1447781283,27322,27322
1447783083,27323,27323
1447784044,27350,27350
1447785844,27338,27338
1447786565,27366,27366
1447787643,27421,27421
1447788484,27421,27421
1447790526,27445,27445
1447792052,27429,27429
1447793883,27414,27414
1447795685,27402,27402
1447797483,27379,27379
1447799283,27365,27365
1447801084,27325,27325
1447802884,27323,27323
1447803843,27315,27315
1447804684,27301,27301
1447805524,27330,27330
1447805644,27336,27336
1447806483,27322,27322
1447807325,27305,27305
1447809124,27290,27290
1447809244,27295,27295
1447810083,27248,27248
1447810924,27226,27226
1447812604,27216,27216
1447812844,27227,27227
1447813684,27207,27207
1447814525,27186,27186
1447816444,27142,27142
1447817285,27048,27048
