DateTime,Entries,UniqueIPs
1446119770,1833,1833
1446120851,1818,1818
1446121819,1794,1794
1446123371,1792,1792
1446124453,1791,1791
1446125292,1781,1781
1446126980,1812,1812
1446128050,1832,1832
1446128891,1836,1836
1446130570,1849,1849
1446131651,1857,1857
1446133336,1834,1834
1446135251,1826,1826
1446136093,1812,1812
1446137774,1798,1798
1446138851,1799,1799
1446139689,1797,1797
1446140532,1787,1787
1446142212,1802,1802
1446144133,1795,1795
1446146052,1796,1796
1446147022,1782,1782
1446148575,1780,1780
1446149651,1775,1775
1446150490,1772,1772
1446151330,1763,1763
1446153014,1766,1766
1446154932,1763,1763
1446156852,1770,1770
1446157692,1768,1768
1446159371,1761,1761
1446160470,1759,1759
1446162153,1729,1729
1446167674,1680,1680
1446168489,1673,1673
1446169451,1668,1668
1446170290,1670,1670
1446171254,1675,1675
1446172219,1673,1673
1446173890,1676,1676
1446175695,1673,1673
1446176533,1672,1672
1446178450,1673,1673
1446179295,1667,1667
1446180130,1673,1673
1446181090,1674,1674
1446182897,1680,1680
1446184690,1675,1675
1446186492,1679,1679
1446187331,1676,1676
1446189132,1678,1678
1446190091,1681,1681
1446190931,1684,1684
1446191891,1685,1685
1446193713,1684,1684
1446194529,1682,1682
1446195726,1684,1684
1446197291,1681,1681
1446198132,1684,1684
1446199815,1692,1692
1446200893,1696,1696
1446202578,1695,1695
1446203653,1694,1694
1446204495,1640,1640
1446206171,1574,1574
1446207251,1555,1555
1446208091,1556,1556
1446208934,1556,1556
1446210613,1564,1564
1446211690,1570,1570
1446213375,1562,1562
1446214452,1483,1483
1446216132,1237,1237
1446218051,1164,1164
1446218921,1159,1159
1446220580,1165,1165
1446221652,1162,1162
1446223332,1148,1148
1446225255,1146,1146
1446226091,1142,1142
1446227773,1144,1144
1446228855,1149,1149
1446230534,1143,1143
1446232450,1152,1152
1446233295,1149,1149
1446234974,1159,1159
1446236053,1163,1163
1446236989,1163,1163
1446237731,1174,1174
1446239411,1175,1175
1446241335,1181,1181
1446243013,1193,1193
1446244933,1198,1198
1446246850,1203,1203
1446249372,1203,1203
1446250457,1210,1210
1446251298,1210,1210
1446252979,1224,1224
1446254053,1225,1225
1446255732,1225,1225
1446257651,1227,1227
1446258493,1223,1223
1446260173,1223,1223
1446261250,1222,1222
1446262092,1222,1222
1446263772,1222,1222
1446264851,1227,1227
1446266529,1221,1221
1446268457,1219,1219
1446274694,1201,1201
1446278293,1208,1208
1446280933,1203,1203
1446284529,1200,1200
1446286451,1197,1197
1446287310,1199,1199
1446288971,1201,1201
1446290053,1195,1195
1446291735,1195,1195
1446293531,1199,1199
1446294490,1194,1194
1446296210,1181,1181
1446297253,1162,1162
1446298933,1102,1102
1446299805,1094,1094
1446300851,1084,1084
1446301691,1066,1066
1446303494,1047,1047
1446305295,1042,1042
1446306134,1045,1045
1446308052,1046,1046
1446308894,1045,1045
1446310694,1039,1039
1446312491,1036,1036
1446314292,1028,1028
1446316097,1028,1028
1446316933,1028,1028
1446318612,1027,1027
1446319694,1027,1027
1446321394,1027,1027
1446322453,1032,1032
1446323293,1029,1029
1446324138,1026,1026
1446325814,1020,1020
1446326889,1018,1018
1446328573,1015,1015
1446329652,1012,1012
1446330491,1017,1017
1446332182,1016,1016
1446333252,1019,1019
1446334221,1017,1017
1446335060,1021,1021
1446336851,1028,1028
1446338646,1024,1024
1446340455,1018,1018
1446341356,1016,1016
1446343079,1001,1001
1446344895,993,993
1446345734,996,996
1446347655,994,994
1446348493,990,990
1446350290,991,991
1446352093,991,991
1446352933,991,991
1446354853,997,997
1446355693,995,995
1446357492,993,993
1446359291,1011,1011
1446360134,1004,1004
1446361931,1004,1004
1446362891,1004,1004
1446364690,1006,1006
1446366492,1016,1016
1446367331,1016,1016
1446369129,1025,1025
1446370931,1027,1027
1446372611,1029,1029
1446373691,1032,1032
1446375379,1032,1032
1446377293,1028,1028
1446378131,1024,1024
1446379811,1014,1014
1446381730,1012,1012
1446383652,1022,1022
1446384489,1015,1015
1446386175,1016,1016
1446387251,1013,1013
1446388931,1002,1002
1446390609,998,998
1446391692,1003,1003
1446393379,1001,1001
1446394450,1006,1006
1446396133,1009,1009
1446397812,1007,1007
1446398894,1007,1007
1446400575,1010,1010
1446401652,1009,1009
1446402495,1006,1006
1446403334,998,998
1446405011,1001,1001
1446406089,995,995
1446407777,993,993
1446408851,998,998
1446409690,1001,1001
1446410531,1000,1000
1446412213,996,996
1446413289,982,982
1446414972,981,981
1446416893,988,988
1446417732,980,980
1446419411,984,984
1446421336,969,969
1446422174,973,973
1446439331,896,896
1446440176,907,907
1446441252,915,915
1446442095,924,924
1446443776,936,936
1446444855,936,936
1446445691,933,933
1446446531,931,931
1446448211,943,943
1446450129,955,955
1446451811,964,964
1446452888,972,972
1446453729,973,973
1446455652,988,988
1446456488,985,985
1446458291,995,995
1446460092,1026,1026
1446460931,1035,1035
1446462611,1038,1038
1446464528,1029,1029
1446466453,1039,1039
1446468130,1044,1044
1446470053,1051,1051
1446470888,1050,1050
1446472575,1064,1064
1446473656,1068,1068
1446474488,1070,1070
1446475329,1072,1072
1446477012,1074,1074
1446478929,1075,1075
1446480869,1083,1083
1446481693,1089,1089
1446483379,1099,1099
1446484452,1108,1108
1446485291,1109,1109
1446486972,1111,1111
1446488051,1115,1115
1446488890,1121,1121
1446489737,1121,1121
1446491411,1133,1133
1446493331,1140,1140
1446495012,1151,1151
1446496093,1132,1132
1446496934,1129,1129
1446498731,1143,1143
1446499689,1142,1142
1446501383,1144,1144
1446503293,1148,1148
1446505092,1140,1140
1446506053,1146,1146
1446506891,1146,1146
1446507734,1141,1141
1446510492,1143,1143
1446513011,1164,1164
1446514090,1172,1172
1446514931,1172,1172
1446515891,1179,1179
1446517693,1189,1189
1446518539,1190,1190
1446520212,1210,1210
1446521290,1214,1214
1446522977,1236,1236
1446524050,1241,1241
1446524893,1233,1233
1446525730,1241,1241
1446527530,1250,1250
1446529331,1259,1259
1446531251,1274,1274
1446532089,1278,1278
1446533890,1284,1284
1446535714,1288,1288
1446536533,1290,1290
1446538329,1289,1289
1446539290,1297,1297
1446540130,1302,1302
1446542051,1301,1301
1446542893,1298,1298
1446543729,1305,1305
1446545532,1306,1306
1446546493,1311,1311
1446547333,1311,1311
1446549252,1331,1331
1446550092,1328,1328
1446550932,1331,1331
1446552614,1335,1335
1446554534,1323,1323
1446556451,1327,1327
1446557295,1329,1329
1446559091,1343,1343
1446560888,1338,1338
1446561735,1340,1340
1446563511,1342,1342
1446565331,1328,1328
1446567252,1335,1335
1446568089,1333,1333
1446569807,1345,1345
1446570853,1347,1347
1446572532,1357,1357
1446574212,1358,1358
1446575294,1367,1367
1446577092,1358,1358
1446578891,1350,1350
1446579734,1350,1350
1446581411,1349,1349
1446583332,1351,1351
1446585251,1357,1357
1446586091,1358,1358
1446587778,1360,1360
1446588853,1356,1356
1446589691,1357,1357
1446590532,1356,1356
1446592450,1356,1356
1446594983,1367,1367
1446596050,1369,1369
1446596888,1373,1373
1446597735,1383,1383
1446599411,1393,1393
1446601332,1399,1399
1446603250,1405,1405
1446604217,1403,1403
1446605770,1415,1415
1446606849,1431,1431
1446607691,1438,1438
1446608532,1447,1447
