DateTime,Entries,UniqueIPs
1446646451,94,94
1446648131,96,96
1446650054,97,97
1446652580,96,96
1446653653,97,97
1446656175,97,97
1446657251,98,98
1446668054,96,96
1446670582,96,96
1446673338,96,96
1446677053,95,95
1446678850,96,96
1446679692,97,97
1446680654,98,98
1446682212,99,99
1446684135,106,106
1446685931,114,114
1446686889,118,118
1446690526,124,124
1446691340,126,126
1446693314,128,128
1446695891,127,127
1446697694,127,127
1446698534,126,126
1446699492,127,127
1446701424,127,127
1446703095,127,127
1446704893,129,129
1446707654,130,130
1446709336,131,131
1446714851,130,130
1446715692,131,131
1446717359,130,130
1446718450,131,131
1446720130,132,132
1446723730,131,131
1446725651,130,130
1446730938,129,129
1446732852,127,127
1446733695,126,126
1446740052,127,127
1446742575,127,127
1446746173,126,126
1446747251,125,125
1446748930,126,126
1446752534,125,125
1446754451,123,123
1446755290,123,123
1446758891,124,124
1446759733,123,123
1446761651,124,124
1446762491,123,123
1446765253,122,122
1446768615,124,124
1446770531,123,123
1446773294,124,124
1446777736,125,125
1446779654,127,127
1446784089,126,126
1446793813,127,127
1446796573,126,126
1446797652,125,125
1446798491,124,124
1446802934,123,123
1446804850,126,126
1446807494,125,125
1446811091,123,123
1446812894,122,122
1446815654,121,121
1446816493,122,122
1446817332,118,118
1446823692,119,119
1446826330,118,118
1446828140,118,118
1446830051,119,119
1446832694,120,120
1446834496,121,121
1446836291,120,120
1446840851,119,119
1446841690,118,118
1446843492,118,118
1446847091,118,118
1446848890,120,120
1446849734,118,118
1446852490,115,115
1446853335,113,113
1446855331,110,110
1446857289,105,105
1446858852,102,102
1446862334,94,94
1446863297,92,92
1446864978,89,89
1446866895,88,88
1446868691,86,86
1446871335,82,82
1446874219,80,80
1446875895,80,80
1446877696,82,82
1446879488,81,81
1446882132,79,79
1446885731,80,80
1446887651,79,79
1446888492,79,79
1446890294,79,79
1446892089,80,80
1446894733,79,79
1446899290,77,77
1446903731,77,77
1446905651,76,76
1446908293,74,74
1446910092,72,72
1446912611,71,71
1446917292,73,73
1446920895,72,72
1446924492,71,71
1446929757,72,72
1446931694,71,71
1446933490,70,70
1446936980,71,71
1446937813,70,70
1446939857,72,72
1446940576,71,71
1446942491,73,73
1446945258,73,73
1446946931,74,74
1446947779,75,75
1446948853,75,75
1446949823,76,76
1446956051,77,77
1446957730,78,78
1446964093,79,79
1446966851,81,81
1446968533,83,83
1446971291,84,84
1446974890,86,86
1446977653,87,87
1446982096,87,87
1446983771,86,86
1446988451,87,87
1446990134,85,85
1446996494,85,85
1446997329,84,84
1446999250,83,83
1447000932,83,83
1447002853,84,84
1447005373,85,85
1447010891,86,86
1447012575,86,86
1447015334,85,85
1447018092,84,84
1447019777,83,83
1447023377,85,85
1447024211,84,84
1447025291,84,84
1447030682,83,83
1447032755,85,85
1447035253,87,87
1447039692,88,88
1447045221,87,87
1447048572,87,87
1447051372,87,87
1447052179,88,88
1447059376,88,88
1447061289,86,86
1447064995,88,88
1447065731,87,87
1447069332,87,87
1447072090,87,87
1447072932,88,88
1447074852,89,89
1447075692,88,88
1447076535,88,88
1447080975,92,92
1447085412,93,93
1447088180,91,91
1447089250,90,90
1447092612,91,91
1447093694,92,92
1447094537,93,93
1447096452,92,92
1447098143,91,91
1447098989,90,90
1447100891,89,89
1447103651,92,92
1447105330,93,93
1447108090,94,94
1447109887,93,93
1447111694,91,91
1447112543,92,92
1447114345,91,91
1447117091,89,89
1447119742,89,89
1447120695,88,88
1447126094,87,87
1447128852,86,86
1447130551,84,84
1447133292,85,85
1447135811,83,83
1447137745,82,82
1447141340,81,81
1447144934,80,80
1447147692,79,79
1447151300,78,78
1447152129,77,77
1447154053,80,80
1447156690,81,81
1447158494,82,82
1447161013,83,83
1447161251,82,82
1447164732,81,81
1447166537,82,82
1447171091,81,81
1447173731,80,80
1447176492,79,79
1447180089,79,79
1447182851,80,80
1447186148,79,79
1447188133,79,79
1447190051,79,79
1447190892,78,78
1447191738,78,78
1447193652,78,78
1447195345,77,77
1447198097,78,78
1447198941,79,79
1447200852,80,80
1447202538,81,81
1447205417,80,80
1447208051,80,80
1447208898,80,80
1447212489,79,79
1447214290,78,78
1447217911,79,79
1447219693,78,78
1447221491,76,76
1447227739,75,75
1447235895,76,76
1447237696,75,75
1447240451,76,76
1447244891,76,76
1447246575,75,75
1447248492,76,76
1447249336,76,76
1447251253,78,78
1447253891,77,77
1447255693,78,78
1447257493,79,79
1447274536,76,76
1447279093,76,76
1447288096,74,74
1447289776,73,73
1447292533,74,74
1447295299,75,75
1447298053,76,76
1447299731,77,77
1447302617,78,78
1447303333,77,77
1447306095,78,78
1447308853,79,79
1447316891,80,80
1447317732,81,81
1447324111,77,77
1447326851,77,77
1447328531,76,76
1447334052,75,75
1447334893,76,76
1447336576,76,76
1447339331,77,77
1447345656,78,78
1447347374,77,77
1447350130,78,78
1447352889,79,79
1447353729,80,80
1447356492,79,79
1447358176,81,81
1447359252,81,81
1447360935,78,78
1447361842,79,79
1447363694,79,79
1447365378,78,78
1447367295,77,77
1447368136,76,76
1447370055,75,75
1447371853,73,73
1447373652,74,74
1447374488,73,73
1447375334,74,74
1447378263,73,73
1447381694,74,74
1447386134,73,73
1447390580,74,74
1447392488,74,74
1447394179,73,73
1447396093,74,74
1447397781,75,75
1447398613,75,75
1447402212,75,75
1447406052,74,74
1447409651,73,73
1447410491,71,71
1447412291,70,70
1447415778,71,71
1447416854,73,73
1447417690,72,72
1447419379,70,70
1447420451,69,69
1447422132,69,69
1447422978,71,71
1447424894,70,70
1447426577,71,71
1447427412,69,69
1447428621,72,72
1447431253,74,74
1447440978,75,75
1447443732,76,76
1447445651,78,78
1447447335,78,78
1447450934,83,83
1447453693,84,84
1447455375,85,85
1447457292,86,86
1447459140,89,89
1447461736,91,91
1447463651,90,90
1447465330,91,91
1447466292,90,90
1447468092,92,92
1447470873,94,94
1447472535,95,95
1447475292,96,96
1447482495,94,94
1447483331,95,95
1447485013,96,96
1447485253,97,97
1447486931,96,96
1447491372,95,95
1447494979,96,96
1447495812,97,97
1447496893,96,96
1447504937,95,95
1447507695,96,96
1447508537,95,95
1447510454,94,94
1447512138,93,93
1447512981,94,94
1447518492,93,93
1447521252,94,94
1447522935,94,94
1447528450,91,91
1447530978,93,93
1447531812,92,92
1447534573,93,93
1447539011,93,93
1447541783,96,96
1447543819,97,97
1447544680,96,96
1447547337,97,97
1447550980,97,97
1447554498,98,98
1447555347,97,97
1447557335,98,98
1447558930,100,100
1447559782,101,101
1447563495,101,101
1447564453,102,102
1447565294,103,103
1447568052,105,105
1447568890,111,111
1447572492,110,110
1447575250,109,109
1447577894,108,108
1447581493,111,111
1447583291,110,110
1447584131,109,109
1447586889,108,108
1447588692,109,109
1447592293,107,107
1447593131,108,108
1447596853,107,107
1447598539,106,106
1447602136,107,107
1447606577,109,109
1447607657,108,108
1447608492,107,107
1447610176,106,106
1447611017,105,105
1447612092,106,106
1447612931,107,107
1447614613,105,105
1447615695,104,104
1447616535,103,103
1447619290,102,102
1447621093,100,100
1447623852,99,99
1447624695,100,100
1447626620,99,99
1447629253,98,98
1447630962,100,100
1447634225,98,98
1447635373,99,99
1447636215,100,100
1447637291,100,100
1447638134,98,98
