DateTime,Entries,UniqueIPs
1446837245,5923,5923
1446838086,5882,5882
1446839886,5795,5795
1446841685,5765,5765
1446843484,5709,5709
1446845290,5702,5702
1446846126,5696,5696
1446847925,5601,5601
1446849724,5364,5364
1446851645,5258,5258
1446852483,5148,5148
1446854285,4907,4907
1446856085,4790,4790
1446857284,4684,4684
1446858485,4611,4611
1446859685,4534,4534
1446862327,4394,4394
1446863285,4313,4313
1446864969,4231,4231
1446866050,4185,4185
1446866887,4104,4104
1446868685,3977,3977
1446870485,3903,3903
1446871326,3844,3844
1446873125,3810,3810
1446874925,3694,3694
1446876845,3651,3651
1446877687,3584,3584
1446879484,3491,3491
1446881284,3466,3466
1446883084,3394,3394
1446884887,3363,3363
1446885725,3336,3336
1446887511,3298,3298
1446889326,3225,3225
1446891246,3198,3198
1446892084,3168,3168
1446893886,3111,3111
1446895684,3073,3073
1446897484,3019,3019
1446899284,2976,2976
1446900126,2950,2950
1446901805,2934,2934
1446903725,2856,2856
1446905645,2831,2831
1446906485,2790,2790
1446908286,2747,2747
1446909244,2753,2753
1446910085,2717,2717
1446911771,2676,2676
1446912604,2656,2656
1446913685,2631,2631
1446914527,2608,2608
1446916325,2589,2589
1446917286,2581,2581
1446918127,2571,2571
1446920045,2581,2581
1446920886,2553,2553
1446922571,2538,2538
1446924486,2511,2511
1446925327,2496,2496
1446926407,2471,2471
1446928089,2475,2475
1446928927,2448,2448
1446930845,2439,2439
1446931685,2415,2415
1446933485,2383,2383
1446934444,2396,2396
1446936125,2356,2356
1446936970,2361,2361
1446938885,2337,2337
1446940569,2325,2325
1446942484,2281,2281
1446943324,2259,2259
1446945005,2252,2252
1446946084,2245,2245
1446946925,2226,2226
1446948845,2201,2201
1446950525,2165,2165
1446951407,2158,2158
1446953285,2138,2138
1446954966,2104,2104
1446955804,2101,2101
1446956045,2104,2104
1446956885,2098,2098
1446957724,2074,2074
1446959646,2060,2060
1446960486,2046,2046
1446961326,2025,2025
1446962169,2027,2027
1446963244,2019,2019
1446964927,1994,1994
1446965769,1997,1997
1446967686,1988,1988
1446969369,1965,1965
1446970206,1959,1959
1446970445,1960,1960
1446971283,1938,1938
1446973084,1912,1912
1446974884,1910,1910
1446975725,1905,1905
1446976685,1900,1900
1446977525,1900,1900
1446977644,1902,1902
1446978485,1898,1898
1446979325,1891,1891
1446981244,1892,1892
1446982090,1892,1892
1446983766,1900,1900
1446984845,1897,1897
1446986525,1888,1888
1446987364,1891,1891
1446989285,1893,1893
1446990966,1889,1889
1446991806,1893,1893
1446992045,1895,1895
1446993014,1891,1891
1446993725,1895,1895
1446995406,1904,1904
1446995645,1905,1905
1446996487,1896,1896
1446998171,1903,1903
1446999244,1911,1911
1447000927,1909,1909
1447001773,1918,1918
1447003684,1920,1920
1447005365,1933,1933
1447006204,1932,1932
1447006445,1935,1935
1447007286,1941,1941
1447008124,1949,1949
1447009804,1929,1929
1447010046,1932,1932
1447010884,1926,1926
1447011727,1927,1927
1447013645,1929,1929
1447015328,1917,1917
1447016170,1919,1919
1447018085,1928,1928
1447019770,1926,1926
1447020608,1924,1924
1447020845,1925,1925
1447021813,1914,1914
1447022527,1910,1910
1447024446,1909,1909
1447025285,1914,1914
1447026965,1916,1916
1447027804,1921,1921
1447028887,1922,1922
1447029775,1922,1922
1447030601,1923,1923
1447032746,1917,1917
1447035245,1913,1913
1447036959,1909,1909
1447037773,1913,1913
1447039684,1898,1898
1447041364,1903,1903
1447045214,1890,1890
1447048564,1892,1892
1447049644,1889,1889
1447050490,1885,1885
1447052165,1887,1887
1447053245,1876,1876
1447054214,1872,1872
1447054931,1875,1875
1447055770,1875,1875
1447056591,1877,1877
1447056845,1879,1879
1447057685,1866,1866
1447059363,1864,1864
1447060206,1867,1867
