DateTime,Entries,UniqueIPs
1445181255,126,126
1445183901,127,127
1445186533,126,126
1445188456,127,127
1445190142,128,128
1445196500,130,130
1445198294,130,130
1445200941,131,131
1445206456,132,132
1445208975,133,133
1445218938,132,132
1445220853,134,134
1445221698,135,135
1445222540,133,133
1445227095,132,132
1445243297,134,134
1445246054,133,133
1445251339,136,136
1445254172,135,135
1445255780,136,136
1445256858,138,138
1445261298,138,138
1445262138,137,137
1445264055,138,138
1445266578,137,137
1445271257,136,136
1445272938,137,137
1445274959,137,137
1445276660,138,138
1445289257,137,137
1445292616,138,138
1445297902,137,137
1445300072,138,138
1445301741,137,137
1445308099,135,135
1445323339,137,137
1445325258,139,139
1445327786,140,140
1445329695,139,139
1445336055,138,138
1445338578,138,138
1445339655,139,139
1445342180,140,140
1445348542,141,141
1445352138,140,140
1445354054,141,141
1445354899,140,140
1445361255,141,141
1445362097,140,140
1445366536,139,139
1445368455,137,137
1445370979,137,137
1445373738,138,138
1445375656,138,138
1445376496,139,139
1445378295,138,138
1445380282,137,137
1445381987,138,138
1445384538,141,141
1445386458,142,142
1445387326,143,143
1445390054,145,145
1445391740,143,143
1445394500,145,145
1445396204,146,146
1445404456,144,144
1445406137,146,146
1445411654,145,145
1445413337,145,145
1445415255,144,144
1445416909,145,145
1445418618,146,146
1445419832,147,147
1445421556,147,147
1445424136,146,146
1445426058,145,145
1445426894,143,143
1445431337,142,142
1445436855,141,141
1445437696,143,143
1445444073,142,142
1445447654,141,141
1445452095,140,140
1445454856,141,141
1445462055,143,143
1445462892,145,145
1445465659,146,146
1445480074,147,147
1445480892,149,149
1445482581,148,148
1445483655,149,149
1445487254,151,151
1445492532,151,151
1445494454,149,149
1445495313,148,148
1445497814,147,147
1445499732,149,149
1445501653,150,150
1445502507,152,152
1445505110,153,153
1445505987,154,154
1445506968,155,155
1445508693,156,156
1445536695,151,151
1445542609,150,150
1445543895,149,149
1445546535,148,148
1445548474,148,148
1445554048,145,145
1445555712,144,144
1445559203,143,143
1445561325,144,144
