DateTime,Entries,UniqueIPs
1447219507,17592,17592
1447220102,17686,17686
1447220407,17609,17609
1447221003,17604,17604
1447221605,17603,17603
1447222205,17735,17735
1447222803,17776,17776
1447223404,17778,17778
1447224008,17881,17881
1447224603,17734,17734
1447225204,17723,17723
1447225803,17714,17714
1447226403,17730,17730
1447227323,17647,17647
1447227903,17740,17740
1447228503,17729,17729
1447229103,17728,17728
1447229703,17731,17731
1447230309,17560,17560
1447230903,17562,17562
1447231504,17552,17552
1447232105,17544,17544
1447232703,17550,17550
1447233602,17412,17412
1447234504,17403,17403
1447235103,17396,17396
1447235702,17401,17401
1447236309,17392,17392
1447236903,17395,17395
1447237207,17342,17342
1447238110,17356,17356
1447238711,15178,15178
1447239306,17319,17319
1447239907,17312,17312
1447240504,17308,17308
1447241107,17403,17403
1447241706,17396,17396
1447242305,17387,17387
1447242907,17363,17363
1447243504,17365,17365
1447244105,17358,17358
1447244704,17377,17377
1447245303,17364,17364
1447245906,17359,17359
1447246505,17347,17347
1447247104,17342,17342
1447248904,17394,17394
1447249507,17410,17410
1447250105,17425,17425
1447250703,17426,17426
1447251304,17442,17442
1447251904,17440,17440
1447252504,17538,17538
1447253103,17525,17525
1447254305,17507,17507
1447254904,17599,17599
1447255504,17599,17599
1447256104,17577,17577
1447257303,17191,17191
1447257903,17492,17492
1447258504,17482,17482
1447259104,17515,17515
1447259704,17581,17581
1447260313,17341,17341
1447260906,17321,17321
1447261504,17334,17334
1447262104,17535,17535
1447262705,17649,17649
1447263013,17659,17659
1447263607,17592,17592
1447264204,17575,17575
1447264803,17576,17576
1447265404,17731,17731
1447266011,17562,17562
1447266911,17469,17469
1447267504,17639,17639
1447268103,17602,17602
1447268712,17651,17651
1447269305,17726,17726
1447269610,17631,17631
1447270203,17601,17601
1447270806,17527,17527
1447271403,17615,17615
1447272009,17561,17561
1447272604,17641,17641
1447273508,17688,17688
1447274106,17706,17706
1447274704,17709,17709
1447275304,17743,17743
1447275909,17779,17779
1447276504,17756,17756
1447276809,17667,17667
1447277404,17755,17755
1447278006,17708,17708
1447278605,17785,17785
1447279206,17773,17773
1447280108,17755,17755
1447280715,17747,17747
1447281303,17739,17739
1447281614,17658,17658
1447282206,17674,17674
1447282804,17698,17698
1447283704,17705,17705
1447284313,17695,17695
1447284904,17703,17703
1447285506,17692,17692
1447286104,17774,17774
1447286704,17874,17874
1447287304,17871,17871
1447287907,17890,17890
1447288503,17877,17877
1447289103,17872,17872
1447289704,17891,17891
1447290306,17958,17958
1447290907,17886,17886
1447291506,17875,17875
1447292106,17856,17856
1447292707,17781,17781
1447293609,17701,17701
1447294204,17693,17693
1447294804,17779,17779
1447295404,17791,17791
1447296003,17801,17801
1447296605,17814,17814
1447297203,17799,17799
1447298103,17784,17784
1447298704,17790,17790
1447299307,17790,17790
1447299905,17761,17761
1447300503,17761,17761
1447301113,17575,17575
1447301704,17586,17586
1447302309,17574,17574
1447302907,17575,17575
1447303506,17583,17583
1447304103,17593,17593
1447304705,17584,17584
1447305304,17571,17571
1447305907,17491,17491
1447306211,17409,17409
1447306804,17397,17397
1447307403,17398,17398
1447308005,17392,17392
1447308607,17313,17313
1447309206,17337,17337
1447310117,17158,17158
1447310703,17144,17144
1447311304,17126,17126
1447311903,17117,17117
1447312504,17110,17110
1447313104,17106,17106
1447313713,17006,17006
1447314304,16968,16968
1447314904,16982,16982
1447315503,16967,16967
1447316104,16936,16936
1447316704,17062,17062
1447317304,17049,17049
1447317903,17055,17055
1447318503,17048,17048
1447319105,17058,17058
1447319703,17058,17058
1447320305,17079,17079
1447320904,17077,17077
1447321504,17074,17074
1447322104,17062,17062
1447322706,17065,17065
1447323305,17084,17084
1447323906,17041,17041
1447324503,17038,17038
1447324805,17032,17032
1447325403,17036,17036
1447325708,17025,17025
1447326307,17010,17010
1447326904,17020,17020
1447327513,16951,16951
1447328104,16933,16933
1447328704,16938,16938
1447329308,16945,16945
1447329904,17000,17000
1447330503,17008,17008
1447330808,16993,16993
1447331705,16989,16989
1447332303,16988,16988
1447332904,16989,16989
1447333507,17011,17011
1447334103,17033,17033
1447334706,17033,17033
1447335311,16964,16964
1447335906,16941,16941
1447336506,16918,16918
1447337104,16945,16945
1447337703,17016,17016
1447338304,17127,17127
1447338911,17218,17218
1447339504,17224,17224
1447340103,17214,17214
1447340703,17203,17203
1447341309,17117,17117
1447341904,17097,17097
1447342504,17084,17084
1447343103,17072,17072
1447344011,16915,16915
1447344603,16834,16834
1447345206,16790,16790
1447346111,16712,16712
1447346703,16709,16709
1447347605,16735,16735
1447348208,16633,16633
1447349117,16601,16601
1447349706,16494,16494
1447350304,16594,16594
1447351204,16749,16749
1447351808,16624,16624
1447352403,16623,16623
1447353307,16751,16751
1447353610,16717,16717
1447354205,16687,16687
1447356003,16566,16566
1447356603,16666,16666
1447357507,16680,16680
1447358106,16628,16628
1447358703,16648,16648
1447359008,16578,16578
1447359606,16460,16460
1447360209,16612,16612
1447360804,16588,16588
1447361405,16576,16576
1447362606,16749,16749
1447363510,16593,16593
1447364102,16585,16585
1447364406,16572,16572
1447365008,16587,16587
1447365603,16582,16582
1447366205,16572,16572
1447367114,16510,16510
1447367705,16538,16538
1447368305,16575,16575
1447368906,16558,16558
1447369506,16550,16550
1447370105,16539,16539
1447370718,16576,16576
1447371304,16563,16563
1447371904,16664,16664
1447372807,16539,16539
1447373404,16552,16552
1447374311,16543,16543
1447374903,16533,16533
1447375503,16527,16527
1447376104,16601,16601
1447376709,16509,16509
1447377304,16487,16487
1447377905,16484,16484
1447378503,16485,16485
1447378806,16472,16472
1447379403,16531,16531
1447380005,16529,16529
1447380603,16526,16526
1447381207,16488,16488
1447382705,16475,16475
1447383303,16473,16473
1447383905,16481,16481
1447384505,16512,16512
1447385104,16505,16505
1447385705,16496,16496
1447386303,16504,16504
1447386903,16504,16504
1447387504,16510,16510
1447387806,16507,16507
1447388402,16492,16492
1447389005,16493,16493
1447389605,16481,16481
1447390204,16490,16490
1447390804,16585,16585
1447391404,16668,16668
1447392005,16659,16659
1447392905,16749,16749
1447393504,16723,16723
1447394103,16724,16724
1447394703,16740,16740
1447395007,16725,16725
1447395604,16855,16855
1447396206,16844,16844
1447396803,16846,16846
1447397404,16833,16833
1447398003,16824,16824
1447398605,16825,16825
1447399204,16864,16864
1447399807,16845,16845
1447400406,16799,16799
1447401004,16788,16788
1447401605,16781,16781
1447402204,16784,16784
1447402809,16742,16742
1447403403,16644,16644
1447404004,16642,16642
1447404603,16662,16662
1447405205,16708,16708
1447406103,16727,16727
1447406704,16693,16693
1447407304,16689,16689
1447407903,16685,16685
1447408503,16673,16673
1447409107,16649,16649
1447409705,16624,16624
1447410304,16646,16646
1447410906,16675,16675
1447411502,16694,16694
1447412402,16681,16681
1447413008,16669,16669
1447413608,16637,16637
1447414204,16622,16622
1447414805,16620,16620
1447415406,16616,16616
1447416009,16591,16591
1447416906,16659,16659
1447417504,16682,16682
1447417808,16672,16672
1447418403,16674,16674
1447419005,16678,16678
1447419603,16682,16682
1447420507,16670,16670
1447421104,16660,16660
1447421705,16726,16726
1447422303,16721,16721
1447422904,16722,16722
1447423510,16730,16730
1447425013,16433,16433
1447425604,16431,16431
1447426203,16430,16430
1447426803,16414,16414
1447427406,16449,16449
1447428003,16440,16440
1447428605,16484,16484
1447429204,16498,16498
1447429803,16508,16508
1447430106,16502,16502
1447430703,16508,16508
1447431303,16669,16669
1447431905,16672,16672
1447432503,16657,16657
1447433105,16706,16706
1447433705,16680,16680
1447434303,16762,16762
1447434906,16707,16707
1447435505,16648,16648
1447436103,16708,16708
1447436711,16768,16768
1447437309,16833,16833
1447437906,16871,16871
1447438504,16865,16865
1447439107,16794,16794
1447439411,16829,16829
1447440308,16742,16742
1447440905,16809,16809
1447441511,16744,16744
1447442103,16765,16765
1447442704,16751,16751
1447443015,16687,16687
1447443605,16624,16624
1447444203,16619,16619
1447444505,16623,16623
1447445104,16791,16791
1447445704,16881,16881
1447446006,16917,16917
1447447204,16841,16841
1447447804,16833,16833
1447448410,16728,16728
1447449008,16587,16587
1447449607,16571,16571
1447451107,16598,16598
1447451703,16643,16643
1447452303,16649,16649
1447452907,16660,16660
1447453506,16653,16653
1447454109,16711,16711
1447454707,16763,16763
1447455307,16722,16722
1447455903,16711,16711
1447456205,16698,16698
1447456809,16714,16714
1447457405,16710,16710
1447458009,16627,16627
1447458605,16633,16633
1447459204,16628,16628
1447460104,16601,16601
1447460703,16597,16597
1447462207,16579,16579
1447462802,16591,16591
1447463406,16565,16565
1447464002,16564,16564
1447464603,16565,16565
1447465507,16577,16577
1447466103,16570,16570
1447466706,16537,16537
1447467303,16621,16621
1447467903,16592,16592
1447468508,16590,16590
1447469103,16570,16570
1447469704,16575,16575
1447470306,16638,16638
1447470905,16608,16608
1447471506,16599,16599
1447472703,16587,16587
1447473303,16582,16582
1447473903,16569,16569
1447474504,16566,16566
1447475704,16548,16548
1447476305,16548,16548
