DateTime,Entries,UniqueIPs
1445947803,5771,5771
1445949933,5775,5775
1445951910,5772,5772
1445954066,5768,5768
1445956097,5765,5765
1445958025,5754,5754
1445960184,5742,5742
1445962174,5735,5735
1445964331,5729,5729
1445966329,5728,5728
1445968477,5719,5719
1445970464,5716,5716
1445972427,5709,5709
1445974597,5695,5695
1445976581,5691,5691
1445979155,5682,5682
1445981409,5686,5686
1445983751,5675,5675
1445986217,5679,5679
1445988049,5678,5678
1445990084,5672,5672
1445992134,5667,5667
1445994044,5684,5684
1445996319,5650,5650
1445998187,5660,5660
1446000458,5626,5626
1446002325,5641,5641
1446004542,5638,5638
1446006469,5636,5636
1446008468,5622,5622
1446010656,5618,5618
1446012640,5612,5612
1446014892,5618,5618
1446016773,5627,5627
1446018870,5621,5621
1446020931,5620,5620
1446022852,5600,5600
1446025074,5587,5587
1446027012,5579,5579
1446029234,5599,5599
1446031127,5609,5609
1446033348,5603,5603
1446036145,5610,5610
1446038376,5565,5565
1446040479,5560,5560
1446042509,5550,5550
1446044677,5548,5548
1446046772,5548,5548
1446048894,5547,5547
1446051394,5545,5545
1446053880,5536,5536
1446057587,5502,5502
1446059722,5502,5502
1446061551,5509,5509
1446063520,5509,5509
1446065672,5499,5499
1446067736,5503,5503
1446069703,5504,5504
1446071879,5515,5515
1446073804,5509,5509
1446076008,5508,5508
1446077926,5510,5510
1446080128,5499,5499
1446082065,5501,5501
1446084062,5501,5501
1446086265,5497,5497
1446088190,5498,5498
1446090445,5502,5502
1446092329,5501,5501
1446094544,5503,5503
1446096465,5506,5506
1446098450,5507,5507
1446100688,5502,5502
1446102595,5508,5508
1446104811,5515,5515
1446106720,5517,5517
1446108940,5511,5511
1446110868,5511,5511
1446112852,5515,5515
1446115061,5520,5520
1446117005,5531,5531
1446119213,5553,5553
1446121143,5572,5572
1446123346,5583,5583
1446125269,5598,5598
1446127252,5611,5611
1446129484,5627,5627
1446131387,5637,5637
1446133607,5658,5658
1446135528,5676,5676
1446137762,5687,5687
1446139682,5700,5700
1446141685,5712,5712
1446144074,5726,5726
1446146395,5729,5729
1446148536,5735,5735
1446150473,5733,5733
1446152466,5723,5723
1446154666,5719,5719
1446156598,5727,5727
1446158821,5739,5739
1446160772,5753,5753
