DateTime,Entries,UniqueIPs
1442197095,1495,1495
1442208442,1494,1494
1442220235,1487,1487
1442231677,1482,1482
1442242830,1486,1486
1442254153,1483,1483
1442265497,1483,1483
1442276840,1480,1480
1442288180,1479,1479
1442299528,1479,1479
1442310850,1477,1477
1442322566,1477,1477
1442333926,1479,1479
1442345286,1478,1478
1442356838,1483,1483
1442368020,1479,1479
1442379263,1479,1479
1442390449,1480,1480
1442401767,1478,1478
1442413114,1475,1475
1442424458,1477,1477
1442435859,1475,1475
1442447133,1476,1476
1442458529,1477,1477
1442469632,1475,1475
1442480975,1474,1474
1442492330,1475,1475
1442503727,1465,1465
1442515057,1459,1459
1442526464,1453,1453
1442537708,1456,1456
1442548833,1453,1453
1442560154,1447,1447
1442571514,1445,1445
1442582844,1437,1437
1442594298,1437,1437
1442608308,1438,1438
1442619547,1432,1432
1442630860,1428,1428
1442642225,1431,1431
1442653223,1431,1431
1442664574,1426,1426
1442675907,1429,1429
1442687304,1430,1430
1442698660,1433,1433
1442710005,1431,1431
1442721284,1425,1425
1442732470,1428,1428
1442743756,1429,1429
1442755137,1432,1432
1442766530,1429,1429
1442777844,1427,1427
1442789136,1423,1423
1442800521,1422,1422
1442811622,1425,1425
1442823001,1426,1426
1442834304,1424,1424
1442845669,1426,1426
1442856991,1427,1427
1442868395,1427,1427
1442879652,1424,1424
1442890846,1420,1420
1442902164,1422,1422
1442913509,1424,1424
1442924847,1426,1426
1442936247,1428,1428
1442947568,1426,1426
1442958931,1424,1424
1442970034,1418,1418
1442981379,1418,1418
1442992700,1420,1420
1443004061,1415,1415
1443015392,1416,1416
1443026798,1420,1420
1443038081,1412,1412
1443049224,1408,1408
1443060585,1401,1401
1443071903,1399,1399
1443083246,1389,1389
1443094584,1385,1385
1443105934,1383,1383
1443116918,1383,1383
1443128093,1377,1377
1443139223,1378,1378
1443150551,1372,1372
1443161926,1367,1367
1443173255,1364,1364
1443184609,1358,1358
1443195958,1355,1355
1443207271,1352,1352
1443218449,1350,1350
1443229775,1348,1348
1443241141,1350,1350
1443252456,1348,1348
1443263805,1346,1346
1443275153,1335,1335
1443286472,1333,1333
1443297654,1330,1330
1443308983,1333,1333
1443320333,1331,1331
1443331665,1335,1335
1443343066,1338,1338
1443354334,1340,1340
1443365663,1334,1334
1443376834,1336,1336
1443388166,1322,1322
1443399566,1320,1320
1443410848,1321,1321
1443422194,1322,1322
1443433531,1324,1324
1443444864,1326,1326
1443456038,1325,1325
1443467379,1324,1324
1443479079,1321,1321
1443490047,1321,1321
1443500995,1315,1315
1443512269,1316,1316
1443523610,1316,1316
1443534867,1316,1316
1443546046,1313,1313
1443557395,1316,1316
1443568738,1319,1319
1443580062,1319,1319
1443591393,1320,1320
1443602740,1316,1316
1443614061,1310,1310
1443625231,1307,1307
1443636589,1310,1310
1443647923,1308,1308
1443659255,1307,1307
1443670598,1312,1312
1443681932,1309,1309
1443693273,1304,1304
1443704429,1308,1308
1443715771,1304,1304
1443727116,1301,1301
1443738456,1300,1300
1443749793,1298,1298
1443761137,1299,1299
1443772457,1296,1296
1443783630,1293,1293
1443794974,1291,1291
1443806309,1296,1296
1443817654,1288,1288
1443828999,1285,1285
1443840340,1278,1278
1443851665,1279,1279
1443862834,1272,1272
1443874169,1270,1270
1443885508,1263,1263
1443896859,1252,1252
1443908193,1239,1239
1443919543,1229,1229
1443930856,1222,1222
1443942580,1217,1217
1443953923,1219,1219
1443965277,1219,1219
1443976596,1213,1213
1443988000,1210,1210
1443999295,1197,1197
1444010475,1191,1191
1444021780,1184,1184
1444033439,1186,1186
1444044512,1182,1182
1444055823,1174,1174
1444067154,1170,1170
1444078480,1164,1164
1444089677,1157,1157
1444101011,1153,1153
1444112320,1149,1149
1444123650,1147,1147
1444134988,1140,1140
1444146526,1137,1137
1444157697,1136,1136
1444168839,1140,1140
1444180181,1140,1140
1444191545,1137,1137
1444202843,1136,1136
1444214746,1137,1137
1444226058,1136,1136
1444237244,1139,1139
1444248569,1136,1136
1444259928,1138,1138
1444271246,1137,1137
1444282651,1139,1139
1444293942,1139,1139
1444305329,1139,1139
1444316429,1139,1139
1444327786,1137,1137
1444339110,1139,1139
1444350491,1138,1138
1444361795,1125,1125
1444373211,1121,1121
1444384469,1124,1124
1444395639,1114,1114
1444406963,1112,1112
1444418326,1108,1108
1444429648,1102,1102
1444441087,1099,1099
1444452337,1093,1093
1444463777,1091,1091
1444474823,1087,1087
1444486170,1090,1090
1444497656,1084,1084
1444508889,1080,1080
1444520271,1073,1073
1444531552,1071,1071
1444542863,1063,1063
1444554030,1064,1064
1444565364,1064,1064
1444576711,1054,1054
1444588058,1052,1052
1444599400,1054,1054
1444610795,1055,1055
1444622072,1055,1055
1444633211,1052,1052
1444644583,1050,1050
1444655911,1056,1056
1444667255,1053,1053
1444678585,1043,1043
1444689950,1043,1043
1444701272,1046,1046
1444712425,1048,1048
1444723766,1049,1049
1444735135,1054,1054
1444746460,1052,1052
1444757860,1048,1048
1444769134,1051,1051
1444780559,1051,1051
1444791617,1059,1059
1444802991,1061,1061
1444814309,1064,1064
1444825680,1061,1061
1444836995,1060,1060
1444848426,1063,1063
1444859666,1065,1065
1444870848,1065,1065
1444882161,1066,1066
1444893524,1065,1065
1444904845,1060,1060
1444916256,1055,1055
1444927535,1052,1052
1444938871,1056,1056
1444950031,1053,1053
1444961406,1053,1053
1444972708,1048,1048
1444984627,1045,1045
1444995931,1044,1044
1445007259,1044,1044
1445018974,1050,1050
1445030315,1053,1053
1445041644,1051,1051
1445053164,1049,1049
1445064328,1050,1050
1445075655,1051,1051
1445086831,1049,1049
1445098175,1052,1052
1445109510,1048,1048
1445120487,1054,1054
1445131651,1056,1056
1445143018,1058,1058
1445154406,1063,1063
1445165671,1061,1061
1445176857,1060,1060
1445188177,1061,1061
1445199531,1061,1061
1445210855,1063,1063
1445222366,1060,1060
1445244672,1062,1062
1445255667,1060,1060
1445266696,1063,1063
1445277641,1057,1057
1445289014,1050,1050
1445300305,1049,1049
1445311675,1051,1051
1445322981,1052,1052
1445334328,1054,1054
1445345658,1052,1052
1445356824,1051,1051
1445368153,1053,1053
1445379684,1053,1053
1445390838,1050,1050
1445402191,1042,1042
1445413595,1041,1041
1445425224,1039,1039
1445436562,1041,1041
1445447916,1044,1044
1445459259,1042,1042
1445470578,1043,1043
1445481922,1042,1042
1445493247,1039,1039
1445504459,1039,1039
1445537899,1035,1035
1445549235,1034,1034
1445560591,1037,1037
1445571529,1033,1033
1445582726,1030,1030
1445594513,1028,1028
1445605768,1029,1029
1445617157,1024,1024
1445628473,1022,1022
1445639885,1021,1021
1445651243,1016,1016
1445662453,1014,1014
1445673671,1011,1011
1445684962,1011,1011
1445696345,1007,1007
1445707651,1015,1015
1445719116,1013,1013
1445730356,1006,1006
1445741656,1004,1004
1445752848,1007,1007
1445764176,1003,1003
1445775541,1000,1000
1445786844,996,996
1445798526,996,996
1445809527,992,992
1445820848,992,992
1445832113,989,989
1445843355,989,989
1445854699,998,998
1445866037,1003,1003
1445877395,1003,1003
1445888727,1004,1004
1445900047,1004,1004
1445911246,1005,1005
1445922622,1003,1003
1445933913,997,997
1445945242,1000,1000
1445956661,1004,1004
1445967950,1003,1003
1445979035,1005,1005
1445990077,1015,1015
1446001218,1013,1013
1446012626,1006,1006
1446023945,1000,1000
1446036124,997,997
1446047687,992,992
1446059663,997,997
1446070715,998,998
1446082059,996,996
1446093926,993,993
1446105251,993,993
1446116459,998,998
1446127792,1006,1006
1446139116,1007,1007
1446150464,1006,1006
1446161780,1003,1003
1446173279,1001,1001
1446184545,998,998
1446195625,996,996
1446206979,1003,1003
1446218298,1003,1003
1446229743,1007,1007
1446240980,1010,1010
1446252326,1010,1010
1446263293,1007,1007
1446275306,1013,1013
1446287200,1010,1010
1446298507,1013,1013
1446309466,1018,1018
1446320742,1019,1019
1446332157,1015,1015
1446343274,1015,1015
1446354603,1019,1019
1446365919,1023,1023
1446377843,1019,1019
1446389199,1018,1018
1446400477,1023,1023
1446411622,1023,1023
1446422966,1021,1021
1446437936,1023,1023
1446449256,1024,1024
1446460782,1024,1024
1446471925,1019,1019
1446483265,1021,1021
1446494442,1021,1021
1446505759,1022,1022
1446517105,1019,1019
1446528436,1017,1017
1446539774,1015,1015
1446551120,1014,1014
1446562459,1010,1010
1446573646,1014,1014
1446584820,1012,1012
1446595877,1013,1013
1446607098,1018,1018
1446618459,1018,1018
1446629790,1018,1018
1446641193,1019,1019
1446652469,1024,1024
1446670866,1032,1032
1446682172,1036,1036
1446693517,1039,1039
1446704833,1039,1039
1446716254,1039,1039
1446727539,1044,1044
1446738920,1044,1044
1446750023,1044,1044
1446761396,1039,1039
1446772713,1038,1038
1446784038,1036,1036
1446795378,1039,1039
1446806779,1038,1038
1446818082,1039,1039
1446830232,1043,1043
1446841638,1040,1040
1446853011,1044,1044
1446864349,1041,1041
1446875401,1046,1046
1446886446,1045,1045
1446897621,1047,1047
1446908669,1048,1048
1446919784,1045,1045
1446930907,1045,1045
1446943030,1044,1044
1446954110,1043,1043
1446965153,1044,1044
1446976476,1045,1045
1446987615,1045,1045
1446998538,1040,1040
1447009756,1043,1043
1447021122,1044,1044
1447032142,1046,1046
1447055217,1047,1047
1447066113,1046,1046
1447077095,1040,1040
1447087717,1038,1038
1447098516,1035,1035
1447109468,1033,1033
1447120274,1030,1030
1447131084,1032,1032
1447141827,1033,1033
1447152196,1033,1033
1447163029,1030,1030
1447173830,1034,1034
1447184443,1031,1031
1447194513,1030,1030
1447205354,1033,1033
1447216276,1035,1035
1447226987,1032,1032
1447237516,1033,1033
1447248998,1032,1032
1447259938,1033,1033
1447270904,1032,1032
1447281882,1030,1030
1447292715,1030,1030
1447303685,1028,1028
1447314702,1027,1027
1447325457,1026,1026
1447336326,1027,1027
1447347100,1028,1028
1447357929,1031,1031
1447368714,1034,1034
1447379580,1030,1030
1447389278,1028,1028
1447400053,1031,1031
1447410678,1037,1037
1447421666,1037,1037
1447432764,1038,1038
1447443650,1035,1035
1447454266,1039,1039
1447464414,1038,1038
1447475428,1043,1043
1447486749,1043,1043
1447497715,1041,1041
1447508203,1041,1041
1447519359,1044,1044
1447530007,1046,1046
1447540772,1043,1043
1447551829,1042,1042
1447561672,1045,1045
1447572474,1043,1043
1447582788,1044,1044
1447593892,1040,1040
1447604522,1039,1039
1447615349,1032,1032
1447626061,1030,1030
1447637086,1031,1031
1447647684,1038,1038
1447658540,1036,1036
1447669469,1032,1032
1447680125,1027,1027
1447691953,1022,1022
1447703035,1024,1024
1447714009,1026,1026
1447724981,1019,1019
1447735493,1019,1019
1447746732,1018,1018
1447757312,1023,1023
1447767139,1024,1024
1447777607,1020,1020
1447788291,1022,1022
1447798743,1020,1020
1447809835,1019,1019
1447820667,1021,1021
1447831359,1024,1024
1447841007,1018,1018
1447852096,1020,1020
1447863096,1018,1018
