DateTime,AddedIPs,RemovedIPs
1442394907,7,0
1442405706,11,0
1442416507,7,0
1442427308,10,0
1442438108,11,0
1442448917,9,55
1442459709,9,0
1442470507,8,0
1442481306,5,0
1442492107,3,0
1442502907,8,0
1442513707,8,0
1442524507,12,0
1442535318,4,82
1442546108,10,0
1442556907,9,0
1442567707,6,0
1442578507,8,0
1442589308,6,0
1442600108,7,0
1442610907,9,0
1442621719,9,42
1442629222,5,6
1442639718,7,0
1442650519,3,0
1442661318,7,0
1442672118,8,0
1442682919,7,0
1442693721,7,0
1442704539,5,0
1442715341,6,39
1442726119,6,0
1442736917,6,0
1442747718,7,0
1442758516,8,0
1442769316,9,0
1442780117,3,0
1442790917,5,0
1442801746,6,54
1442812516,6,0
1442823316,6,0
1442834118,8,0
1442844918,5,0
1442855719,6,0
1442866519,4,0
1442877320,3,0
1442888217,6,63
1442898921,2,0
1442906120,2,0
1442916920,13,0
1442927721,5,0
1442938551,3,0
1442949321,4,0
1442960122,5,0
1442970923,8,77
1442981723,14,0
1442992523,11,0
1443003321,5,0
1443014122,5,0
1443024922,9,1
1443035722,4,0
1443046523,1,0
1443057325,8,61
1443068121,113,0
1443078922,33,0
1443089721,62,0
1443100523,13,0
1443111322,9,0
1443122122,8,0
1443132921,6,0
1443143725,8,51
1443154521,19,0
1443165320,5,0
1443176122,9,0
1443186921,6,0
1443197724,8,0
1443208525,6,0
1443219324,5,0
1443230125,11,58
1443240930,7,0
1443251722,9,0
1443262522,9,0
1443273322,3,0
1443284121,11,0
1443294921,11,0
1443305722,4,0
1443316539,7,49
1443327321,5,0
1443338123,7,0
1443348922,4,0
1443359723,7,0
1443370521,4,0
1443381322,9,0
1443392121,6,0
1443402926,2,47
1443413722,10,0
1443424521,6,0
1443435321,6,0
1443446121,4,0
1443456922,9,0
1443467723,8,0
1443478522,4,0
1443489325,9,41
1443500121,8,0
1443510922,4,0
1443521720,9,0
1443532519,8,0
1443543320,5,0
1443554122,7,0
1443564921,3,0
1443575724,5,61
1443586538,11,0
1443597321,3,0
1443608146,9,0
1443618922,6,0
1443629722,7,0
1443640521,9,0
1443651322,5,0
1443662123,2,245
1443672921,7,0
1443683720,9,0
1443694520,3,0
1443705321,9,0
1443716122,5,0
1443726907,4,0
1443737707,5,0
1443748507,9,67
1443759307,6,0
1443770107,6,0
1443780909,5,0
1443791708,3,0
1443802507,6,0
1443813307,4,0
1443824107,5,0
1443834907,4,68
1443845706,10,0
1443856507,16,0
1443867307,10,0
1443878107,4,0
1443888907,4,0
1443899706,9,0
1443910507,1,0
1443921307,4,44
1443932107,11,0
1443942907,5,0
1443953707,3,0
1443964507,4,0
1443975307,11,0
1443986107,3,0
1443996907,8,0
1444007707,6,51
1444018507,12,0
1444029307,6,0
1444040106,5,0
1444050907,5,0
1444061707,9,0
1444072508,6,0
1444083307,5,0
1444094107,4,56
1444104907,7,0
1444115707,5,0
1444126507,4,0
1444137306,4,0
1444148107,8,0
1444158907,7,0
1444169707,8,0
1444180507,1,52
1444191307,9,0
1444202106,5,0
1444212907,6,0
1444223706,6,0
1444234507,8,0
1444245307,3,0
1444256107,6,0
1444266922,9,47
1444277720,12,0
1444288522,7,0
1444299321,3,0
1444310121,10,0
1444331723,16,18
1444342520,2,1
1444353321,9,42
1444364119,7,0
1444374919,8,0
1444385719,6,0
1444396521,5,0
1444407321,12,0
1444418121,3,0
1444428920,7,0
1444439721,7,56
1444450533,12,0
1444461480,7,0
1444472118,6,0
1444482919,4,0
1444493723,8,0
1444504521,7,0
1444515322,6,0
1444526121,4,45
1444536920,5,1
1444547719,6,0
1444558518,3,0
1444569319,7,0
1444580120,3,0
1444590919,5,0
1444601719,8,0
1444612521,9,52
1444623319,8,0
1444634119,6,0
1444644920,13,7
1444655719,11,0
1444666520,5,0
1444677320,8,0
1444688118,9,0
1444698930,4,38
1444709722,10,0
1444720520,2,0
1444731320,7,0
1444742121,4,0
1444752922,15,0
1444763778,11,0
1444774524,7,0
1444785322,3,47
1444796120,6,0
1444806921,11,0
1444817720,5,0
1444828520,11,0
1444839323,7,0
1444850122,6,0
1444860924,13,0
1444871724,6,55
1444882523,12,0
1444893321,10,0
1444904123,10,0
1444914922,6,0
1444925723,8,0
1444936524,6,0
1444947325,9,0
1444958135,11,66
1444968967,2,0
1444979739,3,0
1444990523,11,0
1445001334,6,0
1445012162,4,0
1445022921,14,0
1445033721,3,1
1445044522,5,52
1445055329,10,0
1445066119,7,0
1445076921,4,0
1445087720,8,0
1445098521,8,0
1445109321,3,0
1445120121,14,0
1445130922,8,36
1445141726,7,0
1445152521,4,0
1445163319,6,0
1445174120,6,0
1445184920,4,0
1445195721,3,0
1445206519,5,0
1445217321,7,67
1445242519,13,0
1445253320,5,0
1445264122,6,0
1445274921,6,0
1445285763,6,0
1445296523,12,0
1445303722,3,63
1445314521,5,0
1445325322,10,0
1445336107,8,0
1445346907,13,0
1445357707,5,0
1445368507,8,0
1445379328,4,0
1445390128,0,62
1445400920,92,7
1445411706,57,0
1445422507,63,0
1445433307,11,0
1445444107,7,0
1445454908,4,0
1445465707,6,0
1445476507,5,55
1445487306,20,0
1445498107,7,0
1445508907,8,0
1445537707,19,0
1445548507,9,0
1445559308,11,58
1445570107,13,0
1445580907,10,0
1445591706,7,0
1445602507,4,0
1445613308,5,0
1445624107,7,0
1445634907,3,0
1445645718,13,55
1445656509,11,0
1445667307,2,0
1445678107,5,0
1445688907,13,0
1445699707,4,0
1445710507,13,0
1445721306,4,0
1445732107,9,47
1445739339,7,0
1445750107,4,0
1445760907,4,0
1445771706,7,0
1445782507,6,0
1445793307,3,0
1445804107,7,0
1445814907,2,0
1445825810,12,52
1445836525,10,0
1445847325,10,0
1445858122,5,0
1445868924,9,1
1445879727,2,0
1445890525,7,0
1445901326,6,0
