DateTime,Entries,UniqueIPs
1442376490,3633,606761224
1442462932,3636,606755848
1442549325,3634,606740744
1442635733,3637,606730504
1442894948,3635,606713096
1442981310,3636,606701832
1443067744,3637,606691080
1443154147,3639,606683912
1443241941,3638,606675720
1443499766,3643,606665992
1443587617,3646,606655240
1443674923,3651,606646536
1443760409,3650,606635304
1443847109,3652,606622504
1444105988,3652,606617640
1444190925,3657,606601512
1444277343,3659,606592296
1444365171,3663,606577960
1444451646,3660,606551592
1444710808,3662,606536488
1444797188,3661,606523944
1444883576,3660,606510920
1444970044,3662,606499912
1445056459,3662,606491976
1445314165,3664,606480968
1445402294,3665,606466632
1445486948,3666,606450760
1445573321,3664,606432328
1445659732,3666,606420040
1445918937,3668,606406984
1446005341,3667,606382408
1446091776,3667,606368072
1446178173,3669,606349640
1446264557,3671,606341192
1446523754,3671,606333000
1446698072,3669,606299976
1446784508,3670,606289224
1446872032,3671,606278984
1447216397,3669,606249288
1447302874,3672,606226760
1447387785,3669,606215496
1447560620,3670,606201672
1447733749,3669,606175048
1447820186,3671,606162760
