DateTime,AddedIPs,RemovedIPs
1444510023,79,114
1444514553,19,33
1444520260,43,64
1444524397,81,94
1444528561,95,109
1444534652,23,70
1444553215,99,127
1444557710,0,3996
1444559895,3995,0
1444564037,46,33
1444568181,148,43
1444577857,72,96
1444581998,25,54
1444586111,27,31
1444592233,25,29
1444596378,15,7
1444600516,9,9
1444606703,38,72
1444610782,19,32
1444614919,104,66
1444621046,35,19
1444625748,10,3
1444631836,54,16
1444635991,29,7
1444640108,23,10
1444646252,92,39
1444650451,46,119
1444654510,39,77
1444660665,104,77
1444664820,13,23
1444668924,25,10
1444675043,49,75
1444679230,25,29
1444683330,188,116
1444689415,27,59
1444693589,26,61
1444697712,181,34
1444703913,54,122
1444708004,11,10
1444712119,1,8
1444718242,17,10
1444722921,78,87
1444729047,21,15
1444733186,30,30
1444737315,11,19
1444743446,21,29
1444747595,59,32
1444751724,5,30
1444757846,225,109
1444761989,42,37
1444766113,29,58
1444772202,48,64
1444776392,18,5
1444780543,143,147
1444786642,62,89
1444790802,30,28
1444794915,9,6
1444801050,75,48
1444805200,11,3
1444809317,3,17
1444815451,20,133
1444819584,4,49
1444823717,54,54
1444829852,76,97
1444833997,15,34
1444838117,2,6
1444844241,3,1
1444881318,341,411
1444901847,4,10
1444905991,1,3
1444910141,389,139
1444916244,45,78
1444920397,5,4
1444924887,168,15
1444929023,362,141
1444933198,0,3
1444937306,413,312
1444941474,601,265
1444946143,466,284
1444952246,2,5
1444956385,188,258
1444960508,79,253
1444966601,0,4926
1444976919,4829,0
1444981060,6,7
1444985176,0,1
1444989304,820,495
1444995432,124,146
1444999574,55,68
1445003707,85,127
1445009825,44,254
1445013976,6,2
1445018123,64,73
1445024232,95,143
1445028365,17,207
1445032504,28,19
1445038624,26,32
1445042768,5,4
1445048918,60,65
1445053564,0,4621
1445055506,4562,0
1445059706,39,64
1445063831,40,36
1445067980,1,31
1445072100,5,11
1445078227,12,16
1445082390,13,61
1445086510,30,99
1445092627,28,4
1445096778,30,1
1445100901,42,5
1445107046,4,5
1445111184,24,80
1445115298,3,37
1445121426,17,38
1445125614,81,103
1445129704,121,168
1445135860,86,203
1445140002,69,207
1445144121,14,141
1445150249,35,3
1445154395,10,80
1445158521,106,206
1445168799,21,15
1445172918,96,191
1445179074,22,38
1445183195,19,4
1445187299,109,18
1445193443,71,104
1445197599,62,101
1445201702,31,13
1445207876,43,5
1445212002,42,16
1445216141,30,31
1445222351,36,82
1445226477,35,104
1445244656,137,433
1445248903,23,20
1445253015,31,87
1445257221,12,169
1445261953,1,1
1445266128,12,47
1445272120,69,135
1445276279,11,39
1445280466,20,108
1445284544,31,31
1445290653,72,61
1445295317,36,6
1445301429,167,85
1445306126,20,41
1445312302,14,48
1445316411,137,166
1445320502,11,8
1445326630,120,77
1445330770,4,9
1445334903,111,139
1445341026,78,21
1445345175,18,32
1445349304,21,65
1445355436,40,72
1445359572,12,13
1445363706,16,18
1445369782,40,2469
1445371759,2373,0
1445373979,0,15
1445378104,22,16
1445384228,24,72
1445388395,28,49
1445392586,12,7
1445398651,18,20
1445403309,52,45
1445409473,60,28
1445413584,0,1
1445417715,66,31
1445423840,113,56
1445427985,14,26
1445432114,12,13
1445438257,39,80
1445442374,21,18
1445446499,7,8
1445452639,59,79
1445456813,21,21
1445460908,14,63
1445467026,26,9
1445471179,8,50
1445475302,12,2
1445481461,79,34
1445485597,44,11
1445489705,16,49
1445495833,22,19
1445499985,0,6
1445504100,84,65
1445510244,71,53
1445537879,36,22
1445546817,132,62
1445550912,62,52
1445557054,16,43
1445565312,118,77
1445571517,1,1
1445575572,144,75
1445585826,42,47
1445589976,24,10
1445594500,43,40
1445598604,12,9
1445602778,19,9
1445606895,21,4
1445611035,16,11
1445615231,19,5
1445619310,24,18
1445625509,39,6
1445629581,52,11
1445633708,77,56
1445639873,96,110
1445643978,0,1
1445648101,53,173
1445652652,21,50
1445656753,20,17
1445660889,4,19
1445665034,16,3
1445669190,18,59
1445673311,15,5
1445679429,6,0
1445683585,21,22
1445687714,31,31
1445693826,25,35
1445698533,20,24
1445704649,28,14
1445708839,35,41
1445712976,120,68
1445719086,0,3
1445723233,115,153
1445727389,0,3
1445733452,105,108
1445742611,249,77
1445750901,110,92
1445755075,31,95
1445759206,23,60
1445763326,27,67
1445769458,15,74
1445773608,7,12
1445777722,66,24
1445783862,17,35
1445788051,41,95
1445792557,38,18
1445796794,167,56
1445806925,156,94
1445811031,0,5
1445819304,88,209
1445832101,257,275
1445836204,1,4
1445848630,225,238
1445853308,0,5
1445859425,125,112
1445863578,0,1
1445867712,57,138
1445873784,0,6
1445878001,79,114
1445882108,57,52
1445892455,318,61
1445896590,0,1
1445910901,0,1
1445917040,669,204
1445921176,0,2
1445936103,0,1
1445942233,0,2
1445950500,0,2
1445956648,0,2
1445975182,0,1
1445981361,1852,548
1445986129,5,20
1445992118,3,33
1445996295,2,12
1446000435,12,21
1446004524,4,15
1446010634,4,21
1446014870,2,10
1446020915,0,10
1446025053,12,11
1446029215,30,7
1446033329,13,11
1446038355,6,2
1446042493,5,2
1446046726,3,3
1446051356,3,2
1446057547,13,5
1446063502,4,5
1446067717,7,3
1446071856,7,2
1446075983,15,0
1446080110,18,1
1446086245,23,0
1446090427,2,3
1446094525,3,4
1446100665,1451,959
1446104791,0,24
1446108921,0,25
1446115042,0,27
1446119194,0,1
1446123326,0,7
1446129461,4,3
1446133590,0,5
1446137741,0,7
1446144046,0,7
1446148514,0,10
1446154643,398,246
1446158802,0,3
1446162897,0,1
1446184532,400,550
1446190612,5,7
1446194784,0,2
1446198911,0,5
1446205056,424,336
1446209206,1,3
1446213326,43,41
1446217445,0,1
1446223589,1,2
1446227714,70,210
1446233854,0,1
1446238001,192,238
1446242158,1,5
1446246430,72,40
1446250768,38,47
1446263278,91,313
1446267457,2,0
1446275290,153,543
1446281532,0,5
1446295591,91,569
1446299388,0,0
1446301482,144,203
1446305981,58,81
1446310061,0,4
1446319717,290,558
1446323866,0,2
1446332143,0,1
1446342459,219,144
1446346545,0,1
1446352661,0,1
1446360946,0,2
1446367083,237,216
1446371228,75,103
1446375369,1,1
1446379851,42,222
1446383980,0,1
1446388122,88,31
1446396926,103,82
1446403047,12,6
1446407241,96,200
1446411322,74,69
1446415258,0,0
1446417484,1,2
1446421596,58,68
1446426200,0,1
1446437919,97,47
1446446100,86,150
1446450389,48,114
1446454525,37,6
1446460769,0,14
