DateTime,Entries,UniqueIPs
1444490900,4301,4301
1444495628,0,0
1444497644,4259,4259
1444501720,4236,4236
1444505906,4168,4168
1444510023,4133,4133
1444514553,4119,4119
1444520260,4098,4098
1444524397,4085,4085
1444528561,4071,4071
1444534652,4024,4024
1444553215,3996,3996
1444557710,0,0
1444559895,3995,3995
1444564037,4008,4008
1444568181,4113,4113
1444577857,4089,4089
1444581998,4060,4060
1444586111,4056,4056
1444592233,4052,4052
1444596378,4060,4060
1444600516,4060,4060
1444606703,4026,4026
1444610782,4013,4013
1444614919,4051,4051
1444621046,4067,4067
1444625748,4074,4074
1444631836,4112,4112
1444635991,4134,4134
1444640108,4147,4147
1444646252,4200,4200
1444650451,4127,4127
1444654510,4089,4089
1444660665,4116,4116
1444664820,4106,4106
1444668924,4121,4121
1444675043,4095,4095
1444679230,4091,4091
1444683330,4163,4163
1444689415,4131,4131
1444693589,4096,4096
1444697712,4243,4243
1444703913,4175,4175
1444708004,4176,4176
1444712119,4169,4169
1444718242,4176,4176
1444722921,4167,4167
1444729047,4173,4173
1444733186,4173,4173
1444737315,4165,4165
1444743446,4157,4157
1444747595,4184,4184
1444751724,4159,4159
1444757846,4275,4275
1444761989,4280,4280
1444766113,4251,4251
1444772202,4235,4235
1444776392,4248,4248
1444780543,4244,4244
1444786642,4217,4217
1444790802,4219,4219
1444794915,4222,4222
1444801050,4249,4249
1444805200,4257,4257
1444809317,4243,4243
1444815451,4130,4130
1444819584,4085,4085
1444823717,4085,4085
1444829852,4064,4064
1444833997,4045,4045
1444838117,4041,4041
1444844241,4043,4043
1444881318,3973,3973
1444901847,3967,3967
1444905991,3965,3965
1444910141,4215,4215
1444916244,4182,4182
1444920397,4183,4183
1444924887,4336,4336
1444929023,4557,4557
1444933198,4554,4554
1444937306,4655,4655
1444941474,4991,4991
1444946143,5173,5173
1444952246,5170,5170
1444956385,5100,5100
1444960508,4926,4926
1444966601,0,0
1444976919,4829,4829
1444981060,4828,4828
1444985176,4827,4827
1444989304,5152,5152
1444995432,5130,5130
1444999574,5117,5117
1445003707,5075,5075
1445009825,4865,4865
1445013976,4869,4869
1445018123,4860,4860
1445024232,4812,4812
1445028365,4622,4622
1445032504,4631,4631
1445038624,4625,4625
1445042768,4626,4626
1445048918,4621,4621
1445053564,0,0
1445055506,4562,4562
1445059706,4537,4537
1445063831,4541,4541
1445067980,4511,4511
1445072100,4505,4505
1445078227,4501,4501
1445082390,4453,4453
1445086510,4384,4384
1445092627,4408,4408
1445096778,4437,4437
1445100901,4474,4474
1445107046,4473,4473
1445111184,4417,4417
1445115298,4383,4383
1445121426,4362,4362
1445125614,4340,4340
1445129704,4293,4293
1445135860,4176,4176
1445140002,4038,4038
1445144121,3911,3911
1445150249,3943,3943
1445154395,3873,3873
1445158521,3773,3773
1445168799,3779,3779
1445172918,3684,3684
1445179074,3668,3668
1445183195,3683,3683
1445187299,3774,3774
1445193443,3741,3741
1445197599,3702,3702
1445201702,3720,3720
1445207876,3758,3758
1445212002,3784,3784
1445216141,3783,3783
1445222351,3737,3737
1445226477,3668,3668
1445244656,3372,3372
1445248903,3375,3375
1445253015,3319,3319
1445257221,3162,3162
1445261953,3162,3162
1445266128,3127,3127
1445272120,3061,3061
1445276279,3033,3033
1445280466,2945,2945
1445284544,2945,2945
1445290653,2956,2956
1445295317,2986,2986
1445301429,3068,3068
1445306126,3047,3047
1445312302,3013,3013
1445316411,2984,2984
1445320502,2987,2987
1445326630,3030,3030
1445330770,3025,3025
1445334903,2997,2997
1445341026,3054,3054
1445345175,3040,3040
1445349304,2996,2996
1445355436,2964,2964
1445359572,2963,2963
1445363706,2961,2961
1445369782,532,532
1445371759,2905,2905
1445373979,2890,2890
1445378104,2896,2896
1445384228,2848,2848
1445388395,2827,2827
1445392586,2832,2832
1445398651,2830,2830
1445403309,2837,2837
1445409473,2869,2869
1445413584,2868,2868
1445417715,2903,2903
1445423840,2960,2960
1445427985,2948,2948
1445432114,2947,2947
1445438257,2906,2906
1445442374,2909,2909
1445446499,2908,2908
1445452639,2888,2888
1445456813,2888,2888
1445460908,2839,2839
1445467026,2856,2856
1445471179,2814,2814
1445475302,2824,2824
1445481461,2869,2869
1445485597,2902,2902
1445489705,2869,2869
1445495833,2872,2872
1445499985,2866,2866
1445504100,2885,2885
1445510244,2903,2903
1445537879,2917,2917
1445546817,2987,2987
1445550912,2997,2997
1445557054,2970,2970
1445565312,3011,3011
1445571517,3011,3011
1445575572,3080,3080
1445585826,3075,3075
1445589976,3089,3089
1445594500,3092,3092
1445598604,3095,3095
1445602778,3105,3105
1445606895,3122,3122
