DateTime,Entries,UniqueIPs
1446485797,26635,26635
1446486888,26593,26593
1446487797,26662,26662
1446488851,26597,26597
1446490050,26423,26423
1446491566,26465,26465
1446492480,26396,26396
1446493706,26307,26307
1446494969,26398,26398
1446496061,26338,26338
1446497176,26254,26254
1446498589,26245,26245
1446499650,26241,26241
1446500731,26214,26214
1446501636,25904,25904
1446502711,25843,25843
1446504572,25860,25860
1446505778,25871,25871
1446506992,25753,25753
1446507959,25816,25816
1446509368,25784,25784
1446510522,25445,25445
1446511620,25503,25503
1446513636,25565,25565
1446514745,25631,25631
1446515781,25594,25594
1446517121,25572,25572
1446518202,25159,25159
1446519263,25241,25241
1446520172,25489,25489
1446521254,25544,25544
1446522335,25605,25605
1446523797,25711,25711
1446524863,25708,25708
1446526040,25659,25659
1446527376,25735,25735
1446528449,25674,25674
1446529686,25766,25766
1446530975,25741,25741
1446532170,25748,25748
1446533151,25711,25711
1446534076,25767,25767
1446535141,25926,25926
1446536279,25945,25945
1446537284,27187,27187
1446538200,27375,27375
1446539277,27439,27439
1446540451,27438,27438
1446541784,27415,27415
1446542851,27425,27425
1446543931,27424,27424
1446544829,27420,27420
1446545410,27274,27274
1446545917,27294,27294
1446546470,27328,27328
1446546992,27339,27339
1446547562,27324,27324
1446548061,27293,27293
1446548467,27381,27381
1446549002,27387,27387
1446549528,27312,27312
1446550052,27330,27330
1446550684,27334,27334
1446551127,27353,27353
1446551678,27428,27428
1446552625,27363,27363
1446553673,27423,27423
1446554841,27319,27319
1446556220,27467,27467
1446557275,27576,27576
1446558353,27597,27597
1446559810,27488,27488
1446560884,27549,27549
1446561983,27572,27572
1446563394,27606,27606
1446564454,27639,27639
1446565537,27656,27656
1446566444,27703,27703
1446567509,27769,27769
1446568610,27817,27817
1446569655,27855,27855
1446570582,27901,27901
1446571668,28003,28003
1446573409,28062,28062
1446574806,28220,28220
1446575862,28248,28248
1446576864,28225,28225
1446577835,28368,28368
1446578889,28332,28332
1446579970,28420,28420
1446581401,28402,28402
1446582562,28484,28484
1446584953,28676,28676
1446586069,28666,28666
1446587187,28698,28698
1446588664,28769,28769
1446589680,28765,28765
1446591218,28832,28832
1446592212,28871,28871
1446593196,29005,29005
1446595930,29011,29011
1446596901,29144,29144
1446598032,29041,29041
1446599412,29144,29144
1446600465,29189,29189
1446601845,29244,29244
1446602994,29263,29263
1446604159,29344,29344
1446605183,29393,29393
1446606581,29351,29351
1446607664,29408,29408
1446608733,29497,29497
1446610221,29483,29483
1446611271,29493,29493
1446612453,29473,29473
1446613776,29588,29588
1446614848,29575,29575
1446615934,29585,29585
