DateTime,Entries,UniqueIPs
1446327376,12047,12047
1446328478,12120,12120
1446329392,12180,12180
1446330466,12108,12108
1446331564,12087,12087
1446332472,12132,12132
1446333539,12107,12107
1446335262,12249,12249
1446336182,12273,12273
1446337309,12315,12315
1446338405,12360,12360
1446339339,12425,12425
1446340319,12432,12432
1446341373,12532,12532
1446342519,12616,12616
1446344447,12436,12436
1446345433,12534,12534
1446346603,12501,12501
1446347930,12487,12487
1446349007,12523,12523
1446350086,12148,12148
1446351548,12137,12137
1446352717,11974,11974
1446353712,11713,11713
1446354650,12051,12051
1446355683,12094,12094
1446356853,12102,12102
1446358186,12056,12056
1446359259,12035,12035
1446360346,11902,11902
1446361289,12032,12032
1446362330,12108,12108
1446363412,12184,12184
1446364478,12383,12383
1446365387,12267,12267
1446366463,12337,12337
1446367572,12292,12292
1446369036,12487,12487
1446370062,12452,12452
1446371285,12440,12440
1446372694,12604,12604
1446373704,12653,12653
1446374811,12649,12649
1446376227,12765,12765
1446378021,12826,12826
1446379449,12806,12806
1446380889,12832,12832
1446382025,12946,12946
1446383438,13036,13036
1446384464,13042,13042
1446385555,13056,13056
1446387017,13128,13128
1446388168,13102,13102
1446389239,13003,13003
1446390134,13000,13000
1446390594,12774,12774
1446391148,12772,12772
1446391672,12766,12766
1446392244,12768,12768
1446392823,12690,12690
1446393289,12671,12671
1446394230,12762,12762
1446395291,12827,12827
1446396414,12745,12745
1446397785,12721,12721
1446398876,12668,12668
1446399980,12640,12640
1446401410,12793,12793
1446402548,12630,12630
1446403625,12566,12566
1446405037,12989,12989
1446406070,12861,12861
1446407301,12859,12859
1446408598,12957,12957
1446409666,12922,12922
1446410622,12935,12935
1446411658,12955,12955
1446412725,13075,13075
1446413844,13035,13035
1446414935,13054,13054
1446415830,13043,13043
1446416089,12385,12385
1446417543,12449,12449
1446418461,12449,12449
1446419498,12511,12511
1446420547,12512,12512
1446421652,12494,12494
1446422983,12453,12453
1446424080,12053,12053
1446426430,12198,12198
1446427566,12267,12267
1446428485,12222,12222
1446429516,12160,12160
1446430478,12155,12155
1446431384,12157,12157
1446437995,12219,12219
1446439515,12219,12219
1446439634,12225,12225
1446440454,12220,12220
1446441076,12189,12189
1446441843,12197,12197
1446441990,12407,12407
1446442833,12396,12396
1446443623,12295,12295
1446443753,12294,12294
1446444575,12571,12571
1446444805,12592,12592
1446445494,12550,12550
1446446140,12547,12547
1446446413,12493,12493
1446447255,12487,12487
1446447675,12483,12483
1446448216,12482,12482
1446448740,12615,12615
1446449264,12629,12629
1446449874,12857,12857
1446450411,12843,12843
1446450876,12875,12875
1446451827,12715,12715
1446453027,12857,12857
1446454572,12917,12917
1446455957,12842,12842
1446457007,12707,12707
1446458087,12740,12740
1446459533,12346,12346
1446460826,12413,12413
1446462082,12409,12409
1446463120,12386,12386
1446464205,12420,12420
1446465355,12542,12542
1446466732,12592,12592
1446467823,12635,12635
1446471049,12738,12738
1446471955,12695,12695
