DateTime,Entries,UniqueIPs
1446326497,1609,1609
1446327373,1610,1610
1446328474,1644,1644
1446329385,1662,1662
1446330460,1691,1691
1446331556,1715,1715
1446332464,1745,1745
1446333531,1762,1762
1446335251,1789,1789
1446336172,1812,1812
1446337285,1833,1833
1446338395,1863,1863
1446339334,1881,1881
1446340312,1895,1895
1446341369,1920,1920
1446342510,1937,1937
1446344441,1983,1983
1446345428,2006,2006
1446346594,2038,2038
1446347927,2059,2059
1446349001,2077,2077
1446350081,2106,2106
1446351542,2128,2128
1446352709,2137,2137
1446353703,2147,2147
1446354643,2182,2182
1446355677,2190,2190
1446356846,2209,2209
1446358180,2239,2239
1446359256,2246,2246
1446360340,2263,2263
1446361282,2294,2294
1446362324,2308,2308
1446363406,2319,2319
1446364472,2345,2345
1446365380,2358,2358
1446366457,2366,2366
1446367569,2392,2392
1446369030,2429,2429
1446370056,2436,2436
1446371276,2459,2459
1446372683,2508,2508
1446373695,2533,2533
1446374803,2543,2543
1446376219,2598,2598
1446378012,2625,2625
1446379446,2671,2671
1446380881,2695,2695
1446382018,2725,2725
1446383431,2768,2768
1446384458,2774,2774
1446385549,2793,2793
1446387014,2823,2823
1446388161,2843,2843
1446389231,2860,2860
1446390134,2879,2879
1446391148,2907,2907
1446392244,2924,2924
1446393289,2936,2936
1446394223,2975,2975
1446395285,2991,2991
1446396408,3016,3016
1446397777,3041,3041
1446398870,3058,3058
1446399972,3085,3085
1446401407,3122,3122
1446402542,3138,3138
1446403616,3166,3166
1446405031,3205,3205
1446406063,3215,3215
1446407294,3240,3240
1446408592,3281,3281
1446409659,3301,3301
1446410616,3321,3321
1446411650,3344,3344
1446412722,3366,3366
1446413835,3323,3323
1446414921,3356,3356
1446415830,3344,3344
1446417535,3358,3358
1446418452,3364,3364
1446419491,3350,3350
1446420541,3314,3314
1446421646,3325,3325
1446422978,3315,3315
1446424074,3301,3301
1446426421,3316,3316
1446427559,3310,3310
1446428479,3301,3301
1446429513,3284,3284
1446430464,3294,3294
1446431378,3286,3286
1446437986,3255,3255
1446439515,3246,3246
1446440454,3243,3243
1446441843,3271,3271
1446442833,3261,3261
1446443753,3228,3228
1446444805,3244,3244
1446446140,3239,3239
1446447255,3244,3244
1446448216,3238,3238
1446449264,3243,3243
1446450411,3231,3231
1446451824,3244,3244
1446453021,3251,3251
1446454565,3250,3250
1446455950,3254,3254
1446457000,3243,3243
1446458080,3243,3243
1446459527,3263,3263
1446460820,3267,3267
1446462076,3261,3261
1446463117,3265,3265
1446464199,3278,3278
1446465348,3259,3259
1446466726,3263,3263
1446467817,3273,3273
1446471043,3254,3254
1446471949,3269,3269
1446472878,3237,3237
1446473906,3232,3232
1446474995,3240,3240
1446476241,3253,3253
1446477505,3245,3245
1446478584,3248,3248
1446479651,3238,3238
1446480565,3249,3249
1446481646,3251,3251
1446482757,3234,3234
1446483771,3219,3219
1446484716,3223,3223
1446485791,3221,3221
1446486881,3207,3207
1446487790,3213,3213
1446488844,3200,3200
1446490043,3169,3169
1446491560,3172,3172
1446492473,3169,3169
1446493700,3140,3140
1446494966,3153,3153
1446496054,3138,3138
1446497170,3112,3112
1446498583,3105,3105
1446499644,3103,3103
1446500725,3084,3084
1446501630,3064,3064
1446502705,3029,3029
1446504568,3018,3018
1446505771,3020,3020
1446506986,3006,3006
1446507951,3013,3013
1446509362,2992,2992
1446510516,2937,2937
1446511617,2948,2948
1446513630,2956,2956
1446514739,2968,2968
1446515775,2954,2954
1446517114,2931,2931
1446518196,2811,2811
1446519260,2830,2830
1446520166,2891,2891
1446521248,2898,2898
1446522329,2905,2905
1446523791,2924,2924
1446524859,2922,2922
1446526034,2924,2924
1446527370,2907,2907
1446528443,2905,2905
1446529680,2907,2907
1446530969,2899,2899
1446532164,2893,2893
1446533148,2879,2879
1446534070,2861,2861
1446535134,2905,2905
1446536273,2886,2886
1446537278,3477,3477
1446538193,3553,3553
1446539270,3557,3557
1446540444,3549,3549
1446541777,3533,3533
1446542844,3539,3539
1446543927,3542,3542
1446544829,3532,3532
1446545917,3552,3552
1446546992,3549,3549
1446548061,3508,3508
1446549002,3510,3510
1446550052,3511,3511
1446551127,3526,3526
1446552618,3526,3526
1446553667,3530,3530
1446554833,3504,3504
1446556213,3539,3539
1446557268,3552,3552
1446558346,3551,3551
1446559803,3545,3545
1446560878,3541,3541
1446561977,3536,3536
1446563388,3534,3534
1446564447,3525,3525
1446565531,3524,3524
1446566437,3520,3520
1446567503,3543,3543
1446568603,3542,3542
1446569647,3540,3540
1446570575,3532,3532
1446571661,3551,3551
1446573406,3517,3517
1446574795,3583,3583
1446575849,3568,3568
1446576857,3538,3538
1446577828,3567,3567
1446578883,3579,3579
1446579966,3590,3590
1446581394,3547,3547
1446582546,3562,3562
1446584944,3591,3591
1446586062,3590,3590
1446587176,3588,3588
1446588654,3593,3593
1446589674,3598,3598
1446591209,3607,3607
1446592207,3610,3610
1446593189,3646,3646
1446595924,3640,3640
1446596894,3673,3673
1446598026,3637,3637
1446599405,3662,3662
1446600459,3668,3668
1446601838,3682,3682
1446602990,3692,3692
1446604152,3709,3709
1446605176,3717,3717
1446606575,3704,3704
1446607657,3711,3711
1446608727,3727,3727
1446610215,3714,3714
1446611265,3725,3725
1446612450,3714,3714
1446613770,3735,3735
1446614842,3725,3725
1446615930,3746,3746
1446616981,3703,3703
1446617918,3718,3718
1446618999,3728,3728
1446620053,3727,3727
1446621011,3704,3704
1446622068,3720,3720
1446623147,3720,3720
1446624049,3707,3707
1446625094,3714,3714
1446626201,3714,3714
