DateTime,Entries,UniqueIPs
1447075756,859,859
1447076750,865,865
1447077664,863,863
1447078743,852,852
1447081067,862,862
1447082311,866,866
1447083386,883,883
1447084472,885,885
1447085376,897,897
1447086454,900,900
1447087521,907,907
1447090140,929,929
1447091192,927,927
1447092140,929,929
1447093147,941,941
1447094249,945,945
1447095296,952,952
1447096276,960,960
1447097258,968,968
1447098366,972,972
1447099769,979,979
1447100836,994,994
1447101920,997,997
1447102829,1000,1000
1447103906,1011,1011
1447104995,1015,1015
1447106060,1016,1016
1447106973,1015,1015
1447108097,1024,1024
1447109122,1029,1029
1447110641,1029,1029
1447111668,1043,1043
1447112823,1049,1049
1447114198,1053,1053
1447115285,1065,1065
1447116326,1062,1062
1447117235,1063,1063
1447118326,1066,1066
1447119389,1067,1067
1447120457,1070,1070
1447121392,1073,1073
1447122438,1077,1077
1447123587,1081,1081
1447125550,1084,1084
1447126605,1091,1091
1447127758,1091,1091
1447129170,1100,1100
1447130225,1092,1092
1447131289,1093,1093
1447132704,1102,1102
1447133906,1101,1101
1447134877,1101,1101
1447135809,1105,1105
1447136853,1107,1107
1447138024,1108,1108
1447139378,1104,1104
1447140467,1109,1109
1447141547,1115,1115
1447142514,1133,1133
1447143517,1134,1134
1447144907,1131,1131
1447146069,1132,1132
1447147133,1132,1132
1447148284,1128,1128
1447149301,1133,1133
1447150227,1139,1139
1447151287,1139,1139
1447152942,1139,1139
1447154400,1122,1122
1447155406,1131,1131
1447156479,1125,1125
1447157385,1124,1124
1447158544,1125,1125
1447159542,1133,1133
1447160454,1135,1135
1447161544,1133,1133
1447162712,1137,1137
1447163679,1131,1131
1447164599,1134,1134
1447165652,1131,1131
1447166821,1133,1133
1447168186,1127,1127
1447169251,1123,1123
1447170340,1127,1127
1447171898,1136,1136
1447172865,1122,1122
1447173999,1110,1110
1447175387,1108,1108
1447176442,1094,1094
1447177524,1083,1083
1447178432,1079,1079
1447180754,1057,1057
1447181694,1066,1066
1447182623,1069,1069
1447183677,1057,1057
1447184857,1047,1047
1447186188,1039,1039
1447187316,1027,1027
1447188335,1033,1033
1447189254,1025,1025
1447190418,1011,1011
1447191451,1008,1008
1447192474,1018,1018
1447193393,1018,1018
1447194466,1019,1019
1447195545,1004,1004
1447196446,1008,1008
1447197542,1005,1005
1447198620,995,995
1447199655,998,998
1447200599,992,992
1447201638,983,983
1447202727,984,984
1447203638,984,984
1447204709,976,976
1447205818,976,976
1447206862,979,979
1447207785,988,988
1447208841,991,991
1447209923,998,998
1447210857,1000,1000
1447211925,1005,1005
1447213023,1006,1006
1447214129,1007,1007
1447215515,1010,1010
1447216601,1015,1015
1447217665,1013,1013
1447218580,1016,1016
1447219651,1021,1021
1447220728,1025,1025
1447222215,1016,1016
1447223260,1018,1018
1447224398,1017,1017
1447225789,1009,1009
1447226838,1004,1004
1447227941,1002,1002
1447229409,996,996
1447230461,1000,1000
1447231546,1001,1001
1447232457,1008,1008
1447233730,1006,1006
1447234766,1008,1008
1447235678,1006,1006
1447236612,1002,1002
1447237667,995,995
1447238746,993,993
1447239658,992,992
1447240789,986,986
1447241815,986,986
1447242880,982,982
1447243805,986,986
1447244925,987,987
1447245954,982,982
1447246875,974,974
1447249154,971,971
1447250200,976,976
1447251501,955,955
1447252589,956,956
1447254658,960,960
1447255697,957,957
1447256758,952,952
1447257721,963,963
1447258712,968,968
1447259797,969,969
1447260860,970,970
1447261776,964,964
1447262845,967,967
1447263936,958,958
1447265422,961,961
1447266464,964,964
1447267648,947,947
1447268974,952,952
