DateTime,Entries,UniqueIPs
1447312183,53680,53680
1447313243,53706,53706
1447314340,53729,53729
1447315800,53758,53758
1447316872,53780,53780
1447317951,53801,53801
1447318876,53821,53821
1447319956,53846,53846
1447321077,53868,53868
1447322071,53886,53886
1447323017,53912,53912
1447324081,53931,53931
1447325217,53952,53952
1447326585,53957,53957
1447330195,53970,53970
1447331274,54002,54002
1447332359,54050,54050
1447333271,54059,54059
1447334344,54105,54105
1447335539,54155,54155
1447336473,54174,54174
1447337416,54198,54198
1447338466,54214,54214
1447339638,54237,54237
1447340998,54253,54253
1447342082,54273,54273
1447343149,54297,54297
1447344620,54319,54319
1447345669,54336,54336
1447346757,54353,54353
1447347671,54366,54366
1447348750,54380,54380
1447349894,54407,54407
1447350879,54427,54427
1447351813,54438,54438
1447352867,54460,54460
1447354040,54489,54489
1447355376,54728,54728
1447356439,54763,54763
1447357540,54803,54803
1447359002,54903,54903
1447360238,54936,54936
1447361173,54957,54957
1447363052,55008,55008
1447364231,55041,55041
1447365268,55072,55072
1447366180,55089,55089
1447367307,55116,55116
1447368347,55136,55136
1447369258,55166,55166
1447370342,55193,55193
1447371483,55217,55217
1447372489,55237,55237
1447373918,55261,55261
1447375003,55297,55297
1447376060,55314,55314
1447376990,55329,55329
1447378046,55364,55364
1447379138,55400,55400
1447380601,55423,55423
1447381667,55449,55449
1447382798,55481,55481
1447384171,55509,55509
1447385253,55539,55539
1447386336,55566,55566
1447387263,55579,55579
1447388318,55599,55599
1447389408,55624,55624
1447390468,55658,55658
1447391385,55676,55676
1447392447,55706,55706
1447393563,55732,55732
1447394999,55771,55771
1447396068,55799,55799
1447397187,55818,55818
1447398579,55843,55843
1447399665,55860,55860
1447400757,55888,55888
1447401729,55914,55914
1447402711,55950,55950
1447403808,55980,55980
1447404863,56006,56006
1447405801,56025,56025
1447406868,56050,56050
1447408015,56079,56079
1447409415,56104,56104
1447410537,56130,56130
1447411561,56144,56144
1447412996,56179,56179
1447414077,56207,56207
1447415131,56232,56232
1447416039,56253,56253
1447417137,56273,56273
1447418209,56304,56304
1447419288,56330,56330
1447420201,56350,56350
1447421251,56378,56378
1447422347,56397,56397
1447423811,56427,56427
1447425494,56466,56466
1447426507,56489,56489
1447427917,56511,56511
1447428999,56525,56525
1447430073,56532,56532
1447431541,56555,56555
1447432615,56589,56589
1447433757,56613,56613
1447435121,56630,56630
1447436316,56653,56653
1447437297,56681,56681
1447438241,56697,56697
1447439257,56720,56720
1447440356,56739,56739
1447441843,57108,57108
1447442874,57136,57136
1447444027,57200,57200
1447445401,57258,57258
1447446456,57279,57279
1447447572,57308,57308
1447448967,57337,57337
1447450099,57361,57361
1447451735,57394,57394
1447453116,57437,57437
1447454286,57467,57467
1447455285,57500,57500
1447456226,57518,57518
1447457377,57543,57543
1447458433,57569,57569
1447459816,57597,57597
1447460859,57618,57618
1447462590,57650,57650
1447463931,57685,57685
1447465074,57702,57702
1447466071,57724,57724
1447466984,57752,57752
1447468056,57776,57776
1447469142,57793,57793
1447470631,57823,57823
1447471848,57843,57843
1447472913,57868,57868
1447474196,57893,57893
1447475358,57920,57920
1447476414,57946,57946
1447477996,57997,57997
1447479034,58013,58013
1447480123,58044,58044
1447481430,58086,58086
1447482460,58113,58113
