DateTime,Entries,UniqueIPs
1446326499,1609,1609
1446326798,10456,10456
1446327376,10437,10437
1446328478,10529,10529
1446329392,10594,10594
1446330466,10524,10524
1446331564,10513,10513
1446332472,10540,10540
1446333539,10539,10539
1446335262,10702,10702
1446336182,10725,10725
1446337309,10767,10767
1446338405,10805,10805
1446339339,10871,10871
1446340319,10882,10882
1446341373,10989,10989
1446342519,11078,11078
1446344447,10888,10888
1446345433,10982,10982
1446346603,10960,10960
1446347930,10938,10938
1446349007,10975,10975
1446350086,10602,10602
1446351548,10591,10591
1446352717,10432,10432
1446353712,10182,10182
1446354650,10496,10496
1446355683,10544,10544
1446356853,10544,10544
1446358186,10516,10516
1446359259,10510,10510
1446360346,10383,10383
1446361289,10492,10492
1446362330,10582,10582
1446363412,10662,10662
1446364478,10861,10861
1446365387,10736,10736
1446366463,10827,10827
1446367572,10774,10774
1446369036,10959,10959
1446370062,10943,10943
1446371285,10927,10927
1446372694,11066,11066
1446373704,11103,11103
1446374811,11102,11102
1446376227,11192,11192
1446378021,11256,11256
1446379449,11231,11231
1446380889,11249,11249
1446382025,11344,11344
1446383438,11431,11431
1446384464,11447,11447
1446385555,11458,11458
1446387017,11540,11540
1446388168,11508,11508
1446389239,11404,11404
1446390594,11178,11178
1446391672,11172,11172
1446392823,11094,11094
1446394230,11153,11153
1446395291,11215,11215
1446396414,11135,11135
1446397785,11109,11109
1446398876,11053,11053
1446399980,11007,11007
1446401410,11159,11159
1446402548,11002,11002
1446403625,10920,10920
1446405037,11344,11344
1446406070,11241,11241
1446407301,11226,11226
1446408598,11325,11325
1446409666,11295,11295
1446410622,11301,11301
1446411658,11324,11324
1446412725,11447,11447
1446413844,11408,11408
1446414935,11401,11401
1446416089,10743,10743
1446417543,10800,10800
1446418461,10811,10811
1446419498,10860,10860
1446420547,10863,10863
1446421652,10842,10842
1446422983,10796,10796
1446424080,10396,10396
1446426430,10545,10545
1446427566,10602,10602
1446428485,10560,10560
1446429516,10503,10503
1446430478,10504,10504
1446431384,10513,10513
1446437995,10588,10588
1446439634,10594,10594
1446441076,10563,10563
1446441990,10773,10773
1446443623,10672,10672
1446444575,10949,10949
1446445494,10907,10907
1446446413,10853,10853
1446447675,10849,10849
1446448740,10982,10982
1446449874,11210,11210
1446450876,11242,11242
1446451827,11090,11090
1446453027,11229,11229
1446454572,11293,11293
1446455957,11222,11222
1446457007,11096,11096
1446458087,11126,11126
1446459533,10726,10726
1446460826,10799,10799
1446462082,10820,10820
1446463120,10777,10777
1446464205,10823,10823
1446465355,10936,10936
1446466732,11000,11000
1446467823,11046,11046
1446471049,11142,11142
1446471955,11106,11106
1446472881,11048,11048
1446473912,10690,10690
1446475001,10609,10609
1446476244,10548,10548
1446477508,10317,10317
1446478587,9709,9709
1446479657,9757,9757
1446480571,9708,9708
1446481652,9661,9661
1446482763,9700,9700
1446483777,9635,9635
1446484722,9758,9758
1446485797,9866,9866
1446486888,9247,9247
1446487797,9313,9313
1446488851,9198,9198
1446490050,9143,9143
1446491566,9624,9624
1446492480,9569,9569
1446493706,9439,9439
1446494969,9402,9402
1446496061,9407,9407
1446497176,9300,9300
1446498589,9448,9448
1446499650,9453,9453
1446500731,9425,9425
1446501636,9487,9487
1446502711,9231,9231
1446504572,9312,9312
1446505778,9478,9478
1446506992,9463,9463
1446507959,9493,9493
1446509368,9329,9329
1446510522,9519,9519
1446511620,9548,9548
1446513636,9671,9671
1446514745,9936,9936
1446515781,9921,9921
1446517121,9985,9985
1446518202,10012,10012
1446519263,10037,10037
1446520172,10890,10890
1446521254,10708,10708
1446522335,10747,10747
1446523797,10738,10738
1446524863,10413,10413
1446526040,10407,10407
1446527376,10412,10412
1446528449,10460,10460
1446529686,10409,10409
1446530975,9515,9515
1446532170,9498,9498
1446533151,9437,9437
1446534076,9398,9398
1446535141,9735,9735
1446536279,9785,9785
1446537284,13485,13485
1446538200,13637,13637
1446539277,13685,13685
1446540451,13648,13648
1446541784,13661,13661
1446542851,13713,13713
1446543931,13704,13704
1446545410,13732,13732
1446546470,13725,13725
1446547562,13641,13641
1446548467,11476,11476
1446549528,10960,10960
1446550684,11150,11150
1446551678,11153,11153
1446552625,11162,11162
1446553673,11236,11236
1446554841,11344,11344
1446556220,11365,11365
1446557275,11369,11369
1446558353,11366,11366
1446559810,11368,11368
1446560884,11535,11535
1446561983,11441,11441
1446563394,11445,11445
1446564454,11501,11501
1446565537,11535,11535
1446566444,11686,11686
1446567509,11690,11690
1446568610,11761,11761
1446569655,11632,11632
1446570582,11653,11653
1446571668,11777,11777
1446573409,11890,11890
1446574806,11924,11924
1446575862,12012,12012
1446576864,12032,12032
1446577835,12391,12391
1446578889,12378,12378
