DateTime,AddedIPs,RemovedIPs
1440711906,4,0
1440799751,3,0
1440843487,1,0
1440887226,1,0
1440930966,2,0
1440974978,2,0
1441062548,2,0
1441412825,3,0
1441456571,1,0
1441500353,1,0
1441631887,2,0
1441680305,2,0
1441724047,1,0
1441774449,1,0
1441818549,3,0
1441862286,1,0
1441906044,3,0
1441949767,1,0
1441993507,1,0
1442038201,3,0
1442081887,2,0
1442125625,2,0
1442213106,1,0
1442300952,2,0
1442388429,4,0
1442432168,3,0
1442563747,2,0
1442608127,1,0
1442695523,3,0
1442739250,2,0
1442783357,2,0
1442870837,2,0
1442914574,1,0
1442958315,1,0
1443002047,14,0
1443046159,1,0
1443133625,1,0
1443221115,1,0
1443264853,1,0
1443308948,4,0
1443352699,2,0
1443396425,1,0
1443440174,2,0
1443483907,1,0
1443527645,1,0
1443659225,2,0
1443702976,1,0
1443878295,3,0
1443922025,2,0
1444009541,2,0
1444053245,1,0
1444097352,1,0
1444272846,1,0
1444404449,2,0
1444579747,2,0
1444623493,1,0
1444667224,1,0
1444710967,5,0
1444754706,1,0
1444973773,1,0
1445017519,2,0
1445244428,1,0
1445375887,2,0
1445463375,1,0
1445507111,2,0
1445550845,1,0
1445638692,1,0
1445682425,1,0
1445857750,2,0
1445945226,2,0
1445988966,1,0
1446032710,2,0
1446076444,1,0
1446299108,1,0
1446343216,1,0
1446386947,1,0
1446430613,2,0
1446518168,3,0
1446561929,1,0
1446605645,1,0
1446649749,1,0
1446693501,1,0
1447002549,1,0
1447070951,2,0
1447114687,2,0
1447202165,1,0
1447377495,1,0
1447421231,1,0
1447596549,1,0
1447684026,1,0
1447727768,2,0
1447771508,2,0
1447815245,1,0
