DateTime,Entries,UniqueIPs
1440668042,4588,4613
1440668042,4613,4613
1440668042,4613,4613
1440711906,4617,4617
1440799751,4620,4620
1440843487,4621,4621
1440887226,4622,4622
1440930966,4624,4624
1440974978,4626,4626
1441062548,4628,4628
1441412825,4631,4631
1441456571,4632,4632
1441500353,4633,4633
1441631887,4635,4635
1441680305,4637,4637
1441724047,4638,4638
1441774449,4639,4639
1441818549,4642,4642
1441862286,4643,4643
1441906044,4646,4646
1441949767,4647,4647
1441993507,4648,4648
1442038201,4651,4651
1442081887,4653,4653
1442125625,4655,4655
1442213106,4656,4656
1442300952,4658,4658
1442388429,4662,4662
1442432168,4665,4665
1442563747,4667,4667
1442608127,4668,4668
1442695523,4671,4671
1442739250,4673,4673
1442783357,4675,4675
1442870837,4677,4677
1442914574,4678,4678
1442958315,4679,4679
1443002047,4693,4693
1443046159,4694,4694
1443133625,4695,4695
1443221115,4696,4696
1443264853,4697,4697
1443308948,4701,4701
1443352699,4703,4703
1443396425,4704,4704
1443440174,4706,4706
1443483907,4707,4707
1443527645,4708,4708
1443659225,4710,4710
1443702976,4711,4711
1443878295,4714,4714
1443922025,4716,4716
1444009541,4718,4718
1444053245,4719,4719
1444097352,4720,4720
1444272846,4721,4721
1444404449,4723,4723
1444579747,4725,4725
1444623493,4726,4726
1444667224,4727,4727
1444710967,4732,4732
1444754706,4733,4733
1444973773,4734,4734
1445017519,4736,4736
1445244428,4737,4737
1445375887,4739,4739
1445463375,4740,4740
1445507111,4742,4742
1445550845,4743,4743
1445638692,4744,4744
1445682425,4745,4745
1445857750,4747,4747
1445945226,4749,4749
1445988966,4750,4750
1446032710,4752,4752
1446076444,4753,4753
1446299108,4754,4754
1446343216,4755,4755
1446386947,4756,4756
1446430613,4758,4758
1446518168,4761,4761
1446561929,4762,4762
1446605645,4763,4763
1446649749,4764,4764
1446693501,4765,4765
1447002549,4766,4766
1447070951,4768,4768
1447114687,4770,4770
1447202165,4771,4771
1447377495,4772,4772
1447421231,4773,4773
1447596549,4774,4774
1447684026,4775,4775
1447727768,4777,4777
1447771508,4779,4779
1447815245,4780,4780
