DateTime,Entries,UniqueIPs
1440292065,0,0
1440292065,4793,4793
1440335886,4799,4799
1440379755,4806,4806
1440423387,4813,4813
1440467128,4818,4818
1440554961,4821,4821
1440598706,4825,4825
1440642489,4826,4826
1440642489,4826,4826
1440686193,4834,4834
1440729994,4838,4838
1440773666,4845,4845
1440818356,4848,4848
1440905786,4856,4856
1440949524,4861,4861
1440994221,4865,4865
1441037898,4872,4872
1441081658,4876,4876
1441125394,4879,4879
1441169128,4887,4887
1441212858,4892,4892
1441257005,4894,4894
1441300706,4900,4900
1441344439,4904,4904
1441388196,4909,4909
1441431986,4915,4915
1441475657,4917,4917
1441519290,4925,4925
1441562993,4928,4928
1441606729,4934,4934
1441651119,4941,4941
1441695268,4945,4945
1441739375,4946,4946
1441783105,4950,4950
1441826907,4958,4958
1441870591,4964,4964
1441914337,4974,4974
1441958073,4980,4980
1442003274,4984,4984
1442047046,4988,4988
1442090731,4992,4992
1442134459,4998,4998
1442178570,5004,5004
1442222372,5005,5005
1442266091,5010,5010
1442309795,5013,5013
1442353648,5018,5018
1442397629,5026,5026
1442441372,5036,5036
1442485139,5044,5044
1442528878,5051,5051
1442572602,5056,5056
1442616471,5059,5059
1442660465,5063,5063
1442704182,5068,5068
1442747917,5073,5073
1442791657,5080,5080
1442835460,5085,5085
1442879153,5091,5091
1442922860,5093,5093
1442966987,5099,5099
1443010730,5103,5103
1443054456,5108,5108
1443098261,5114,5114
1443141941,5124,5124
1443185684,5132,5132
1443229800,5137,5137
1443273542,5139,5139
1443317263,5142,5142
1443361024,5144,5144
1443404768,5147,5147
1443448534,5155,5155
1443492617,5161,5161
1443536331,5165,5165
1443580069,5170,5170
1443623805,5178,5178
1443667546,5182,5182
1443711336,5195,5195
1443755429,5199,5199
1443799113,5204,5204
1443842884,5216,5216
1443886614,5221,5221
1443930346,5225,5225
1443974090,5228,5228
1444018182,5230,5230
1444061920,5233,5233
1444105648,5236,5236
1444149503,5240,5240
1444193221,5245,5245
1444236882,5249,5249
1444280973,5253,5253
1444324717,5256,5256
1444368465,5260,5260
1444412232,5268,5268
1444455956,5270,5270
1444499744,5271,5271
1444543784,5273,5273
1444587575,5278,5278
1444631249,5282,5282
1444675067,5287,5287
1444718751,5290,5290
1444762481,5293,5293
1444806645,5297,5297
1444850345,5299,5299
1444894057,5301,5301
1444937794,5305,5305
1444981542,5311,5311
1445025261,5316,5316
1445069390,5317,5317
1445113123,5321,5321
1445156872,5326,5326
1445200650,5330,5330
1445244731,5335,5335
1445288493,5340,5340
1445332166,5348,5348
1445375921,5351,5351
1445419667,5353,5353
1445463399,5358,5358
1445507136,5361,5361
1445550935,5362,5362
1445594964,5366,5366
1445638810,5367,5367
1445726239,5373,5373
1445813660,5379,5379
1445857767,5383,5383
1445901544,5388,5388
1445945246,5392,5392
1445988989,5396,5396
1446032734,5398,5398
1446076474,5402,5402
1446120578,5406,5406
1446168133,5413,5413
1446212185,5417,5417
1446255957,5420,5420
1446299634,5450,5450
1446343288,5456,5456
1446386990,5465,5465
1446430628,5468,5468
1446474457,5471,5471
1446518194,5474,5474
1446561955,5477,5477
1446605658,5483,5483
1446649792,5485,5485
1446737241,5489,5489
1446781003,5492,5492
1446824734,5496,5496
1446869166,5499,5499
1446912906,5500,5500
1446956757,5503,5503
1447000619,5504,5504
1447046022,5505,5505
1447090116,5511,5511
1447133886,5515,5515
1447177522,5528,5528
1447221264,5538,5538
1447265399,5548,5548
1447309110,5551,5551
1447396595,5552,5552
1447440346,5553,5553
1447484091,5560,5560
1447527787,5563,5563
1447571916,5567,5567
1447615678,5575,5575
1447659387,5578,5578
1447703170,5582,5582
1447746860,5590,5590
1447857137,5595,5595
