DateTime,Entries,UniqueIPs
1445979616,6510,6510
1445981764,6483,6483
1445987922,6454,6454
1445990043,6413,6413
1445992030,6411,6411
1445996172,6404,6404
1446000327,6400,6400
1446004451,6359,6359
1446008416,6360,6360
1446010564,6317,6317
1446014773,6394,6394
1446018842,6406,6406
1446022808,6421,6421
1446024971,6426,6426
1446029128,6442,6442
1446033251,6445,6445
1446035800,6447,6447
1446039905,6438,6438
1446044490,6426,6426
1446046567,6451,6451
1446051256,6466,6466
1446053794,6459,6459
1446057367,6485,6485
1446061506,6491,6491
1446065643,6504,6504
1446069608,6475,6475
1446071764,6449,6449
1446075906,6415,6415
1446080043,6423,6423
1446084009,6413,6413
1446086163,6392,6392
1446090306,6355,6355
1446094443,6338,6338
1446100564,6353,6353
1446104705,6382,6382
1446108843,6403,6403
1446114964,6408,6408
1446119105,6419,6419
1446123243,6431,6431
1446127208,6434,6434
1446129364,6429,6429
1446133506,6419,6419
1446137643,6422,6422
1446141609,6429,6429
1446143766,6435,6435
1446147906,6449,6449
1446154024,6451,6451
1446156009,6416,6416
1446158164,6401,6401
1446162306,6358,6358
1446167899,6363,6363
1446169886,6359,6359
1446174009,6339,6339
1446176185,6324,6324
1446180313,6317,6317
1446184451,6344,6344
1446188415,6345,6345
1446190564,6362,6362
1446194705,6380,6380
1446198843,6393,6393
1446202810,6387,6387
1446206943,6412,6412
1446209114,6433,6433
1446213250,6408,6408
1446217213,6420,6420
1446219364,6427,6427
1446223505,6438,6438
1446227643,6456,6456
1446231609,6471,6471
1446233772,6473,6473
1446237916,6464,6464
1446242057,6448,6448
1446246172,6476,6476
1446248345,6510,6510
1446252305,6526,6526
1446256371,6536,6536
1446260493,6511,6511
1446263141,6501,6501
1446267260,6476,6476
1446269764,6498,6498
1446275092,6511,6511
1446278953,6517,6517
1446281418,6544,6544
1446284715,6567,6567
1446289118,6578,6578
1446291364,6574,6574
1446295506,6589,6589
1446299362,6578,6578
1446303244,6604,6604
1446307208,6608,6608
1446309363,6593,6593
1446313521,6596,6596
1446317650,6605,6605
1446321613,6611,6611
1446323765,6591,6591
1446327906,6571,6571
1446332044,6556,6556
1446336011,6533,6533
1446338184,6564,6564
1446342313,6573,6573
1446346452,6584,6584
1446350416,6572,6572
1446352569,6565,6565
1446356706,6596,6596
1446360843,6614,6614
1446364809,6627,6627
1446366978,6659,6659
1446371114,6687,6687
1446375251,6709,6709
1446377764,6710,6710
1446381906,6719,6719
1446386043,6726,6726
1446390011,6720,6720
1446392163,6740,6740
1446396306,6740,6740
1446400443,6747,6747
1446404413,6751,6751
1446406563,6740,6740
1446410349,6729,6729
1446414306,6720,6720
1446420425,6699,6699
1446422411,6646,6646
1446426117,6658,6658
1446428106,6659,6659
1446437762,6629,6629
1446439605,6620,6620
1446443603,6610,6610
1446447625,6643,6643
1446449782,6661,6661
1446453863,6668,6668
1446458063,6567,6567
1446462025,6567,6567
1446464163,6571,6571
1446468434,6578,6578
1446472807,6591,6591
1446474963,6587,6587
1446479125,6581,6581
1446483243,6589,6589
1446489363,6592,6592
1446493506,6597,6597
1446497643,6571,6571
1446501608,6568,6568
1446504313,6550,6550
1446508451,6515,6515
1446513494,6511,6511
1446515663,6512,6512
1446519609,6480,6480
1446521770,6471,6471
1446525915,6469,6469
1446527885,6471,6471
1446530043,6481,6481
1446534015,6505,6505
1446536163,6503,6503
1446540306,6498,6498
1446544443,6501,6501
1446548410,6513,6513
1446550563,6526,6526
1446554705,6514,6514
1446558963,6532,6532
1446562810,6533,6533
1446564965,6555,6555
1446569106,6574,6574
1446573245,6581,6581
1446577209,6586,6586
1446579365,6585,6585
1446581342,6586,6586
1446584418,6568,6568
1446588550,6575,6575
1446591061,6562,6562
1446595765,6499,6499
1446597925,6527,6527
1446602063,6519,6519
1446606024,6502,6502
1446608185,6489,6489
1446612327,6476,6476
1446616443,6479,6479
1446620408,6507,6507
1446622563,6523,6523
1446626706,6538,6538
1446630843,6557,6557
1446634809,6556,6556
1446636963,6559,6559
1446641106,6557,6557
1446645243,6563,6563
1446649210,6570,6570
1446651364,6562,6562
1446655654,6568,6568
1446668179,6576,6576
1446670693,6582,6582
1446673960,6558,6558
1446676363,6533,6533
1446681243,6497,6497
1446685208,6476,6476
1446687363,6490,6490
1446691507,6470,6470
1446695643,6455,6455
1446699609,6459,6459
1446701763,6465,6465
1446705906,6482,6482
1446710045,6486,6486
1446714008,6517,6517
1446716163,6530,6530
1446720306,6537,6537
1446724443,6554,6554
1446728408,6551,6551
1446730565,6551,6551
1446734706,6555,6555
1446738843,6562,6562
1446742809,6579,6579
1446746945,6600,6600
1446749106,6586,6586
1446753243,6594,6594
1446757209,6590,6590
1446759366,6565,6565
1446763506,6535,6535
1446767643,6486,6486
1446771607,6484,6484
1446773773,6484,6484
1446777906,6457,6457
1446782043,6449,6449
1446786010,6445,6445
1446788163,6452,6452
1446792306,6476,6476
1446796443,6495,6495
1446800408,6513,6513
1446802565,6532,6532
1446806706,6529,6529
1446810843,6538,6538
1446814812,6543,6543
1446816966,6563,6563
1446824545,6584,6584
1446828382,6580,6580
1446832079,6588,6588
1446836410,6601,6601
1446838564,6598,6598
1446842707,6584,6584
1446846843,6581,6581
1446850813,6570,6570
1446856025,6527,6527
1446858009,6523,6523
1446860167,6530,6530
1446864307,6512,6512
1446868815,6504,6504
1446871513,6491,6491
1446875643,6487,6487
1446879609,6519,6519
1446883744,6523,6523
1446887885,6543,6543
1446890043,6568,6568
1446896163,6576,6576
1446900016,6587,6587
1446903907,6599,6599
1446907880,6611,6611
1446911573,6622,6622
1446914427,6600,6600
1446918303,6596,6596
1446922446,6590,6590
1446926409,6582,6582
1446928563,6586,6586
1446932491,6562,6562
1446936844,6531,6531
1446940809,6509,6509
1446942972,6526,6526
1446947126,6520,6520
1446951252,6495,6495
1446955752,6466,6466
1446957906,6466,6466
1446962045,6447,6447
1446966007,6466,6466
1446968171,6482,6482
1446972314,6511,6511
1446976451,6552,6552
1446980413,6572,6572
1446982563,6594,6594
1446986707,6566,6566
1446990845,6594,6594
1446994809,6595,6595
1446998945,6601,6601
1447001114,6619,6619
1447005253,6628,6628
1447009211,6633,6633
1447011365,6623,6623
1447015506,6585,6585
1447019644,6566,6566
1447023613,6544,6544
1447025770,6504,6504
1447029914,6507,6507
1447034051,6504,6504
1447036026,6506,6506
1447038013,6479,6479
1447040163,6469,6469
1447049891,6461,6461
1447052044,6496,6496
1447056007,6515,6515
1447058174,6533,6533
1447062313,6551,6551
1447066451,6548,6548
1447070413,6563,6563
1447072563,6584,6584
1447076707,6574,6574
1447081745,6576,6576
1447083907,6577,6577
1447088059,6564,6564
1447092008,6587,6587
1447094167,6592,6592
1447098306,6601,6601
1447102450,6595,6595
1447106409,6563,6563
1447108564,6528,6528
1447113610,6476,6476
1447115773,6490,6490
1447119915,6488,6488
1447124051,6468,6468
1447129094,6462,6462
1447131251,6448,6448
1447135206,6452,6452
1447139345,6474,6474
1447141514,6482,6482
1447145660,6497,6497
1447149612,6497,6497
1447151768,6510,6510
1447155906,6524,6524
1447160050,6546,6546
1447164007,6537,6537
1447166172,6544,6544
1447170314,6562,6562
1447174458,6591,6591
1447178416,6614,6614
1447180565,6613,6613
1447186144,6679,6679
1447189220,6605,6605
1447191364,6626,6626
1447195505,6574,6574
1447198564,6537,6537
1447202705,6591,6591
1447206843,6566,6566
1447210815,6537,6537
1447214944,6490,6490
1447217106,6476,6476
1447221244,6472,6472
1447225216,6481,6481
1447227365,6514,6514
1447231505,6507,6507
1447235643,6583,6583
1447239610,6600,6600
1447241764,6619,6619
1447245906,6647,6647
1447248973,6637,6637
1447253115,6631,6631
1447257251,6635,6635
1447261222,6675,6675
1447263365,6676,6676
1447267504,6622,6622
1447271643,6674,6674
1447275629,6660,6660
1447279746,6657,6657
1447283883,6615,6615
1447286053,6588,6588
1447290019,6588,6588
1447292164,6582,6582
1447296308,6549,6549
1447300444,6539,6539
1447304413,6536,6536
1447306570,6526,6526
1447310714,6538,6538
1447316824,6504,6504
1447318821,6575,6575
1447320964,6583,6583
1447325105,6586,6586
1447329244,6583,6583
1447333213,6594,6594
1447335375,6597,6597
1447339513,6590,6590
1447343652,6610,6610
1447347618,6604,6604
1447351754,6623,6623
1447353906,6631,6631
1447358944,6625,6625
1447361107,6626,6626
1447365607,6631,6631
1447367765,6525,6525
1447372809,6494,6494
1447374964,6494,6494
1447379104,6500,6500
1447383243,6481,6481
1447387207,6464,6464
1447389364,6450,6450
1447395485,6456,6456
1447397643,6467,6467
1447401607,6489,6489
1447403762,6523,6523
1447407906,6534,6534
1447412043,6532,6532
1447416007,6541,6541
1447418163,6542,6542
1447425365,6568,6568
1447429506,6545,6545
1447433644,6588,6588
1447439765,6613,6613
1447443907,6613,6613
1447445884,6603,6603
1447448044,6590,6590
1447452008,6584,6584
1447454163,6568,6568
1447458306,6541,6541
1447464433,6538,6538
1447466409,6538,6538
1447468566,6490,6490
1447472716,6493,6493
1447476865,6478,6478
1447480824,6485,6485
1447482966,6489,6489
1447487645,6500,6500
1447493764,6557,6557
1447495744,6566,6566
1447502065,6558,6558
1447506008,6568,6568
1447508164,6584,6584
1447512306,6589,6589
1447517415,6595,6595
1447519506,6587,6587
1447523644,6592,6592
1447527612,6587,6587
1447529763,6574,6574
1447533906,6574,6574
1447538048,6561,6561
1447542013,6540,6540
1447544172,6495,6495
1447548388,6506,6506
1447552452,6520,6520
1447558564,6463,6463
1447564684,6456,6456
1447566844,6442,6442
1447570875,6450,6450
1447572963,6465,6465
1447577105,6496,6496
1447581244,6519,6519
1447585209,6533,6533
1447587363,6558,6558
1447591505,6578,6578
1447595653,6595,6595
1447602382,6599,6599
1447607351,6606,6606
1447609505,6626,6626
1447613644,6605,6605
1447617607,6616,6616
1447619772,6604,6604
1447623916,6576,6576
1447628052,6549,6549
1447632012,6511,6511
1447636153,6508,6508
1447638306,6495,6495
1447642444,6475,6475
1447646408,6459,6459
1447648570,6454,6454
1447652714,6447,6447
1447656851,6477,6477
1447660812,6484,6484
1447662963,6511,6511
1447667106,6532,6532
1447671243,6531,6531
1447675207,6530,6530
1447677372,6538,6538
1447681513,6550,6550
1447685652,6539,6539
1447689647,6552,6552
1447692307,6559,6559
1447696456,6587,6587
1447700409,6582,6582
