DateTime,AddedIPs,RemovedIPs
1444680242,3,11
1444683843,7,11
1444687444,2,10
1444691045,4,7
1444694643,1,4
1444698242,4,3
1444701843,3,3
1444705442,4,5
1444709043,4,5
1444712643,2,10
1444716243,3,6
1444719844,3,3
1444723442,5,3
1444727042,2,5
1444730642,2,3
1444734241,5,9
1444737842,2,0
1444741441,2,5
1444745041,2,5
1444748642,3,7
1444752242,3,2
1444755842,5,6
1444759443,6,1
1444763042,3,6
1444766641,3,3
1444770242,5,2
1444773842,1,9
1444777442,0,4
1444781042,2,2
1444784642,1,2
1444788242,2,4
1444791842,2,4
1444795441,2,5
1444799043,3,2
1444802642,3,4
1444806242,1,9
1444809842,6,4
1444813443,7,7
1444817042,4,9
1444820642,1,1
1444824242,0,2
1444827842,1,7
1444831443,3,5
1444835045,2,5
1444838644,7,8
1444842242,4,7
1444845842,3,7
1444849442,1,15
1444853041,6,15
1444856642,0,8
1444860242,4,10
1444863844,1,13
1444867441,5,10
1444871043,1,10
1444874642,1,11
1444878241,1,13
1444881842,0,11
1444885442,1,11
1444889041,4,8
1444892641,1,6
1444896242,1,8
1444899842,5,4
1444903442,4,8
1444907042,3,4
1444910644,3,3
1444914242,1,3
1444917842,5,5
1444921442,5,4
1444925042,3,4
1444928642,10,6
1444932242,2,4
1444935842,3,6
1444939442,20,4
1444943044,11,6
1444946645,16,4
1444950242,14,3
1444953842,4,8
1444957443,10,12
1444961042,11,3
1444964642,4,2
1444968243,4,1
1444971842,4,4
1444975443,5,4
1444979042,2,5
1444982642,5,6
1444986242,10,4
1444989841,4,3
1444993441,2,8
1444997042,7,7
1445000642,1,3
1445004242,33,4
1445007842,54,2
1445011442,49,4
1445015042,4,5
1445018644,24,3
1445022242,15,1
1445025843,4,7
1445029442,5,6
1445033043,5,11
1445036642,8,3
1445040243,3,4
1445043842,1,4
1445047442,1,7
1445051046,2,4
1445054644,3,3
1445058242,5,3
1445061843,5,4
1445065442,2,2
1445069043,6,5
1445072642,2,8
1445076242,2,4
1445079842,5,1
1445083442,3,3
1445087042,2,2
1445090642,5,1
1445094242,0,5
1445097843,2,1
1445101441,4,4
1445105042,0,4
1445108642,2,6
1445112242,1,4
1445115844,4,6
1445119442,7,3
1445123041,1,4
1445126642,7,3
1445130242,3,3
1445133842,3,4
1445137442,3,3
1445141044,3,9
1445144642,2,4
1445148243,17,6
1445155442,3,1
1445159045,6,7
1445162642,1,6
1445166241,6,3
1445169842,5,3
1445173442,1,7
1445177041,1,2
1445180642,1,4
1445184242,2,6
1445187843,3,2
1445191443,0,2
1445195042,4,1
1445198642,1,3
1445202242,1,3
1445205842,1,8
1445209443,2,3
1445213042,2,4
1445216641,2,2
1445220242,2,4
1445223842,2,3
1445227444,1,39
1445241843,3,9
1445245442,3,4
1445249042,3,3
1445252643,4,49
1445256242,4,530
1445259841,2,970
1445263442,4,1223
1445267041,4,1511
1445270641,5,1298
1445274242,3,2
1445277841,1,5
1445281441,4,5
1445285042,2,5
1445288641,4,4
1445292241,0,1
1445295843,4,7
1445299444,3,1
1445303042,1,3
1445306643,1,6
1445310242,2,4
1445313842,4,6
1445317442,5,5
1445321042,6,2
1445324642,2,2
1445328244,0,6
1445331842,5,3
1445335442,2,4
1445339042,0,5
1445342642,4,1
1445346241,3,3
1445349843,2,8
1445353442,1,3
1445357044,3,2
1445360641,0,2
1445364242,1,5
1445367841,3,6
1445371441,1,2
1445375042,1,6
1445378642,0,2
1445382242,1,4
1445385842,1,2
1445389443,1,2
1445393043,3,2
1445396642,3,4
1445400242,0,3
1445403843,3,5
1445407441,2,2
1445411042,4,4
1445414642,1,3
1445418244,2,5
1445421844,2,2
1445425441,1,2
1445429042,1,6
1445432642,3,1
1445436241,2,3
1445439842,1,1
1445443441,1,9
1445447042,2,3
1445450643,2,7
1445454242,4,2
1445457842,0,4
1445461442,3,2
1445465041,2,2
1445468642,1,3
1445472241,3,5
1445475843,2,7
1445479442,1,5
1445483042,1,2
1445486641,2,3
1445490242,2,2
1445493842,3,9
1445497441,7,4
1445501043,1,3
