DateTime,Entries,UniqueIPs
1444687444,6416,6587
1444691045,6412,6584
1444694643,6409,6581
1444698242,6410,6582
1444701843,6410,6582
1444705442,6409,6581
1444709043,6408,6580
1444712643,6400,6572
1444716243,6397,6569
1444719844,6397,6569
1444723442,6399,6571
1444727042,6397,6568
1444730642,6396,6567
1444734241,6392,6563
1444737842,6394,6565
1444741441,6391,6562
1444745041,6388,6559
1444748642,6384,6555
1444752242,6385,6556
1444755842,6384,6555
1444759443,6388,6560
1444763042,6385,6557
1444766641,6385,6557
1444770242,6388,6560
1444773842,6380,6552
1444777442,6376,6548
1444781042,6376,6548
1444784642,6375,6547
1444788242,6373,6545
1444791842,6371,6543
1444795441,6368,6540
1444799043,6369,6541
1444802642,6368,6540
1444806242,6360,6532
1444809842,6362,6534
1444813443,6361,6534
1444817042,6356,6529
1444820642,6356,6529
1444824242,6354,6527
1444827842,6348,6521
1444831443,6346,6519
1444835045,6343,6516
1444838644,6342,6515
1444842242,6339,6512
1444845842,6336,6508
1444849442,6322,6494
1444853041,6313,6485
1444856642,6305,6477
1444860242,6299,6471
1444863844,6288,6459
1444867441,6283,6454
1444871043,6274,6445
1444874642,6264,6435
1444878241,6253,6423
1444881842,6242,6412
1444885442,6232,6402
1444889041,6230,6398
1444892641,6227,6393
1444896242,6220,6386
1444899842,6221,6387
1444903442,6217,6383
1444907042,6216,6382
1444910644,6216,6382
1444914242,6214,6380
1444917842,6214,6380
1444921442,6216,6381
1444925042,6215,6380
1444928642,6219,6384
1444932242,6217,6382
1444935842,6214,6379
1444939442,6230,6395
1444943044,6235,6400
1444946645,6247,6412
1444950242,6258,6423
1444953842,6254,6419
1444957443,6251,6417
1444961042,6259,6425
1444964642,6261,6427
1444968243,6264,6430
1444971842,6264,6430
1444975443,6265,6431
1444979042,6262,6428
1444982642,6261,6427
1444986242,6267,6433
1444989841,6268,6434
1444993441,6262,6428
1444997042,6262,6428
1445000642,6260,6426
1445004242,6289,6455
1445007842,6341,6507
1445011442,6386,6552
1445015042,6385,6551
1445018644,6406,6572
1445022242,6420,6586
1445025843,6417,6583
1445029442,6416,6582
1445033043,6410,6576
1445036642,6415,6581
1445040243,6414,6580
1445043842,6411,6577
1445047442,6405,6571
1445051046,6403,6569
1445054644,6403,6569
1445058242,6405,6571
1445061843,6405,6572
1445065442,6405,6572
1445069043,6406,6573
1445072642,6400,6567
1445076242,6398,6565
1445079842,6402,6569
1445083442,6402,6569
1445087042,6402,6569
1445090642,6406,6573
1445094242,6401,6568
1445097843,6402,6569
1445101441,6402,6569
1445105042,6398,6565
1445108642,6394,6561
1445112242,6391,6558
1445115844,6389,6556
1445119442,6393,6560
1445123041,6390,6557
1445126642,6394,6561
1445130242,6394,6561
1445133842,6393,6560
1445137442,6393,6560
1445141044,6387,6554
1445144642,6385,6552
1445148243,6394,6563
1445155442,6396,6565
1445159045,6395,6564
1445162642,6390,6559
1445166241,6393,6562
1445169842,6395,6564
1445173442,6389,6558
1445177041,6388,6557
1445180642,6385,6554
1445184242,6381,6550
1445187843,6382,6551
1445191443,6380,6549
1445195042,6383,6552
1445198642,6381,6550
1445202242,6379,6548
1445205842,6372,6541
1445209443,6371,6540
1445213042,6369,6538
1445216641,6369,6538
1445220242,6367,6536
1445223842,6366,6535
1445227444,6328,6497
1445241843,6322,6491
1445245442,6321,6490
1445249042,6321,6490
1445252643,6279,6445
1445256242,5783,5919
1445259841,4865,4951
1445263442,3679,3732
1445267041,2207,2225
1445270641,926,932
1445274242,927,933
1445277841,923,929
1445281441,922,928
1445285042,919,925
1445288641,920,925
1445292241,919,924
1445295843,916,921
1445299444,918,923
1445303042,916,921
1445306643,911,916
1445310242,909,914
1445313842,907,912
1445317442,907,912
1445321042,911,916
1445324642,911,916
1445328244,905,910
