DateTime,Entries,UniqueIPs
1442927042,95,137
1442941441,94,136
1442945041,93,135
1442948642,91,104
1442959443,88,90
1442991841,87,89
1442995442,88,90
1443002643,87,89
1443006242,88,90
1443024241,89,91
1443031442,90,92
1443038642,91,93
1443060241,91,93
1443071041,92,94
1443081841,90,92
1443089043,92,94
1443096243,93,95
1443128642,91,93
1443132241,91,93
1443161042,91,93
1443164642,89,90
1443171841,91,92
1443175442,89,90
1443179042,87,88
1443182641,86,86
1443189844,93,144
1443200642,94,145
1443204242,96,147
1443207841,95,146
1443218641,94,145
1443222241,93,144
1443240243,94,145
1443247443,94,145
1443251042,95,146
1443254642,94,145
1443265442,93,144
1443269041,95,146
1443279841,96,147
1443290644,96,147
1443305041,97,148
1443323042,96,147
1443330241,95,146
1443333842,96,147
1443341041,97,148
1443344642,97,148
1443351841,98,149
1443359042,99,150
1443369842,100,151
1443377043,101,152
1443387842,99,150
1443391442,98,149
1443402242,99,150
1443405841,100,151
1443416642,92,143
1443420242,91,142
1443423841,90,141
1443427441,89,140
1443431042,88,139
1443449042,89,140
1443452641,88,139
1443477841,87,138
1443485042,86,137
1443492241,86,137
1443495842,85,136
1443506642,87,138
1443510242,85,136
1443521043,86,137
1443531841,85,136
1443557041,86,137
1443593042,85,136
1443596641,86,137
1443614642,87,138
1443618241,88,139
1443621841,88,139
1443639841,87,138
1443647042,86,137
1443650643,87,138
1443661441,88,139
1443665042,87,138
1443672243,88,139
1443675843,87,138
1443679441,88,139
1443697441,87,138
1443704644,87,138
1443708242,88,139
1443711842,89,140
1443719042,90,141
1443740641,91,142
1443755042,91,142
1443762241,91,142
1443765842,90,141
1443769442,88,139
1443773041,85,136
1443776642,84,135
1443787442,84,134
1443794642,84,108
1443798242,76,76
1443805441,75,75
1443809041,73,73
1443812642,74,74
1443827041,75,75
1443845042,74,74
1443852242,75,75
1443855841,76,76
1443859441,77,77
1443870241,78,78
1443873842,79,79
1443877441,80,80
1443884642,81,81
1443888243,82,82
1443895443,81,81
1443906242,80,80
1443917042,79,79
1443931441,80,80
1443935041,79,79
1443938642,80,80
1443942241,81,81
1443945842,80,80
1443953042,81,81
1443956642,79,79
1443963841,80,80
1443971042,81,81
1443978242,81,81
1443992641,82,82
1444021441,81,81
1444025042,79,79
1444032242,78,78
1444039442,75,75
1444057442,75,75
1444061042,76,76
1444075441,78,78
1444089841,79,79
1444097041,78,78
1444100641,79,79
1444107843,78,78
1444111441,77,77
1444115041,78,78
1444118641,77,77
1444129444,78,78
1444140243,79,79
1444161842,80,80
1444165441,81,81
1444172641,80,80
1444201445,79,79
1444219442,78,78
1444223042,79,79
