DateTime,AddedIPs,RemovedIPs
1445850908,27,0
1445852108,0,1
1445852708,0,1
1445854508,11,0
1445858109,15,0
1445861409,9,0
1445865309,5,0
1445868009,0,1
1445868609,12,0
1445872509,4,0
1445875809,3,0
1445879409,8,0
1445880309,0,1
1445883010,12,0
1445887209,2,0
1445890208,8,0
1445894109,17,0
1445894722,0,1
1445896508,0,1
1445897710,24,0
1445901308,29,0
1445904609,44,0
1445905509,0,1
1445908210,28,0
1445911809,29,1
1445915409,14,0
1445918110,0,1
1445919308,15,0
1445923209,18,0
1445924709,0,1
1445926509,3,0
1445929809,9,0
1445931909,0,4
1445932209,0,1
1445933409,5,0
1445934908,0,1
1445937009,11,0
1445938509,0,1
1445939109,0,1
1445940609,24,0
1445945108,17,0
1445948709,42,0
1445951709,30,0
1445955308,24,0
1445958908,23,0
1445960708,0,1
1445962508,13,0
1445965809,8,0
1445969708,14,0
1445975109,0,1
1445976612,2,0
1445981408,2,1
1445983583,0,1
1445985309,2,0
1445986511,3,0
1445988008,9,1
1445991309,0,1
1445998211,0,1
1445998509,17,0
1446002109,0,1
1446003310,0,1
1446007809,0,1
1446009008,22,0
1446012908,9,0
1446019810,6,0
1446023709,1,1
1446024909,0,1
1446025511,0,1
1446027009,18,0
1446030610,4,1
1446034813,12,0
1446036346,0,1
1446038109,6,1
1446041408,7,0
1446044731,0,1
1446048910,6,0
1446052511,80,1
1446054020,0,1
1446057610,66,0
1446059730,61,0
1446063309,72,0
1446066608,34,0
1446070509,39,0
1446072309,0,1
1446073809,53,0
1446077410,67,0
1446078908,0,1
1446081009,59,0
1446084610,23,0
1446088208,19,0
1446092108,23,0
1446095408,19,0
1446099009,78,0
1446103508,100,0
1446106509,77,0
1446110108,42,0
1446113709,42,0
1446116409,0,1
1446117308,40,0
1446118507,90,0
1446119108,32,0
1446120909,231,0
1446124210,271,2
1446127808,43,0
1446131409,23,0
1446135308,54,0
1446138909,28,0
1446142508,18,0
1446146409,43,0
1446149409,108,0
1446150908,8,0
1446151509,0,1
1446153009,298,6
1446156008,0,1
1446156909,68,3
1446160211,69,3
1446168010,154,0
1446170411,0,1
1446171009,22,2
1446174910,34,0
1446178508,84,0
1446182108,7,0
1446185410,14,0
1446189308,20,0
1446192908,20,0
1446194108,0,1
1446194708,0,1
1446196508,22,1
1446197108,0,2
1446197708,0,1
1446198309,0,2
1446198908,0,2
1446200108,33,4
1446203409,47,3
1446205810,0,1
1446207009,33,0
1446210009,0,1
1446210610,85,0
1446214508,102,6
1446217208,0,2
1446217509,0,1
1446218108,124,0
1446221409,131,15
1446225309,22,0
1446228608,24,0
1446230708,107,0
1446232210,23,0
1446235809,12,0
1446237909,3,1
1446238210,0,1
1446239409,16,0
1446243010,133,10
1446245708,5,0
1446247211,45,0
1446250210,121,9
1446253809,97,8
1446257409,20,0
1446261020,18,0
1446264614,9,0
1446268220,25,0
1446274809,20,0
1446278411,67,6
1446279009,18,0
1446284110,1,0
1446286810,16,1
1446289809,103,0
1446293411,50,0
1446297009,23,0
1446299411,0,0
1446300309,0,0
1446300910,76,0
1446304208,37,1
1446307809,47,0
1446311410,51,3
1446315010,23,0
1446318609,40,0
1446321610,0,1
1446322510,15,0
1446325812,89,0
1446327310,0,1
1446329410,59,0
1446332410,0,1
1446333012,25,2
1446334511,38,0
1446335410,67,1
1446337510,38,0
1446340510,32,0
1446341709,0,2
1446342609,0,1
1446343509,0,1
1446344409,19,1
1446347409,140,2
1446351309,66,0
1446354609,96,22
1446358210,25,0
1446361810,12,0
1446365708,31,15
1446369610,108,29
1446372610,122,13
1446377108,4,0
1446379809,43,3
1446384009,88,39
1446387011,41,0
1446388508,0,1
1446390909,66,0
1446393008,0,1
1446394209,0,1
1446394508,73,0
1446398108,244,0
1446398709,0,1
1446400508,0,1
1446400809,0,1
1446401409,34,0
1446401709,30,0
1446405310,42,21
1446408610,52,3
1446411608,0,1
1446411909,0,0
1446412208,27,0
1446415809,41,0
1446416109,0,0
1446416708,0,0
1446419708,53,1
1446423308,82,0
1446426310,0,1
1446426611,153,0
1446427509,0,1
1446430210,33,0
1446435609,75,9
1446437708,23,0
1446441308,42,6
1446444610,13,0
1446448210,17,0
1446449708,0,1
1446451809,10,0
1446455708,7,0
1446458409,0,4
1446459308,30,1
1446462609,26,0
1446466508,31,0
1446467109,0,1
1446470411,47,1
1446473709,33,0
1446477009,80,0
1446477910,0,2
1446480909,22,1
1446484508,12,0
1446488108,19,0
1446491410,0,1
1446491711,12,0
1446495010,30,0
1446498609,13,0
1446503709,31,0
1446506109,104,0
1446506708,0,3
1446507908,0,1
1446509708,22,0
1446513609,41,0
1446516909,73,0
1446520508,25,0
1446524109,17,0
1446525308,0,1
1446527409,155,5
1446527708,16,0
1446531308,22,0
1446531909,0,1
1446534609,22,0
1446538508,14,0
1446541809,36,3
1446545409,23,1
1446549009,27,0
1446552610,30,0
1446556209,25,0
1446557109,0,1
1446559810,43,1
1446561308,0,1
1446562809,0,1
1446563409,21,0
1446567009,30,0
1446570610,302,0
1446574808,18,0
1446575708,0,1
1446578108,27,0
1446579909,314,0
1446580209,0,1
1446581409,16,0
1446583809,32,1
1446585609,25,0
1446587109,0,1
1446588608,12,0
1446589508,0,1
