DateTime,Entries,UniqueIPs
1446606609,368823,382276
1446610209,368844,382299
1446613808,368864,382319
1446614108,368863,382318
1446617708,368902,382358
1446621008,368942,382401
1446624608,368964,382425
1446628808,368985,382447
1446631809,369004,382467
1446632709,369003,382466
1446633909,369001,382464
1446634209,369000,382463
1446634808,369001,382465
1446635409,369023,382488
1446635708,369020,382485
1446636308,369019,382484
1446639008,369071,382538
1446642909,369150,382619
1446646508,369220,382689
1446647108,369219,382688
1446649809,369273,382741
1446653408,369318,382786
1446657309,369347,382816
1446668409,369414,382887
1446671708,369435,382908
1446675309,369453,382926
1446676508,369452,382925
1446678010,369451,382924
1446679208,369470,382943
1446682210,369529,383002
1446683110,369528,383001
1446683709,369527,383000
1446686109,369562,383037
1446689709,369592,383067
1446693308,369620,383095
1446696608,369648,383124
1446700209,369663,383140
1446704108,369688,383168
1446707709,370090,383577
1446710109,370089,383576
1446711310,370100,383587
1446714909,370133,383620
1446716110,370132,383619
1446718210,370163,383651
1446722108,370221,383709
1446725708,370300,383792
1446729308,370367,383860
1446733508,370407,383901
1446736209,370472,383969
1446739809,370489,383989
1446740709,370484,383984
1446741309,370483,383983
1446743709,370521,384021
1446747008,370552,384052
1446750609,370579,384080
1446754210,370600,384103
1446758109,370636,384140
1446761409,370657,384162
1446762909,370656,384161
1446765009,370675,384181
1446767110,370673,384179
1446768609,370710,384216
1446772509,370731,384238
1446776109,370757,384265
1446779708,370779,384287
1446783009,370799,384310
1446786909,370811,384322
1446790508,370820,384332
1446793809,370819,384331
1446794109,370832,384344
1446797409,370849,384361
1446797708,370847,384359
1446798308,370846,384358
1446801008,370845,384357
1446801608,370855,384367
1446804607,370865,384377
1446804907,370864,384376
1446806108,370862,384374
1446807608,370860,384372
1446808208,370857,384369
1446808508,370869,384382
1446809109,370868,384381
1446809708,370866,384379
1446810309,370864,384377
1446810908,370860,384373
1446811210,370859,384372
1446811808,370896,384411
1446812708,370894,384409
1446813308,370893,384408
1446813908,370891,384406
