DateTime,Entries,UniqueIPs
1440816049,3776,3844
1440900668,3775,3843
1441041908,3774,3842
1441313107,3773,3841
1441327509,3772,3840
1441332009,3771,3839
1441384509,3770,3838
1441661708,3768,3836
1441662308,3767,3835
1441681208,3766,3834
1441829111,3765,3833
1441830010,3763,3831
1441921508,3762,3830
1442007308,3760,3828
1442043624,3759,3827
1442086508,3758,3826
1442227509,3757,3825
1442298010,3756,3824
1442324708,3755,3823
1442382608,3754,3822
1442410209,3753,3821
1442434808,3749,3817
1442526908,3747,3815
1442603709,3746,3814
1442699109,3745,3813
1442770208,3744,3812
1442879108,3743,3811
1442879408,3741,3809
1442904309,3740,3808
1442942708,3739,3807
1442960708,3738,3806
1442990109,3737,3805
1443166508,3736,3804
1443205509,3732,3800
1443206108,3731,3799
1443207008,3730,3798
1443233712,3729,3797
1443427208,3728,3796
1443454809,3727,3795
1443458708,3726,3794
1443550208,3725,3793
1443569108,3724,3792
1443735308,3723,3791
1443735908,3722,3790
1443810308,3721,3789
1443816308,3720,3788
1443824708,3719,3787
1444037707,3718,3786
1444128608,3717,3785
1444159208,3716,3784
1444167908,3715,3783
1444224908,3714,3782
1444246508,3713,3781
1444304709,3712,3780
1444305309,3711,3779
1444326909,3710,3778
1444338608,3708,3776
1444351509,3707,3775
1444415708,3704,3772
1444725909,3703,3771
1444729509,3702,3770
1444739707,3701,3769
1444752009,3699,3767
1444752608,3697,3765
1444841708,3696,3764
1444850108,3695,3763
1444898709,3694,3762
1444934710,3693,3761
1445024108,3692,3760
1445258108,3691,3759
1445359508,3690,3758
1445359808,3689,3757
1445360409,3688,3756
1445365208,3687,3755
1445433908,3686,3754
1445498708,3685,3753
1445538009,3683,3751
1445627410,3682,3750
1445780108,3681,3749
1445880309,3677,3745
1445963708,3676,3744
1445983583,3675,3743
1446033310,3674,3742
1446052511,3673,3741
1446214508,3672,3740
1446507009,3671,3739
1446635409,3670,3738
1446740709,3669,3737
1446741309,3668,3736
1446855609,3667,3735
1447095609,3666,3734
1447187708,3665,3733
1447364108,3662,3730
1447373408,3661,3729
1447418709,3660,3728
1447448409,3658,3726
1447449008,3657,3725
1447522508,3656,3724
1447682409,3655,3723
1447884009,3654,3722
