DateTime,AddedIPs,RemovedIPs
1440817868,1,0
1440850267,1,0
1440861067,0,5
1440868268,0,5
1440882668,1,0
1440933068,0,5
1440936668,1,0
1440940267,0,1
1440958268,0,1
1440987079,1,0
1440995714,1,0
1441007108,1,0
1441107908,1,0
1441113308,1,0
1441182909,0,5
1441236307,0,1
1441260006,1,0
1441267207,1,0
1441268709,0,1
1441272907,4,0
1441322107,0,1
1441347307,1,0
1441353007,0,5
1441387507,0,1
1441388708,1,0
1441421107,1,0
1441433707,1,0
1441450807,0,5
1441503014,1,0
1441509010,1,0
1441510511,1,0
1441511108,3,0
1441637107,1,0
1441663209,0,1
1441668908,1,0
1441676708,1,0
1441694107,0,5
1441704907,1,0
1441716307,0,1
1441720209,0,1
1441726507,0,1
1441750222,0,1
1441761007,0,1
1441762507,0,1
1441764007,0,5
1441791307,1,0
1441809907,1,0
1441811707,1,0
1441864807,0,5
1441866308,0,1
1441871407,0,5
1441898708,0,5
1441901407,0,5
1441908007,0,1
1441909508,0,1
1441935307,0,1
1441938907,0,1
1441965608,1,0
1441982107,1,0
1442003107,0,1
1442028037,1,0
1442034315,1,0
1442047507,1,0
1442061907,1,0
1442063708,0,1
1442079907,0,1
1442102407,1,0
1442103308,1,0
1442111707,1,0
1442131207,1,0
1442177707,0,1
1442178308,0,5
1442221207,1,0
1442223308,1,0
1442282408,1,0
1442283307,1,1
1442341208,0,5
1442374507,0,1
1442381707,0,5
1442389507,1,0
1442395807,1,0
1442410208,1,0
1442473208,1,0
1442474108,0,5
1442481307,0,5
1442519108,0,1
1442519707,0,5
1442523607,1,0
1442526308,1,0
1442536508,0,1
1442598308,0,1
1442608207,1,0
1442624409,1,0
1442652308,1,0
1442653808,0,5
1442693410,0,1
1442718007,1,0
1442720108,1,0
1442723707,1,0
1442728807,1,0
1442732408,0,5
1442740507,1,0
1442745308,1,0
1442745908,1,0
1442749507,1,0
1442753107,1,0
1442757608,1,0
1442770508,1,0
1442793607,0,1
1442826607,0,1
1442828707,1,0
1442854807,0,1
1442869208,1,0
1442895007,0,1
1442909707,1,0
1442915107,1,0
1442920507,0,5
1442923208,1,0
1442936107,1,0
1442941207,1,0
1442959208,1,0
1443001508,1,0
1443045609,1,0
1443047707,1,0
1443051907,1,0
1443052807,0,1
1443054908,1,0
1443058508,1,0
1443062707,1,0
1443067207,1,0
1443082507,0,1
1443084308,1,0
1443085208,1,0
1443087907,1,0
1443095107,1,0
1443096909,1,0
1443098108,1,0
1443108907,0,1
1443128407,1,0
1443132009,1,0
1443135608,0,1
1443140108,1,0
1443143708,1,0
1443144913,1,0
1443145511,1,0
1443152108,0,1
1443166507,1,0
1443170708,1,0
1443185107,1,0
1443204008,1,0
1443231611,1,0
1443252907,1,0
1443257107,1,0
1443287107,0,1
1443290409,1,0
1443298508,1,0
1443308108,0,1
1443321908,1,0
1443346508,1,0
1443364508,1,0
1443370507,1,0
1443382508,0,1
1443383707,0,1
1443444307,0,5
1443470409,0,1
1443512708,1,0
1443589808,0,1
1443701707,1,0
1443750308,1,0
1443853506,0,1
1443862208,75,0
1443890108,1,0
1443910507,25,0
1443923408,0,1
1443925810,2,0
1443961809,1,0
1443988208,41,0
1444000207,0,1
1444017608,1,0
1444021208,0,1
1444025408,0,1
1444092324,1,0
1444116907,0,5
1444124408,76,0
1444140308,0,1
1444146608,1,0
1444182908,0,5
1444245908,37,0
1444285507,0,1
1444288508,1,0
1444296907,1,0
1444305608,1,0
1444326908,0,1
1444345208,0,1
1444385708,1,0
1444392011,0,1
1444400707,0,1
1444441512,1,0
1444477507,0,1
1444485008,0,5
1444500908,1,0
1444502707,1,0
1444520707,0,1
1444521608,1,0
1444558509,1,0
1444566908,1,0
1444569308,1,0
1444570507,3,0
1444598107,1,0
1444642507,1,0
1444651208,1,0
1444656907,1,0
1444674908,0,1
1444678507,1,0
1444691407,0,1
1444697107,1,0
1444697708,0,1
1444707908,1,0
1444725908,0,5
1444739107,0,1
1444747508,0,5
1444770908,0,1
1444804507,0,1
1444823707,0,5
1444845309,0,1
1444943407,0,1
1444955708,1,0
1445035507,0,1
1445050809,0,2
1445070908,0,1
1445126408,0,1
1445155208,0,1
1445194808,0,5
1445244607,0,15
1445245807,0,5
1445253007,0,1
1445317212,0,5
1445328907,0,1
1445378108,0,1
1445384708,0,1
1445442308,0,1
1445495107,0,1
1445538008,0,5
1445547607,0,1
1445604308,0,1
1445647512,0,1
1445690108,0,5
1445785208,0,5
1445794509,3,0
1445851508,0,5
1445973012,0,1
1445993409,0,1
1446047712,0,1
1446054019,0,1
1446059730,0,1
1446068108,0,1
1446115509,0,1
1446158708,0,5
1446172211,0,1
1446250209,0,1
1446294907,0,1
1446299411,0,0
1446300308,0,0
1446300909,0,0
1446366908,0,1
1446411908,0,0
1446416108,0,0
1446416707,0,0
1446457508,0,1
1446489907,0,1
1446504308,2,0
1446520507,0,5
1446547807,0,1
1446548409,0,1
1446566408,0,5
1446637507,0,1
1446655507,0,1
1446668408,0,1
1446716109,0,1
1446733507,0,5
1446759307,0,2
1446805507,0,1
1446881107,0,5
1446912607,0,5
1446912908,0,0
1446945309,0,0
1446990307,0,1
1447010107,0,5
1447047913,0,0
1447058707,0,10
1447084209,0,1
1447130707,0,1
1447172707,0,5
1447235408,0,1
1447260308,0,1
1447287907,16,0
1447309507,0,1
1447313107,0,1
1447354808,0,1
1447422607,0,5
1447427107,0,1
1447471808,0,1
1447489508,0,5
1447531209,0,1
1447577107,0,1
1447607708,0,1
1447635307,0,5
1447673707,0,5
1447696208,0,2
1447728008,11,0
1447736408,6,0
1447747508,1,0
1447748107,1,0
1447823408,0,1
1447830907,0,5
