DateTime,Entries,UniqueIPs
1440816048,36377,94017
1440817868,36378,94018
1440850267,36379,94019
1440861067,36382,94014
1440868268,36383,94009
1440882668,36384,94010
1440933068,36392,94005
1440936668,36393,94006
1440940267,36392,94005
1440958268,36391,94004
1440987079,36392,94005
1440995714,36393,94006
1441007108,36394,94007
1441107908,36395,94008
1441113308,36396,94009
1441182909,36398,94004
1441236307,36397,94003
1441260006,36398,94004
1441267207,36399,94005
1441268709,36398,94004
1441272907,36401,94008
1441322107,36400,94007
1441347307,36401,94008
1441353007,36403,94003
1441387507,36402,94002
1441388708,36403,94003
1441421107,36404,94004
1441433707,36405,94005
1441450807,36407,94000
1441503014,36408,94001
1441509010,36409,94002
1441510511,36410,94003
1441511108,36413,94006
1441637107,36414,94007
1441663209,36413,94006
1441668908,36414,94007
1441676708,36415,94008
1441694107,36416,94003
1441704907,36416,94004
1441716307,36415,94003
1441720209,36414,94002
1441726507,36413,94001
1441750222,36412,94000
1441761007,36411,93999
1441762507,36410,93998
1441764007,36414,93993
1441791307,36415,93994
1441809907,36416,93995
1441811707,36417,93996
1441864807,36420,93991
1441866308,36419,93990
1441871407,36421,93985
1441898708,36428,93980
1441901407,36433,93975
1441908007,36432,93974
1441909508,36431,93973
1441935307,36430,93972
1441938907,36429,93971
1441965608,36429,93972
1441982107,36430,93973
1442003107,36429,93972
1442028037,36430,93973
1442034315,36431,93974
1442047507,36432,93975
1442061907,36433,93976
1442063708,36432,93975
1442079907,36431,93974
1442102407,36432,93975
1442103308,36433,93976
1442111707,36434,93977
1442131207,36435,93978
1442177707,36434,93977
1442178308,36440,93972
1442221207,36441,93973
1442223308,36442,93974
1442282408,36443,93975
1442283307,36443,93975
1442341208,36449,93970
1442374507,36448,93969
1442381707,36452,93964
1442389507,36453,93965
1442395807,36454,93966
1442410208,36455,93967
1442473208,36456,93968
1442474108,36459,93963
1442481307,36461,93958
1442519108,36460,93957
1442519707,36463,93952
1442523607,36464,93953
1442526308,36465,93954
1442536508,36464,93953
1442598308,36463,93952
1442608207,36464,93953
1442624409,36465,93954
1442652308,36466,93955
1442653808,36470,93950
1442693410,36469,93949
1442718007,36470,93950
1442720108,36471,93951
1442723707,36472,93952
1442728807,36473,93953
1442732408,36477,93948
1442740507,36478,93949
1442745308,36479,93950
1442745908,36480,93951
1442749507,36481,93952
1442753107,36482,93953
1442757608,36483,93954
1442770508,36483,93955
1442793607,36482,93954
1442826607,36481,93953
1442828707,36482,93954
1442854807,36481,93953
1442869208,36482,93954
1442895007,36481,93953
1442909707,36482,93954
1442915107,36483,93955
1442920507,36487,93950
1442923208,36488,93951
1442936107,36489,93952
1442941207,36490,93953
1442959208,36491,93954
1443001508,36492,93955
1443045609,36493,93956
1443047707,36494,93957
1443051907,36495,93958
1443052807,36494,93957
1443054908,36495,93958
1443058508,36496,93959
1443062707,36497,93960
1443067207,36498,93961
1443082507,36497,93960
1443084308,36498,93961
1443085208,36499,93962
1443087907,36500,93963
1443095107,36501,93964
1443096909,36502,93965
1443098108,36503,93966
1443108907,36503,93965
1443128407,36504,93966
1443132009,36505,93967
1443135608,36504,93966
1443140108,36505,93967
1443143708,36506,93968
1443144913,36507,93969
1443145511,36508,93970
1443152108,36507,93969
1443166507,36508,93970
1443170708,36509,93971
1443185107,36510,93972
1443204008,36511,93973
1443231611,36512,93974
1443252907,36513,93975
1443257107,36514,93976
1443287107,36513,93975
1443290409,36514,93976
1443298508,36515,93977
1443308108,36514,93976
1443321908,36515,93977
1443346508,36516,93978
