DateTime,Entries,UniqueIPs
1446976555,401,103936
1446977464,410,106240
1446979279,412,106752
1446980159,408,105728
1446981076,412,106752
1446982865,416,107264
1446983760,404,104192
1446985586,402,103680
1446986460,409,105472
1446987361,403,103936
1446988609,408,105216
1446990069,416,107520
1446990958,410,105728
1446991874,415,107008
1446993662,413,106496
1446994563,404,103680
1446995836,410,105216
1446996392,405,103936
1446997261,412,105728
1446998172,406,104192
1446999469,414,106240
1447000865,412,105984
1447001764,402,103424
1447002672,411,105728
1447004493,412,105984
1447005360,406,104448
1447008071,410,105472
1447008959,406,104448
1447010258,412,105984
1447010768,405,104192
1447011664,413,107008
1447012567,405,104960
1447013848,411,106496
1447014396,405,104960
1447015262,412,106752
1447017446,407,105472
1447017995,401,103936
1447018857,407,105472
1447019764,399,103424
1447021059,409,105984
1447021594,405,104960
1447022462,411,106496
1447024280,409,105984
1447025192,399,103424
1447026063,402,104192
1447026957,390,101120
1447028259,396,102656
1447029674,395,102400
1447030560,385,99840
1447031476,390,101120
1447032381,393,101888
1447033286,394,102144
1447035416,391,101376
1447036873,392,101632
1447038677,389,100864
1447040474,396,102656
1447044960,384,99584
1447045910,391,101376
1447047674,396,102400
1447049487,394,101888
1447051264,391,101120
1447053071,389,100864
1447054880,394,102144
1447057053,392,101632
1447058464,392,101632
1447060273,392,101632
1447061185,388,100608
1447062071,394,102144
1447063868,390,100864
1447065664,390,100864
1447067472,384,99328
1447069265,387,100352
1447070164,380,98560
1447071101,386,100096
1447072864,386,100096
1447073762,387,100352
1447074685,388,100864
1447075586,381,99072
1447076476,391,101632
1447078646,390,100864
1447080957,389,100608
1447081864,391,101120
1447083674,394,101888
1447085821,394,101888
1447087271,397,102656
1447089977,392,101376
1447090866,389,100608
1447093052,389,100608
1447095355,380,98304
1447096267,384,99328
1447098061,377,97536
1447099874,370,95232
1447101665,373,96000
1447103477,368,94720
1447104508,364,93696
1447105265,370,95232
1447107069,370,95232
1447108986,366,94208
1447111008,361,92928
1447112470,366,94208
1447114660,368,94976
1447116075,364,93952
1447117876,362,93440
1447119759,365,94208
1447121478,361,93184
1447122398,355,91648
1447123276,360,92928
1447124316,352,90880
1447125974,355,91648
1447126859,356,91904
1447128684,350,90368
1447130486,358,92416
1447131359,347,89600
1447132674,349,90112
