DateTime,Entries,UniqueIPs
1444838047,852,852
1444850288,852,852
1444854428,852,852
1444870811,857,857
1444883228,857,857
1444887369,855,855
1444891510,855,855
1444895647,854,854
1444899606,853,853
1444903747,852,852
1444907888,852,852
1444912027,852,852
1444916167,851,851
1444924446,851,851
1444936689,851,851
1444944969,851,851
1444949108,851,851
1444957209,852,852
1444961346,852,852
1444965490,851,851
1444969630,850,850
1444973767,850,850
1444977909,850,850
1444982047,850,850
1444986009,850,850
1444990148,849,849
1444994290,849,849
1444998426,848,848
1445002568,848,848
1445006708,848,848
1445014808,848,848
1445018947,848,848
1445043640,850,850
1445050447,850,850
1445058554,850,850
1445062689,849,849
1445066828,849,849
1445070969,849,849
1445079248,849,849
1445083209,849,849
1445087348,847,847
1445091197,847,847
1445095085,846,846
1445099228,847,847
1445103368,847,847
1445107509,847,847
1445119749,847,847
1445123891,847,847
1445128028,847,847
1445132167,846,846
1445136316,846,846
1445140464,845,845
1445144525,845,845
1445148547,845,845
1445152689,845,845
1445156828,844,844
1445160967,843,843
1445165110,843,843
1445169248,844,844
1445177349,844,844
1445181492,845,845
1445185629,844,844
1445189766,845,845
1445193911,845,845
1445198047,846,846
1445206146,846,846
1445214429,843,843
1445222749,844,844
1445248446,844,844
1445252418,847,847
1445256550,846,846
1445267375,0,0
1445272025,846,846
1445276167,846,846
1445284838,0,0
1445298846,846,846
1445306946,846,846
1445311092,846,846
1445319367,846,846
1445331630,846,846
1445335746,847,847
1445339890,845,845
1445344028,845,845
1445348168,847,847
1445360426,847,847
1445368688,847,847
1445376968,847,847
1445381110,847,847
1445389233,846,846
1445393345,845,845
1445405771,846,846
1445409909,846,846
1445414048,846,846
1445418025,847,847
1445422151,847,847
1445426288,846,846
1445430428,846,846
1445434567,846,846
1445463370,846,846
1445467510,846,846
1445475643,844,844
1445479745,844,844
1445483887,843,843
1445492168,843,843
1445496311,843,843
1445500446,844,844
1445504437,845,845
1445508547,845,845
1445537462,847,847
1445558408,847,847
1445562548,846,846
1445566908,845,845
1445570908,845,845
1445574967,846,846
1445579109,845,845
1445583246,845,845
1445587210,845,845
1445595522,845,845
1445599626,845,845
1445603768,846,846
1445607909,846,846
1445624288,846,846
1445628428,847,847
1445632565,847,847
1445636710,847,847
1445644809,847,847
1445648948,847,847
1445653090,847,847
1445657227,846,846
1445661367,847,847
1445665509,847,847
1445669648,848,848
1445677748,848,848
1445681888,848,848
1445686030,849,849
1445690170,849,849
