DateTime,AddedIPs,RemovedIPs
1441341002,3072,3072
1441686602,3328,3328
1441773001,3584,3584
1441859401,3072,3072
1441945802,3584,3584
1442032201,3328,3328
1442205001,3072,3072
1442291401,3328,3328
1442377801,3328,3328
1442550601,2816,2816
1442723401,3328,3328
1442809801,3328,3328
1442896201,3072,3072
1442982601,3072,3072
1443069001,3584,3584
1443155401,3328,3328
1443414601,3840,3840
1443501001,3840,3840
1443587402,3840,3840
1443673801,3584,3584
1443760201,3328,3328
1444019402,3072,3072
1444105801,3328,3328
1444192201,3072,3072
1444278601,3840,3840
1444365001,3840,3840
1444624201,3840,3840
1444710601,4096,4096
1444797001,3584,3584
1444883401,3840,3840
1444969801,3840,3840
1445056201,4096,4096
1445229001,3584,3584
1445315401,3328,3328
1445401802,3840,3840
1445488201,3072,3072
1445574601,3584,3584
1445747401,3584,3584
1445833801,3840,3840
1445920201,3840,3840
1446006601,3840,3840
1446093001,4096,4096
1446179401,4096,4096
1446265801,3840,3840
1446442202,4096,4096
1446528601,3840,3840
1446615002,4352,4352
1446701401,3584,3584
1446787801,4352,4352
1447047002,4352,4352
1447133401,4096,4096
1447219801,4352,4352
1447306201,4096,4096
1447392601,4096,4096
1447651801,4352,4352
1447738201,4352,4352
