DateTime,Entries,UniqueIPs
1447011366,26532,81852
1447012578,26531,81851
1447014782,26525,81845
1447015507,26514,81834
1447016596,26511,81831
1447017140,26500,81820
1447019648,26398,81717
1447020196,26395,81714
1447021981,26393,81712
1447023613,26447,81767
1447023794,26454,81774
1447025770,26478,81797
1447027747,26326,81645
1447029181,26325,81644
1447029914,26408,81727
1447032781,26406,81725
1447034053,26460,81780
1447036026,26322,81641
1447038014,26297,81616
1447038190,26295,81614
1447038734,26287,81606
1447040163,26388,81707
1447041791,26389,81708
1447045209,26369,81686
1447045389,26368,81685
1447048988,26370,81687
1447049893,26282,81599
1447051097,26285,81603
1447052044,26357,81675
1447054034,26294,81610
1447056007,26366,81682
1447056187,26359,81675
1447057234,26364,81680
1447058174,26414,81730
1447060146,26326,81642
1447061582,26335,81651
1447062313,26404,81722
1447063446,26399,81717
1447065181,26376,81693
1447066451,26416,81732
1447068782,26416,81732
1447070413,26457,81773
1447070584,26456,81771
1447071136,26471,81787
1447072563,26508,81825
1447074004,26380,81697
1447074182,26376,81692
1447075982,26375,81691
1447076707,26436,81752
1447077540,26436,81753
1447077779,26431,81748
1447081746,26360,81675
1447083182,26364,81679
1447083907,26425,81741
1447084977,26423,81739
1447085530,26428,81744
1447086000,26445,81762
1447086782,26455,81772
1447088062,26400,81716
1447088583,26403,81719
1447092008,26493,81809
1447094168,26466,81780
1447095785,26465,81779
1447097582,26463,81777
1447098306,26551,81865
1447099379,26547,81861
1447101182,26535,81850
1447102452,26449,81764
1447102978,26446,81761
1447104782,26442,81757
1447106409,26504,81819
1447106580,26503,81818
1447108564,26547,81861
1447110545,26388,81702
1447111982,26389,81703
1447113610,26435,81749
1447113777,26431,81745
1447115773,26496,81810
1447116851,26417,81731
1447117378,26416,81730
1447118826,26337,81650
1447119915,26425,81739
1447120805,26335,81649
1447120972,26331,81645
1447122782,26332,81646
1447124051,26387,81701
1447124572,26373,81688
1447127645,26400,81715
1447129094,26296,81612
1447129982,26314,81632
1447131251,26401,81719
1447131832,26400,81718
1447135206,26466,81784
1447135747,26305,81623
1447137182,26305,81623
1447137877,26307,81626
1447139345,26383,81702
1447141514,26435,81754
1447142044,26342,81660
1447142571,26339,81657
1447144382,26341,81659
1447145660,26412,81730
1447148164,26353,81672
1447149612,26422,81741
1447149771,26457,81777
1447151768,26502,81822
1447152846,26408,81728
1447153218,26426,81747
1447153365,26423,81744
1447154289,26424,81745
1447155906,26487,81808
1447157027,26486,81807
1447158965,26359,81679
1447160050,26431,81751
1447160564,26433,81753
1447163105,26436,81755
1447164007,26380,81699
1447164171,26381,81700
1447166172,26434,81753
1447167766,26430,81749
1447170314,26470,81789
1447171744,26440,81757
1447173181,26463,81780
1447173905,26413,81730
1447174458,26498,81815
1447175028,26493,81810
1447175885,26434,81751
1447176781,26447,81764
1447178416,26536,81853
1447180567,26598,81915
1447182226,26596,81913
1447184706,26661,81976
1447185585,26661,81976
1447186144,26583,81898
1447187582,26574,81889
1447189220,26642,81957
1447191364,26673,81994
1447192805,26612,81933
1447194782,26600,81921
1447195505,26612,81932
1447195774,26610,81930
1447196944,26471,81791
1447198564,26534,81854
1447200221,26532,81852
1447201982,26537,81858
1447202705,26633,81956
1447203259,26551,81874
1447203580,26552,81875
1447205581,26555,81877
1447206843,26615,81938
1447207212,26465,81787
1447207418,26463,81785
1447209181,26457,81779
1447210815,26521,81843
1447210958,26520,81842
1447212782,26503,81825
1447213505,26509,81831
1447214379,26508,81830
1447214944,26372,81694
1447216381,26405,81729
1447217106,26507,81831
1447218217,26506,81830
1447219982,26484,81808
1447221244,26552,81876
1447221604,26455,81779
1447221814,26455,81779
1447223527,26459,81783
1447224406,26460,81784
1447225216,26520,81844
1447225744,26379,81703
1447227365,26469,81793
1447228955,26467,81791
1447230782,26461,81785
1447231505,26523,81847
1447231887,26522,81846
1447234024,26396,81719
1447234382,26401,81724
1447235643,26517,81844
1447236823,26495,81821
1447239610,26557,81883
1447240151,26460,81786
1447241764,26538,81864
1447245181,26517,81842
1447245906,26575,81901
1447246450,26489,81814
1447247011,26487,81811
1447248973,26533,81857
1447250946,26465,81788
1447252381,26459,81782
1447253115,26524,81847
1447254209,26521,81844
1447255981,26521,81842
1447257254,26463,81786
1447257808,26462,81784
1447258040,26459,81781
1447259582,26460,81782
1447261222,26555,81877
1447263367,26520,81845
1447265007,26519,81844
1447266781,26614,81942
1447267504,26683,82012
1447268543,26682,82011
1447270382,26667,81996
1447271647,26676,82004
1447273982,26670,81998
1447275631,26576,81904
1447275802,26573,81901
1447277581,26579,81907
1447279746,26652,81983
1447281182,26627,81958
1447281912,26553,81883
1447282219,26556,81886
1447283885,26515,81845
1447286053,26567,81897
1447287496,26535,81864
1447288025,26462,81791
1447290019,26541,81870
1447292165,26451,81781
1447293014,26447,81777
1447295581,26459,81789
1447296308,26515,81845
1447296569,26542,81881
1447297336,26539,81878
1447298536,26554,81893
1447300444,26631,81970
1447300936,26628,81967
1447302433,26455,81794
1447303871,26459,81798
1447304413,26570,81909
1447306570,26614,81952
1447308546,26427,81765
1447309981,26421,81759
1447310714,26498,81836
1447311795,26498,81836
1447313582,26499,81835
1447314852,26490,81826
1447315394,26482,81818
1447316824,26394,81729
1447317181,26391,81727
1447318266,26394,81730
1447318821,26503,81842
1447320964,26578,81917
1447322953,26478,81817
1447323736,26457,81798
1447325105,26526,81867
1447329245,26465,81806
1447331581,26424,81765
1447333213,26483,81824
1447333330,26480,81821
1447335376,26493,81833
1447336990,26492,81832
1447338782,26467,81807
1447339515,26400,81740
1447339801,26399,81739
1447343652,26473,81813
1447344190,26471,81811
1447345626,26424,81764
1447347618,26495,81835
1447347790,26494,81834
1447349765,26458,81799
1447350724,26458,81799
1447351754,26525,81866
1447353182,26521,81862
1447353907,26476,81817
1447354988,26523,81865
1447356782,26495,81836
1447358944,26565,81906
1447360381,26556,81896
1447361107,26621,81962
1447361464,26618,81959
1447362767,26474,81815
1447365607,26562,81903
1447365785,26560,81901
1447366685,26478,81819
1447367765,26525,81866
1447369941,26520,81861
1447370824,26380,81720
1447372255,26378,81718
1447372809,26438,81778
1447374964,26497,81837
1447376946,26347,81686
1447378382,26350,81689
1447379104,26442,81783
1447381085,26352,81693
1447381982,26405,81749
1447383243,26457,81801
1447383782,26456,81800
1447385582,26438,81782
1447387209,26356,81698
1447387379,26352,81694
1447389364,26449,81791
1447390978,26449,81791
1447392782,26448,81790
1447393855,26451,81793
1447395486,26351,81693
1447396381,26350,81692
1447396924,26354,81696
1447397643,26439,81781
1447399981,26437,81779
1447401609,26436,81779
1447401779,26434,81777
1447402202,26464,81798
1447403764,26495,81829
1447404716,26490,81824
1447407182,26445,81784
1447407907,26473,81812
1447409039,26471,81810
1447412043,26512,81851
1447414024,26409,81748
1447414382,26420,81759
1447415447,26421,81761
1447416007,26473,81813
1447416233,26470,81810
1447418164,26480,81818
1447418536,26496,81834
1447419835,26495,81833
1447421582,26461,81799
1447422308,26479,81818
1447423377,26478,81817
1447425365,26494,81832
1447425736,26511,81849
1447426971,26509,81847
1447428782,26514,81853
1447429508,26520,81859
1447430570,26519,81858
1447431487,26426,81765
1447432381,26459,81799
1447433644,26536,81877
1447434182,26534,81875
1447435633,26478,81819
1447437769,26480,81821
1447439766,26580,81922
1447441368,26575,81917
1447443182,26555,81896
1447443920,26479,81820
1447444975,26483,81824
1447445885,26473,81813
1447446781,26517,81860
1447448044,26561,81904
1447448566,26558,81901
1447450382,26559,81902
1447452010,26487,81830
