DateTime,Entries,UniqueIPs
1446367261,11108,120572
1446368284,11092,118767
1446369008,11100,118775
1446369060,11104,120054
1446370083,11143,120096
1446371251,11135,120854
1446371821,11130,119315
1446373183,11143,120859
1446373580,11129,119314
1446374459,11123,120839
1446375387,11128,120841
1446375422,11096,119022
1446376258,11128,120331
1446377983,11146,120349
1446378061,11144,120853
1446379021,11151,118565
1446380262,11182,119359
1446380777,11182,118083
1446381996,11585,120285
1446382622,11581,118751
1446382622,11646,118815
1446383999,11665,119346
1446383999,11665,119347
1446385269,11658,119847
1446386091,11671,119858
1446386222,11643,118041
1446387059,11599,120295
1446388139,11612,120308
1446388858,11596,121309
1446390113,11555,120248
1446390658,11604,120806
1446392222,11621,120824
1446392460,11632,121598
1446393422,11622,119798
1446394199,11644,119822
1446394677,11632,121084
1446395182,11626,119293
1446396387,11642,121091
1446397021,11624,118522
1446398335,11689,119359
1446398777,11687,118592
1446399682,11670,120104
1446400486,11675,120109
1446400624,11657,119068
1446401859,11708,120391
1446402520,11717,120399
1446402520,11710,118607
1446403256,11728,120919
1446404483,11705,118607
1446405061,11731,119653
1446405984,11730,119397
1446406612,11738,119403
1446406902,11694,120122
1446407821,11693,118591
1446408590,11700,118599
1446408661,11772,119941
1446410465,11798,119968
1446410502,11798,120224
1446411421,11793,118945
1446412719,11839,120525
1446413168,11837,119248
1446414124,11862,121314
1446414918,11850,121303
1446415021,11849,120027
1446415859,11900,120593
1446416523,11901,120594
1446417505,11896,119570
1446417677,11910,120605
1446418621,11895,120591
1446419465,11135,119777
1446420382,11198,117801
1446421621,11173,119820
1446422221,11169,118541
1446423539,11579,119979
1446424022,11580,119980
1446425822,11580,120235
1446426664,11580,121001
1446427200,11608,121030
1446427728,11602,119239
1446427923,11604,119241
1446428485,11610,121032
1446429061,11627,121049
1446429421,11626,121048
1446430264,11629,122326
1446430890,11659,122363
1446437960,11682,119069
1446439260,11682,119069
1446440068,11110,118478
1446440157,11104,116687
1446441244,11322,118185
1446441421,11324,118187
1446441988,11339,118202
1446441988,11358,116188
1446442869,11364,118744
1446443861,11441,118822
1446444661,11547,119698
1446445021,11549,119700
1446445578,11589,118210
1446446119,11604,118225
1446446460,11608,119504
1446447364,11648,117254
1446448214,11679,117288
1446448621,11680,118566
1446449164,11711,118596
1446450409,11760,119417
1446450964,11814,119472
1446452306,11827,119229
1446452788,11862,117989
1446453657,11880,119029
1446454544,11900,119050
1446454564,11971,119125
1446455821,11969,119124
1446456444,12012,119169
1446457264,11986,118124
1446458423,11962,118102
1446459422,11967,118107
1446460793,12055,118204
1446460860,12052,117946
1446461764,12112,116220
1446463106,12131,117004
1446463586,12173,117047
1446464459,12168,117299
1446465342,12182,117319
1446465365,12223,117364
1446466622,12231,117627
1446467245,12604,118012
1446468059,12622,118801
1446471021,12735,116112
1446471657,12598,117758
1446472855,12505,117669
1446473457,12494,115619
1446474390,12486,114083
1446474993,12509,114107
1446475258,12460,115065
1446476164,12510,115114
1446477054,12556,115162
1446477065,12556,113887
1446477975,12596,113928
1446478324,12603,113935
1446479216,12620,114464
1446479764,12695,114540
1446481179,12709,114043
1446481923,12718,112523
1446482461,12723,114054
1446483276,12734,114065
1446483367,12806,111334
1446484681,12809,112612
1446485455,12861,112669
1446485523,12861,111904
1446486057,12861,112667
1446486962,12876,112681
1446487783,12896,112701
1446487864,12964,113026
1446489123,12965,113027
1446490021,13004,114598
1446490563,13015,114609
1446491920,13081,114681
1446492382,13076,112636
1446492723,13077,112637
1446493258,13112,114457
1446494135,13112,114457
1446494159,13124,113958
1446495442,13154,115256
1446496052,13199,115302
1446496323,13195,113002
1446496870,13313,114394
1446498037,13506,114589
1446498682,13499,113817
1446500258,13694,114012
1446500464,13694,112992
1446501372,13706,113006
1446502188,13914,113216
1446502678,13950,114023
1446504544,14040,114110
1446504954,14050,111315
1446506244,14051,112846
1446506963,13111,111867
1446507660,13105,112879
1446508828,13146,112907
1446509524,13196,112702
1446510992,13903,113445
1446511261,13890,112921
1446513597,13981,113271
1446513979,13976,111991
1446514924,14003,113297
1446515750,14051,113344
1446515758,14043,111041
1446517040,14125,112146
1446517674,14175,112195
1446518534,14192,111190
1446519631,14230,111228
1446520622,14263,113043
1446521904,14367,113143
1446522124,14423,115495
1446523771,14500,115572
1446524221,14518,117375
1446524783,14514,115841
1446526012,14624,117485
1446527910,14758,118132
1446528381,14758,117111
1446529326,14782,118920
1446530096,14924,119064
1446530163,14916,116761
1446531421,14993,118626
1446532144,15071,118705
1446533044,15075,117692
1446534045,15203,117819
1446535022,15256,117102
1446536251,15506,117354
1446536524,15508,119135
1446537374,15504,117091
1446538168,15604,117194
1446538622,15640,118000
