DateTime,AddedIPs,RemovedIPs
1446468722,4,0
1446471121,8,1
1446471182,13,0
1446474722,0,36
1446477121,30,6
1446478322,4,0
1446479522,17,0
1446481922,1,0
1446481981,51,49
1446483122,3,0
1446483722,2,3
1446484922,2,0
1446489121,3,2
1446490322,49,0
1446491522,0,10
1446495122,2,6
1446496321,1,0
1446496381,12,46
1446498721,1,0
1446501122,11,0
1446502322,3,9
1446504721,14,0
1446507122,3,0
1446508322,2,0
1446509522,3,2
1446510722,1,0
1446510782,15,37
1446511922,0,12
1446513722,0,1
1446514922,0,1
1446516722,1,0
1446520321,0,7
1446521522,1,0
1446521582,37,10
1446523922,23,0
1446525182,0,15
1446527523,1,0
1446528781,1,0
1446532321,23,0
1446534721,0,52
1446539521,11,13
1446539581,1,0
1446540721,5,1
1446541922,2,4
1446543122,0,48
1446546721,1,0
1446547921,1,0
1446549122,5,2
1446550322,1,0
1446552722,0,28
1446556322,4,3
1446557522,3,0
1446557582,24,0
1446558722,3,0
1446559922,1,0
1446561122,0,35
1446563523,2,5
1446564722,2,0
1446565922,5,0
1446568382,11,0
1446570722,1,5
1446571922,2,34
1446573284,99,0
1446577922,4,4
1446579122,7,10
1446579182,11,18
1446580322,12,25
1446582721,4,0
1446584521,4,10
1446585721,3,0
1446588722,2,0
1446589922,1,0
1446592322,2,5
1446593522,16,0
1446595922,0,48
1446598322,40,0
1446600722,3,3
1446604321,1,34
1446606721,3,6
1446609122,1,0
1446610322,55,12
1446612722,1,27
1446613921,3,0
1446615122,2,0
1446616322,1,0
1446616922,1,0
1446618121,2,5
1446622322,1,0
1446623522,15,0
1446624722,2,42
1446629522,10,7
1446630723,1,0
1446631921,2,9
1446633121,21,0
1446634322,1,0
1446635521,0,53
1446639122,0,3
1446640322,2,0
1446641521,1,0
1446642722,23,0
1446646322,4,28
1446647521,1,0
1446652322,21,0
1446653521,1,4
1446654722,4,36
1446655921,15,0
1446657121,4,0
1446658322,18,1
1446668524,82,25
1446673986,8,74
1446675121,1,3
1446678122,1,0
1446679322,22,2
1446679922,2,0
1446681122,0,17
1446682321,1,0
1446683582,18,1
1446685921,2,1
1446688321,1,0
1446689522,1,24
1446690721,0,1
1446694382,61,9
1446696722,1,3
1446697922,0,18
1446702963,0,3
1446708781,18,21
1446710164,3,1
1446710547,12,0
1446715981,3,12
1446717107,9,32
1446717364,3,0
1446724564,5,2
1446730382,13,1
1446733982,17,78
1446739634,28,0
1446741181,1,28
1446744782,26,20
1446746164,1,0
1446748381,93,30
1446749512,2,12
1446753364,3,6
1446755581,1,0
1446759181,17,0
1446760564,6,4
1446762782,0,27
1446763344,4,22
1446767763,3,7
1446774963,29,9
1446780781,25,42
1446782163,1,5
1446787982,12,23
1446789363,0,3
1446793205,18,0
1446796563,3,29
1446802382,10,4
1446803763,9,8
1446805981,0,31
1446810963,26,3
1446814932,21,28
1446818164,7,1
1446823981,20,37
1446825364,2,0
1446827582,23,10
1446828964,4,1
1446831182,75,0
1446832563,2,3
1446836504,53,29
1446838382,2,4
1446839764,13,4
1446843738,12,0
1446846963,2,7
1446850909,20,44
1446854164,6,12
1446859982,18,1
1446861363,1,3
1446867182,0,28
1446868564,85,41
1446875764,5,4
1446880203,16,0
1446883498,15,24
1446885181,23,0
1446890163,7,5
1446892382,0,26
1446892940,17,0
1446897363,3,2
1446899581,0,38
1446900130,12,1
1446906782,1,2
1446908164,6,27
1446910381,0,0
1446913982,10,0
1446915733,89,21
1446918963,4,1
1446922933,86,10
1446924782,3,2
1446928382,2,4
1446929763,3,2
1446931982,1,0
1446935581,7,0
1446936963,5,45
1446942782,1,0
1446944164,27,27
1446948743,15,11
1446952177,42,24
1446954963,1,1
1446957747,33,0
1446962163,3,21
1446969363,22,10
1446974522,11,95
1446975721,3,0
1446977523,2,4
1446978721,2,0
1446979922,17,0
1446982322,3,19
1446984722,2,4
1446985921,9,0
1446989521,12,0
1446990721,1,0
1446991922,2,23
1446993121,3,0
1446994321,3,0
1446996722,3,0
1446996782,11,0
1446997922,1,0
1446999122,47,4
1447000324,7,36
1447000381,0,1
1447002722,15,0
1447005121,1,0
1447005363,4,7
1447009333,27,12
1447011181,9,4
1447012565,2,8
1447017140,8,19
1447019763,5,7
1447023706,7,0
1447023735,0,10
1447025581,0,1
1447026964,4,5
1447030930,8,10
1447034163,1,3
1447038734,6,14
1447039982,17,20
1447044963,29,20
1447047736,7,2
1447052164,1,22
1447057982,3,0
1447059363,10,1
1447063324,12,35
1447065181,0,1
1447066563,5,5
1447071136,16,0
1447073764,0,1
1447077698,12,17
1447077726,0,8
1447080964,4,0
1447085530,6,1
1447086000,21,3
1447086782,21,11
1447088164,4,1
1447093982,73,45
1447095364,0,2
1447101182,11,22
1447102564,1,5
1447108381,23,13
1447109763,4,5
1447111982,1,0
1447115581,16,23
1447116964,2,9
1447122782,1,0
1447124164,15,26
1447127763,9,10
1447129982,22,2
1447134964,5,5
1447142164,4,2
1447147982,7,5
1447149735,43,5
1447151582,2,0
1447153218,212,160
1447156937,18,92
