DateTime,AddedIPs,RemovedIPs
1446316225,147,442
1446402628,117,234
1446411941,4341631,0
1446438965,345,265
1446445617,137,163
1446489023,154,101
1446495377,146,128
1446571819,60,25
1446575425,140,270
1446586646,131258,189
1446673986,56,37
1446708627,290,316
1446732627,80,58
1446732635,237,437
1446753647,23,25
1446795025,187,166
1446839648,422,392
1446853915,319,150
1446881430,144,189
1446936341,4125,57
1446967828,293,372
1447001221,40,40
1447040591,215,205
1447054224,148,126
1447082866,155,135
1447091992,26,20
1447124568,311,218
1447140630,147,136
1447153218,161,119
1447165664,244,42
1447198030,30,29
1447206896,285,473
1447227024,155,121
1447249539,84,87
1447286148,65528,0
1447313424,134,150
1447362634,248,292
1447399827,162,144
1447443920,117,95
1447486225,643,497
1447511893,203,186
1447518923,68,73
1447552665,34,34
1447572624,142,185
1447603209,414,287
1447635336,214008,0
1447659025,104,194
1447687901,59,35
1447745424,317,331
1447775063,239,298
1447787352,38,44
1447810060,12288,0
1447831824,100,120
1447850667,109,76
