DateTime,Entries,UniqueIPs
1446237387,23636,38133737
1446316225,23394,38133442
1446402628,23283,38133325
1446411941,23160,42474956
1446438965,23242,42475036
1446445617,23211,42475010
1446489023,23262,42475063
1446495377,23278,42475081
1446571819,23314,42475116
1446575425,23190,42474986
1446586646,23193,42606055
1446673986,23213,42606074
1446708627,23192,42606048
1446732627,23212,42606070
1446732635,23140,42605870
1446753647,23140,42605868
1446795025,23161,42605889
1446839648,23069,42605919
1446853915,23220,42606088
1446881430,23172,42606043
1446936341,23148,42610111
1446967828,23068,42610032
1447001221,23069,42610032
1447040591,23076,42610042
1447054224,23087,42610064
1447082866,23103,42610084
1447091992,23109,42610090
1447124568,23160,42610183
1447140630,23171,42610194
1447153218,23221,42610236
1447165664,23409,42610438
1447198030,23412,42610439
1447206896,23379,42610251
1447227024,23410,42610285
1447249539,23404,42610282
1447286148,23397,42675810
1447313424,23383,42675794
1447362634,23329,42675750
1447399827,23345,42675768
1447443920,23366,42675790
1447486225,23508,42675936
1447511893,23518,42675953
1447518923,23516,42675948
1447552665,23522,42675948
1447572624,23476,42675905
1447603209,23595,42676032
1447635336,23594,42890040
1447659025,23499,42889950
1447687901,23518,42889974
1447745424,23504,42889960
1447775063,23425,42889901
1447787352,23421,42889895
1447810060,23423,42902183
1447831824,23405,42902163
