DateTime,Entries,UniqueIPs
1446812846,3834,3834
1446814842,3824,3824
1446817052,3826,3826
1446824732,3830,3830
1446826620,3810,3810
1446828526,3786,3786
1446830933,3776,3776
1446833829,3749,3749
1446836112,3743,3743
1446838052,3701,3701
1446840045,3652,3652
1446842265,3524,3524
1446844218,3491,3491
1446846661,3433,3433
1446848879,3367,3367
1446850951,3269,3269
1446853023,868,868
1446856198,2002,2002
1446858073,1985,1985
1446860310,1981,1981
1446862181,1967,1967
1446864360,1948,1948
1446866430,1941,1941
1446869162,1943,1943
1446871595,1938,1938
1446873524,1929,1929
1446875413,1925,1925
1446877657,1926,1926
1446879670,1923,1923
1446881796,1903,1903
1446883803,1885,1885
1446885940,1885,1885
1446887950,1867,1867
1446890064,1858,1858
1446892050,1879,1879
1446894058,1867,1867
1446896199,1863,1863
1446898178,1845,1845
1446900036,2829,2829
1446901892,2846,2846
1446903949,2822,2822
1446905924,2808,2808
1446907894,2794,2794
1446909734,2793,2793
1446911609,2781,2781
1446914599,2764,2764
1446916412,2763,2763
1446918339,2739,2739
1446920325,2722,2722
1446922476,2706,2706
1446924470,2684,2684
1446926535,2664,2664
1446928605,2614,2614
1446930590,2576,2576
1446932502,2541,2541
1446934746,2508,2508
1446936869,2461,2461
1446938856,611,611
1446940837,598,598
1446943047,1554,1554
1446947185,1522,1522
1446949129,1530,1530
1446951281,1526,1526
1446953276,1518,1518
1446955127,1514,1514
1446957429,1500,1500
1446959380,1481,1481
1446961548,1479,1479
1446964198,1460,1460
1446966084,1454,1454
1446968208,1449,1449
1446970275,1439,1439
1446972353,1424,1424
1446974349,1413,1413
1446976481,1395,1395
1446978448,1373,1373
1446980495,1361,1361
1446982598,1329,1329
1446986752,2125,2125
1446988749,2121,2121
1446990862,2092,2092
1446992863,2084,2084
1446994842,2083,2083
1446997014,2057,2057
1447001161,2021,2021
1447003176,2008,2008
1447005273,2001,2001
1447007244,1983,1983
1447009255,1969,1969
1447011404,1961,1961
1447013409,1913,1913
1447015538,1879,1879
1447017558,1858,1858
1447019667,1836,1836
1447021672,1802,1802
1447023655,1769,1769
1447025840,447,447
1447027781,1127,1127
1447029951,1101,1101
1447031946,1084,1084
1447034081,1067,1067
1447036054,1071,1071
1447038039,1070,1070
1447040210,1057,1057
1447046019,1049,1049
1447049058,1045,1045
1447051013,1058,1058
1447052998,1060,1060
1447055133,1049,1049
1447057111,1034,1034
1447059280,1025,1025
1447061254,1033,1033
1447063245,1028,1028
1447065428,1016,1016
1447067465,1010,1010
1447069533,1006,1006
1447071635,1565,1565
1447073665,1551,1551
1447075732,1535,1535
1447077644,1523,1523
1447081046,1518,1518
1447082870,1513,1513
1447084840,1520,1520
1447087186,1524,1524
1447090114,1524,1524
1447092121,1518,1518
1447094228,1523,1523
1447098347,1510,1510
1447100386,1485,1485
1447102487,1475,1475
1447104535,1477,1477
1447106439,1469,1469
1447108702,1440,1440
1447110621,458,458
1447112805,448,448
1447114715,996,996
1447116948,992,992
1447118852,984,984
1447120837,1006,1006
1447123060,1008,1008
1447125530,1017,1017
1447127739,1022,1022
1447129652,1031,1031
1447131640,1023,1023
1447133884,1022,1022
1447135787,1013,1013
1447138005,1015,1015
1447139917,1008,1008
1447142145,1013,1013
1447144056,997,997
1447146066,987,987
1447148265,988,988
1447150206,974,974
1447152163,963,963
1447154380,962,962
1447156459,963,963
1447158525,1382,1382
1447160433,1383,1383
1447162690,1391,1391
1447164578,1396,1396
1447166803,1448,1448
1447168706,1455,1455
1447171879,1457,1457
1447173979,1459,1459
1447176026,1466,1466
1447178102,1465,1465
1447180732,1459,1459
1447182601,1452,1452
1447184835,1448,1448
1447186803,1446,1446
1447188950,1431,1431
1447190957,1427,1427
1447192848,1424,1424
1447195089,1410,1410
1447197022,481,481
1447199202,469,469
1447201116,954,954
1447203341,958,958
1447205274,965,965
1447207238,983,983
1447209627,990,990
1447211923,987,987
1447214110,985,985
1447216061,982,982
1447218033,971,971
1447220255,972,972
1447222192,965,965
1447224379,968,968
1447226306,962,962
1447228525,956,956
1447230441,966,966
1447232437,960,960
1447234746,959,959
1447238726,961,961
1447240769,949,949
1447242858,947,947
1447244905,1324,1324
1447246856,1324,1324
1447249134,1325,1325
1447250996,1335,1335
1447253244,1355,1355
1447255114,1359,1359
1447257350,1364,1364
1447259246,1372,1372
1447261259,1372,1372
1447263471,1396,1396
1447267628,1410,1410
1447269537,1413,1413
1447271760,1415,1415
1447273661,1438,1438
1447275683,1431,1431
1447277885,1438,1438
1447279808,1445,1445
1447282024,1442,1442
1447283937,522,522
1447286128,528,528
1447288065,978,978
1447290052,982,982
1447292248,1012,1012
1447294221,1034,1034
1447296403,1068,1068
1447298317,1106,1106
1447300525,1114,1114
1447302455,1113,1113
1447304442,1123,1123
1447306678,1137,1137
1447308579,1156,1156
1447310832,1209,1209
1447312717,1224,1224
1447314921,1251,1251
1447316848,1264,1264
1447318851,1284,1284
1447321052,1302,1302
1447322992,1311,1311
1447325192,1324,1324
1447327122,1341,1341
1447329320,1352,1352
1447331248,1665,1665
1447333244,1683,1683
1447335512,1704,1704
1447339611,1746,1746
1447341513,1765,1765
1447343739,1777,1777
1447345647,1799,1799
1447347645,1810,1810
1447349867,1833,1833
1447354013,1876,1876
1447356137,1877,1877
1447358111,1884,1884
1447360195,1882,1882
1447363003,1888,1888
1447365259,1894,1894
1447367297,1895,1895
1447369249,1903,1903
1447371455,598,598
1447373366,1393,1393
1447375599,1371,1371
1447377523,1360,1360
1447379750,1366,1366
1447381638,1363,1363
1447383623,1348,1348
1447385856,1338,1338
1447387778,1341,1341
1447389990,1360,1360
1447391913,1352,1352
1447394117,1347,1347
1447396043,1353,1353
1447398030,1339,1339
1447400344,1340,1340
1447404330,1317,1317
1447406522,1313,1313
1447408451,1315,1315
1447410509,1300,1300
1447412429,1294,1294
1447414775,1283,1283
1447417130,1918,1918
1447419278,1904,1904
1447421242,1888,1888
1447423221,1865,1865
1447425467,1856,1856
1447427375,1822,1822
1447429596,1826,1826
1447431518,1825,1825
1447433734,1835,1835
1447435660,1839,1839
1447437744,1830,1830
1447439885,1783,1783
1447441813,1763,1763
1447444000,1746,1746
1447445915,1739,1739
1447448133,1711,1711
1447450088,1705,1705
1447452037,1693,1693
1447454258,1677,1677
1447456198,1664,1664
1447458403,381,381
1447460337,1060,1060
1447462561,1028,1028
1447464493,1013,1013
1447466445,1017,1017
1447468664,1011,1011
1447470591,1000,1000
1447472871,995,995
1447474928,987,987
1447477000,975,975
1447478950,967,967
1447480885,965,965
1447483082,953,953
1447485001,925,925
1447486913,919,919
1447489174,913,913
1447491262,899,899
1447493374,901,901
1447495285,905,905
1447497465,913,913
1447499367,903,903
1447501616,894,894
1447503543,1443,1443
1447505720,1424,1424
1447507643,1418,1418
1447509643,1400,1400
1447511850,1392,1392
1447514379,1370,1370
1447517565,1356,1356
1447519537,1348,1348
1447521520,1333,1333
1447523716,1329,1329
1447525645,1320,1320
1447527784,1308,1308
1447529806,1285,1285
1447531869,1274,1274
1447533943,1260,1260
1447535988,1245,1245
1447538072,1242,1242
1447540180,1237,1237
1447542051,1238,1238
1447544275,347,347
1447546203,827,827
1447548516,831,831
1447550350,832,832
1447552476,839,839
1447554510,848,848
1447556432,851,851
1447558652,864,864
1447560610,869,869
1447562789,870,870
1447564719,875,875
1447566917,874,874
1447568864,869,869
1447570917,864,864
1447573061,873,873
1447574979,881,881
1447577232,880,880
1447579148,869,869
1447581330,876,876
1447583241,881,881
1447585241,885,885
1447587447,887,887
1447589383,1222,1222
1447591601,1223,1223
1447593515,1229,1229
1447595734,1223,1223
1447597672,1222,1222
1447602498,1242,1242
1447604316,1245,1245
1447607477,1264,1264
1447609544,1261,1261
1447611853,1258,1258
1447613667,1261,1261
1447615675,1273,1273
1447617639,1289,1289
1447619823,1292,1292
1447621787,1305,1305
1447624060,1317,1317
1447625921,1317,1317
1447628080,1318,1318
1447630044,451,451
1447632068,463,463
1447634194,985,985
1447636198,963,963
1447638345,985,985
1447640334,1000,1000
1447642462,1005,1005
1447644460,1016,1016
1447646431,1023,1023
1447648646,1032,1032
1447650585,1065,1065
1447652748,1066,1066
1447654714,1067,1067
1447656874,1075,1075
1447658843,1089,1089
1447660875,1098,1098
1447662996,1104,1104
1447664990,1122,1122
1447667133,1134,1134
1447669133,1147,1147
1447671281,1155,1155
1447673250,1149,1149
1447675253,1151,1151
1447677412,1536,1536
1447679474,1546,1546
1447681551,1553,1553
1447683816,1567,1567
1447685671,1571,1571
1447687648,1574,1574
1447689985,1582,1582
1447692422,1578,1578
1447694337,1582,1582
1447696501,1585,1585
1447698477,1593,1593
1447700435,1603,1603
1447702595,1609,1609
1447704648,1604,1604
1447706742,1611,1611
1447708724,1622,1622
1447710868,1637,1637
1447712850,1634,1634
1447714851,1636,1636
1447717005,492,492
1447718991,483,483
1447721563,1123,1123
1447723705,1116,1116
1447725628,1130,1130
1447728134,1121,1121
1447730100,1110,1110
1447731936,1103,1103
1447733919,1103,1103
1447736058,1100,1100
1447738046,1086,1086
1447740109,1081,1081
1447742203,1086,1086
1447744174,1086,1086
1447746341,1073,1073
1447748315,1055,1055
1447750487,1056,1056
1447752434,1056,1056
1447754440,1069,1069
1447756630,1053,1053
1447760732,1039,1039
1447762925,1542,1542
1447764860,1528,1528
1447766842,1532,1532
1447768842,1534,1534
1447771011,1523,1523
1447773035,1521,1521
1447775132,1515,1515
1447777805,1506,1506
1447779642,1500,1500
1447781870,1499,1499
1447783806,1499,1499
1447786007,1497,1497
1447787945,1489,1489
1447790138,1481,1481
1447792058,1470,1470
1447794053,1475,1475
1447796269,1464,1464
1447798200,1485,1485
1447800396,1455,1455
1447802335,440,440
1447804527,440,440
1447806493,977,977
1447808444,986,986
1447810693,1016,1016
1447812608,1027,1027
1447814807,1029,1029
1447816724,1036,1036
1447818941,1031,1031
1447820865,1021,1021
1447822852,1024,1024
1447825063,1040,1040
1447827003,1043,1043
1447829186,1053,1053
1447831131,1058,1058
1447833321,1058,1058
1447835270,1058,1058
1447837240,1061,1061
1447839481,1065,1065
1447841388,1064,1064
1447843760,1056,1056
1447846041,1053,1053
1447848083,1047,1047
1447850237,1430,1430
1447852481,1433,1433
1447854411,1442,1442
1447857133,1445,1445
1447859694,1450,1450
1447862457,1454,1454
1447864701,1460,1460
1447866581,1472,1472
1447868800,1476,1476
1447870722,1476,1476
1447872949,1487,1487
1447874856,1495,1495
1447876877,1497,1497
1447879097,1493,1493
1447880990,1485,1485
1447883204,1487,1487
1447885126,1484,1484
1447887307,1485,1485
1447889254,465,465
