DateTime,AddedIPs,RemovedIPs
1440357301,39,54
1440444847,44,50
1440531902,40,57
1440618923,40,47
1440705605,65,42
1440792622,173,49
1440879606,158,66
1440966623,81,39
1441053605,45,43
1441140689,61,33
1441227602,53,60
1441314610,56,90
1441401635,41,248
1441489419,38,74
1441576438,58,58
1441663201,38,53
1441750268,42,49
1441837263,54,49
1441924251,66,58
1442011244,62,56
1442098261,74,48
1442185202,37,33
1442272445,44,40
1442359914,72,46
1442447101,70,70
1442533857,72,55
1442620803,57,74
1442707825,54,42
1442881811,100,93
1442968838,41,55
1443055825,55,77
1443142802,156,62
1443230018,142,59
1443317058,61,58
1443404701,59,49
1443492001,49,47
1443579021,54,41
1443666015,52,61
1443753017,48,225
1443840022,48,69
1443927020,46,67
1444014002,59,44
1444101288,51,54
1444188091,50,55
1444275660,46,52
1444362738,51,47
1444449609,53,60
1444536644,60,56
1444623610,46,45
1444710641,49,52
1444797603,66,45
1444971603,126,98
1445058910,109,110
1445146206,59,36
1445320801,91,130
1445407203,131,64
1445494214,157,63
1445581206,75,58
1445668204,62,55
1445755271,59,47
1445842204,49,52
1445929205,52,54
1446016215,70,215
1446103218,84,108
1446190204,54,56
1446277237,55,59
1446364232,0,0
1446451202,82,97
1446538224,59,70
1446625245,50,64
1446712203,48,51
1446799242,44,59
1446886235,41,41
1446973203,0,0
1447060254,76,120
1447147202,58,45
1447321271,143,91
1447408254,61,48
1447495202,46,31
1447669457,118,95
