DateTime,Entries,UniqueIPs
1440270002,307,310
1440357301,292,295
1440444847,287,289
1440531902,270,272
1440618923,264,265
1440618923,264,265
1440705605,285,288
1440792622,391,412
1440879606,422,504
1440966623,443,546
1441053605,446,548
1441140689,474,576
1441227602,469,569
1441314610,435,535
1441401635,327,328
1441489419,291,292
1441576438,291,292
1441663201,276,277
1441750268,270,270
1441837263,275,275
1441924251,283,283
1442011244,288,289
1442098261,309,315
1442185202,313,319
1442272445,317,323
1442359914,341,349
1442447101,340,349
1442533857,358,366
1442533857,358,366
1442620803,346,349
1442707825,356,361
1442881811,364,368
1442968838,351,354
1443055825,329,332
1443142802,406,426
1443230018,416,509
1443317058,411,512
1443404701,418,522
1443492001,420,524
1443579021,433,537
1443666015,424,528
1443753017,347,351
1443840022,328,330
1443927020,306,309
1444014002,319,324
1444101288,318,321
1444188091,312,316
1444275660,307,310
1444362738,312,314
1444449609,307,307
1444536644,310,311
1444623610,310,312
1444710641,308,309
1444797603,326,330
1444971603,355,358
1445058910,353,357
1445146206,376,380
1445320801,338,341
1445407203,394,408
1445494214,415,502
1445581206,423,519
1445668204,423,526
1445755271,433,538
1445842204,430,535
1445929205,428,533
1446016215,382,388
1446103218,354,364
1446190204,351,362
1446277237,349,358
1446451202,335,343
1446538224,327,332
1446625245,314,318
1446712203,312,315
1446799242,297,300
1446886235,298,300
1447060254,256,256
1447147202,266,269
1447321271,318,321
1447408254,329,334
1447495202,344,349
1447669457,368,372
