DateTime,AddedIPs,RemovedIPs
1440284413,2304,7168
1440545630,2304,10240
1440632447,256,18432
1440719451,1280,19456
1440806406,768,12288
1440893431,1280,6144
1441154434,512,10240
1441241442,512,7168
1441328406,0,7168
1441415647,131072,12288
1441502549,256,13312
1441764647,0,19456
1441851611,2560,12288
1441938623,512,12288
1442025624,0,17408
1442112608,17408,9216
1442373702,768,13312
1442461209,2176,15360
1442548592,5888,11264
1442635210,256,15360
1442722216,0,10240
1442983212,1024,18432
1443070215,0,11264
1443157205,1536,12288
1443244516,3072,18432
1443505966,2560,12288
1443592806,2560,13312
1443679811,512,9216
1443766812,544,11776
1443853828,512,13312
1444114812,512,5376
1444201834,256,16384
1444288835,1024,10240
1444375836,1024,15360
1444462830,512,26880
1444723808,256,15360
1444897803,288,25856
1444984810,2304,13312
1445071839,256,8192
1445333825,256,11264
1445421604,256,14592
1445508605,512,16384
1445595608,0,18432
1445682663,0,12288
1445943605,2304,15360
1446030908,0,24576
1446117949,0,14336
1446206080,0,18432
1446310157,1024,9472
1446396744,0,0
1446570607,2048,10240
1446657604,0,10240
1446744611,0,22784
1446831606,512,11264
1446918635,0,10240
1447005635,0,0
